계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경기도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 07 월 ~ 2013년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201307,경기도,전체(시 / 군 / 구),주택용,"2,508,140 ","1,290,185,724 ","162,494,605,729 ",125.9 
201307,경기도,전체(시 / 군 / 구),일반용,"580,497 ","2,030,283,118 ","255,859,443,904 ",126.0 
201307,경기도,전체(시 / 군 / 구),교육용,"7,360 ","114,734,552 ","15,292,878,495 ",133.3 
201307,경기도,전체(시 / 군 / 구),산업용,"108,257 ","4,607,905,743 ","524,948,023,802 ",113.9 
201307,경기도,전체(시 / 군 / 구),농사용,"181,136 ","133,348,008 ","6,380,979,185 ",47.9 
201307,경기도,전체(시 / 군 / 구),가로등,"278,105 ","51,651,442 ","6,122,049,545 ",118.5 
201307,경기도,전체(시 / 군 / 구),심 야,"165,822 ","97,539,950 ","5,483,891,068 ",56.2 
201308,경기도,전체(시 / 군 / 구),주택용,"2,515,287 ","1,546,168,360 ","249,567,315,245 ",161.4 
201308,경기도,전체(시 / 군 / 구),일반용,"581,183 ","2,246,699,717 ","303,782,146,524 ",135.2 
201308,경기도,전체(시 / 군 / 구),교육용,"7,367 ","106,740,750 ","15,901,136,272 ",149.0 
201308,경기도,전체(시 / 군 / 구),산업용,"108,507 ","4,561,274,419 ","530,228,673,350 ",116.2 
201308,경기도,전체(시 / 군 / 구),농사용,"182,587 ","167,692,249 ","7,787,264,911 ",46.4 
201308,경기도,전체(시 / 군 / 구),가로등,"278,965 ","54,454,931 ","6,252,504,387 ",114.8 
201308,경기도,전체(시 / 군 / 구),심 야,"165,412 ","98,418,379 ","5,603,042,113 ",56.9 
201309,경기도,전체(시 / 군 / 구),주택용,"2,523,283 ","1,328,975,350 ","160,880,519,043 ",121.1 
201309,경기도,전체(시 / 군 / 구),일반용,"582,243 ","2,008,873,352 ","243,475,788,320 ",121.2 
201309,경기도,전체(시 / 군 / 구),교육용,"7,367 ","110,844,402 ","14,367,191,768 ",129.6 
201309,경기도,전체(시 / 군 / 구),산업용,"108,767 ","4,343,850,619 ","422,189,856,201 ",97.2 
201309,경기도,전체(시 / 군 / 구),농사용,"183,845 ","166,263,079 ","7,693,928,173 ",46.3 
201309,경기도,전체(시 / 군 / 구),가로등,"279,486 ","58,355,558 ","6,479,656,241 ",111.0 
201309,경기도,전체(시 / 군 / 구),심 야,"165,231 ","87,229,140 ","4,898,198,895 ",56.2 
201310,경기도,전체(시 / 군 / 구),주택용,"2,530,740 ","1,198,230,097 ","138,069,689,289 ",115.2 
201310,경기도,전체(시 / 군 / 구),일반용,"582,834 ","1,675,428,864 ","188,863,037,472 ",112.7 
201310,경기도,전체(시 / 군 / 구),교육용,"7,370 ","89,247,552 ","11,237,799,696 ",125.9 
201310,경기도,전체(시 / 군 / 구),산업용,"109,020 ","4,332,880,501 ","403,666,663,643 ",93.2 
201310,경기도,전체(시 / 군 / 구),농사용,"184,262 ","137,296,026 ","6,658,368,745 ",48.5 
201310,경기도,전체(시 / 군 / 구),가로등,"287,861 ","62,890,611 ","6,685,988,759 ",106.3 
201310,경기도,전체(시 / 군 / 구),심 야,"165,186 ","132,991,718 ","7,188,230,874 ",54.1 
201311,경기도,전체(시 / 군 / 구),주택용,"2,538,834 ","1,269,724,685 ","153,975,916,678 ",121.3 
201311,경기도,전체(시 / 군 / 구),일반용,"584,552 ","1,777,523,583 ","224,437,888,221 ",126.3 
201311,경기도,전체(시 / 군 / 구),교육용,"7,372 ","112,526,074 ","14,394,916,946 ",127.9 
201311,경기도,전체(시 / 군 / 구),산업용,"109,215 ","4,495,720,349 ","508,403,822,253 ",113.1 
201311,경기도,전체(시 / 군 / 구),농사용,"252,922 ","197,277,391 ","8,350,514,868 ",42.3 
201311,경기도,전체(시 / 군 / 구),가로등,"281,731 ","68,616,539 ","7,126,049,346 ",103.9 
