계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대전광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 07 월 ~ 2013년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201307,대전광역시,전체(시 / 군 / 구),주택용,"389,759 ","159,257,789 ","18,475,292,654 ",116.0 
201307,대전광역시,전체(시 / 군 / 구),일반용,"73,370 ","286,358,172 ","35,354,998,565 ",123.5 
201307,대전광역시,전체(시 / 군 / 구),교육용,990 ,"31,233,767 ","3,566,081,631 ",114.2 
201307,대전광역시,전체(시 / 군 / 구),산업용,"5,062 ","287,418,033 ","32,182,073,327 ",112.0 
201307,대전광역시,전체(시 / 군 / 구),농사용,"5,737 ","1,832,917 ","97,808,470 ",53.4 
201307,대전광역시,전체(시 / 군 / 구),가로등,"13,871 ","4,917,905 ","581,929,798 ",118.3 
201307,대전광역시,전체(시 / 군 / 구),심 야,"19,893 ","10,598,409 ","643,223,137 ",60.7 
201308,대전광역시,전체(시 / 군 / 구),주택용,"390,455 ","191,658,403 ","27,030,960,181 ",141.0 
201308,대전광역시,전체(시 / 군 / 구),일반용,"73,493 ","316,750,723 ","42,510,531,584 ",134.2 
201308,대전광역시,전체(시 / 군 / 구),교육용,990 ,"31,881,116 ","3,924,005,017 ",123.1 
201308,대전광역시,전체(시 / 군 / 구),산업용,"5,075 ","290,302,137 ","32,490,607,060 ",111.9 
201308,대전광역시,전체(시 / 군 / 구),농사용,"5,780 ","2,698,333 ","132,328,604 ",49.0 
201308,대전광역시,전체(시 / 군 / 구),가로등,"13,989 ","5,253,994 ","600,416,379 ",114.3 
201308,대전광역시,전체(시 / 군 / 구),심 야,"19,855 ","10,070,398 ","617,609,628 ",61.3 
201309,대전광역시,전체(시 / 군 / 구),주택용,"391,349 ","171,788,541 ","21,600,480,749 ",125.7 
201309,대전광역시,전체(시 / 군 / 구),일반용,"73,704 ","280,603,555 ","33,851,889,497 ",120.6 
201309,대전광역시,전체(시 / 군 / 구),교육용,993 ,"28,350,745 ","3,103,523,949 ",109.5 
201309,대전광역시,전체(시 / 군 / 구),산업용,"5,078 ","260,072,710 ","24,337,987,271 ",93.6 
201309,대전광역시,전체(시 / 군 / 구),농사용,"5,811 ","2,581,639 ","131,077,083 ",50.8 
201309,대전광역시,전체(시 / 군 / 구),가로등,"14,006 ","5,652,858 ","626,594,041 ",110.8 
201309,대전광역시,전체(시 / 군 / 구),심 야,"19,803 ","8,343,569 ","503,353,569 ",60.3 
201310,대전광역시,전체(시 / 군 / 구),주택용,"392,109 ","145,779,983 ","15,581,042,184 ",106.9 
201310,대전광역시,전체(시 / 군 / 구),일반용,"73,712 ","231,643,286 ","25,608,125,027 ",110.5 
201310,대전광역시,전체(시 / 군 / 구),교육용,994 ,"24,127,967 ","2,482,986,268 ",102.9 
201310,대전광역시,전체(시 / 군 / 구),산업용,"5,079 ","267,044,953 ","24,168,408,086 ",90.5 
201310,대전광역시,전체(시 / 군 / 구),농사용,"5,816 ","1,883,355 ","101,352,003 ",53.8 
201310,대전광역시,전체(시 / 군 / 구),가로등,"14,030 ","6,052,316 ","646,177,365 ",106.8 
201310,대전광역시,전체(시 / 군 / 구),심 야,"19,790 ","10,176,228 ","578,168,280 ",56.8 
201311,대전광역시,전체(시 / 군 / 구),주택용,"392,727 ","155,598,286 ","17,675,311,625 ",113.6 
201311,대전광역시,전체(시 / 군 / 구),일반용,"73,823 ","236,047,160 ","29,619,694,750 ",125.5 
201311,대전광역시,전체(시 / 군 / 구),교육용,993 ,"26,751,167 ","3,063,840,923 ",114.5 
201311,대전광역시,전체(시 / 군 / 구),산업용,"5,074 ","265,012,103 ","30,117,052,541 ",113.6 
201311,대전광역시,전체(시 / 군 / 구),농사용,"7,380 ","2,587,519 ","115,423,740 ",44.6 
201311,대전광역시,전체(시 / 군 / 구),가로등,"14,092 ","6,676,263 ","693,906,835 ",103.9 
201311,대전광역시,전체(시 / 군 / 구),심 야,"19,765 ","22,587,298 ","1,413,200,299 ",62.6 
201312,대전광역시,전체(시 / 군 / 구),주택용,"393,429 ","162,286,704 ","19,553,885,900 ",120.5 
201312,대전광역시,전체(시 / 군 / 구),일반용,"74,473 ","271,804,961 ","36,600,438,742 ",134.7 
201312,대전광역시,전체(시 / 군 / 구),교육용,607 ,"34,847,484 ","3,841,449,800 ",110.2 
201312,대전광역시,전체(시 / 군 / 구),산업용,"5,080 ","275,595,464 ","32,206,166,711 ",116.9 
201312,대전광역시,전체(시 / 군 / 구),농사용,"5,817 ","2,409,889 ","122,165,932 ",50.7 
201312,대전광역시,전체(시 / 군 / 구),가로등,"14,275 ","6,885,369 ","729,903,927 ",106.0 
201312,대전광역시,전체(시 / 군 / 구),심 야,"19,737 ","38,664,034 ","2,886,736,853 ",74.7 
합계,합계,합계,합계,"3,067,865","4,582,087,502","530,168,209,985",115.7
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201307,대전광역시,대덕구,가로등,"1,450 ","699,626 ","83,509,070 ",119.4 
201307,대전광역시,대덕구,교육용,147 ,"1,852,401 ","240,627,125 ",129.9 
201307,대전광역시,대덕구,농사용,544 ,"277,481 ","13,251,344 ",47.8 
201307,대전광역시,대덕구,산업용,"1,642 ","189,367,617 ","21,079,750,956 ",111.3 
201307,대전광역시,대덕구,심 야,"2,798 ","829,600 ","45,663,664 ",55 
201307,대전광역시,대덕구,일반용,"11,843 ","27,862,002 ","3,318,574,837 ",119.1 
201307,대전광역시,대덕구,주택용,"57,345 ","19,899,695 ","2,208,678,348 ",111 
201307,대전광역시,대덕구,합계,"75,769 ","240,788,422 ","26,990,055,344 ",112.1 
201307,대전광역시,동구,가로등,"1,954 ","783,700 ","93,856,895 ",119.8 
201307,대전광역시,동구,교육용,193 ,"3,838,317 ","458,318,725 ",119.4 
201307,대전광역시,동구,농사용,"1,223 ","219,696 ","12,641,739 ",57.5 
201307,대전광역시,동구,산업용,"1,215 ","6,334,717 ","738,429,980 ",116.6 
201307,대전광역시,동구,심 야,"5,501 ","1,560,715 ","86,277,099 ",55.3 
201307,대전광역시,동구,일반용,"13,784 ","33,124,951 ","4,110,283,252 ",124.1 
201307,대전광역시,동구,주택용,"83,168 ","26,158,855 ","2,902,463,898 ",111 
201307,대전광역시,동구,합계,"107,038 ","72,020,951 ","8,402,271,588 ",116.7 
201307,대전광역시,서구,가로등,"1,548 ","1,420,570 ","158,625,590 ",111.7 
201307,대전광역시,서구,교육용,282 ,"4,716,588 ","601,803,199 ",127.6 
201307,대전광역시,서구,농사용,977 ,"289,397 ","16,661,286 ",57.6 
201307,대전광역시,서구,산업용,710 ,"4,768,835 ","574,670,201 ",120.5 
201307,대전광역시,서구,심 야,"4,550 ","2,870,625 ","170,641,019 ",59.4 
201307,대전광역시,서구,일반용,"19,327 ","86,552,611 ","10,591,319,780 ",122.4 
201307,대전광역시,서구,주택용,"116,964 ","51,232,666 ","5,823,157,385 ",113.7 
201307,대전광역시,서구,합계,"144,358 ","151,851,292 ","17,936,878,460 ",118.1 
201307,대전광역시,유성구,가로등,"1,625 ","1,244,977 ","156,677,735 ",125.8 
201307,대전광역시,유성구,교육용,195 ,"18,712,376 ","1,987,262,180 ",106.2 
201307,대전광역시,유성구,농사용,"2,465 ","941,916 ","49,518,215 ",52.6 
201307,대전광역시,유성구,산업용,918 ,"83,726,099 ","9,393,389,698 ",112.2 
201307,대전광역시,유성구,심 야,"2,825 ","3,089,969 ","211,507,546 ",68.4 
201307,대전광역시,유성구,일반용,"13,069 ","90,852,532 ","11,162,432,951 ",122.9 
201307,대전광역시,유성구,주택용,"63,702 ","34,733,766 ","4,280,103,408 ",123.2 
201307,대전광역시,유성구,합계,"84,799 ","233,301,635 ","27,240,891,733 ",116.8 
201307,대전광역시,중구,가로등,"7,294 ","769,032 ","89,260,508 ",116.1 
201307,대전광역시,중구,교육용,173 ,"2,114,085 ","278,070,402 ",131.5 
201307,대전광역시,중구,농사용,528 ,"104,427 ","5,735,886 ",54.9 
201307,대전광역시,중구,산업용,577 ,"3,220,765 ","395,832,492 ",122.9 
201307,대전광역시,중구,심 야,"4,219 ","2,247,500 ","129,133,809 ",57.5 
201307,대전광역시,중구,일반용,"15,347 ","47,966,076 ","6,172,387,745 ",128.7 
201307,대전광역시,중구,주택용,"68,580 ","27,232,807 ","3,260,889,615 ",119.7 
201307,대전광역시,중구,합계,"96,718 ","83,654,692 ","10,331,310,457 ",123.5 
201308,대전광역시,대덕구,가로등,"1,453 ","767,914 ","87,762,108 ",114.3 
201308,대전광역시,대덕구,교육용,147 ,"1,806,034 ","275,234,936 ",152.4 
201308,대전광역시,대덕구,농사용,552 ,"365,704 ","16,912,645 ",46.2 
201308,대전광역시,대덕구,산업용,"1,644 ","187,236,400 ","20,802,801,817 ",111.1 
201308,대전광역시,대덕구,심 야,"2,786 ","658,739 ","35,731,481 ",54.2 
201308,대전광역시,대덕구,일반용,"11,848 ","32,104,715 ","4,447,197,174 ",138.5 
201308,대전광역시,대덕구,주택용,"57,382 ","23,934,925 ","3,201,559,127 ",133.8 
201308,대전광역시,대덕구,합계,"75,812 ","246,874,431 ","28,867,199,288 ",116.9 
201308,대전광역시,동구,가로등,"1,953 ","832,816 ","95,901,025 ",115.2 
201308,대전광역시,동구,교육용,193 ,"3,823,269 ","529,557,209 ",138.5 
201308,대전광역시,동구,농사용,"1,230 ","343,909 ","18,238,948 ",53 
201308,대전광역시,동구,산업용,"1,222 ","6,642,197 ","819,064,057 ",123.3 
201308,대전광역시,동구,심 야,"5,485 ","1,295,298 ","71,432,479 ",55.1 
201308,대전광역시,동구,일반용,"13,805 ","38,110,565 ","5,253,304,026 ",137.8 
201308,대전광역시,동구,주택용,"83,268 ","31,509,913 ","4,267,626,350 ",135.4 
201308,대전광역시,동구,합계,"107,156 ","82,557,967 ","11,055,124,094 ",133.9 
201308,대전광역시,서구,가로등,"1,659 ","1,508,966 ","163,879,007 ",108.6 
201308,대전광역시,서구,교육용,282 ,"4,705,344 ","693,249,241 ",147.3 
201308,대전광역시,서구,농사용,"1,001 ","492,829 ","24,698,025 ",50.1 
201308,대전광역시,서구,산업용,707 ,"5,050,275 ","631,556,349 ",125.1 
201308,대전광역시,서구,심 야,"4,554 ","2,841,102 ","174,104,219 ",61.3 
