"계약종별 전력사용량 월별( 20220804 현재 )","","","","","","",""
"시도 : 경상북도, 시군구 : 전체(시 / 군 / 구)","","","","","","",""
"기간 : 2014년 01 월 ~ 2014년 06월","","","","","","",""
"년월","시구","시군구","계약구분","고객호수(호)","사용량(kWh)","전기요금(원)","평균판매단가(원/kWh)"
"201401","경상북도","전체(시 / 군 / 구)","주택용","1,038,096 ","293,137,437 ","37,790,130,725 ","128.9 "
"201401","경상북도","전체(시 / 군 / 구)","일반용","199,974 ","480,934,930 ","63,211,847,653 ","131.4 "
"201401","경상북도","전체(시 / 군 / 구)","교육용","1,432 ","52,762,376 ","5,823,944,063 ","110.4 "
"201401","경상북도","전체(시 / 군 / 구)","산업용","28,940 ","2,944,671,927 ","326,859,887,310 ","111.0 "
"201401","경상북도","전체(시 / 군 / 구)","농사용","275,379 ","144,581,385 ","6,958,823,024 ","48.1 "
"201401","경상북도","전체(시 / 군 / 구)","가로등","152,429 ","24,609,463 ","2,535,001,572 ","103.0 "
"201401","경상북도","전체(시 / 군 / 구)","심 야","83,662 ","223,838,785 ","16,838,938,023 ","75.2 "
"201402","경상북도","전체(시 / 군 / 구)","주택용","1,040,087 ","295,651,806 ","38,282,016,137 ","129.5 "
"201402","경상북도","전체(시 / 군 / 구)","일반용","200,341 ","462,078,626 ","61,965,918,719 ","134.1 "
"201402","경상북도","전체(시 / 군 / 구)","교육용","1,442 ","50,968,601 ","5,746,100,371 ","112.7 "
"201402","경상북도","전체(시 / 군 / 구)","산업용","29,041 ","2,644,586,051 ","304,390,911,744 ","115.1 "
"201402","경상북도","전체(시 / 군 / 구)","농사용","274,783 ","142,452,214 ","6,878,877,459 ","48.3 "
"201402","경상북도","전체(시 / 군 / 구)","가로등","152,830 ","22,634,671 ","2,514,011,054 ","111.1 "
"201402","경상북도","전체(시 / 군 / 구)","심 야","83,594 ","223,133,842 ","16,783,949,719 ","75.2 "
"201403","경상북도","전체(시 / 군 / 구)","주택용","1,041,848 ","258,398,795 ","29,504,534,637 ","114.2 "
"201403","경상북도","전체(시 / 군 / 구)","일반용","200,426 ","403,230,117 ","50,552,268,913 ","125.4 "
"201403","경상북도","전체(시 / 군 / 구)","교육용","1,451 ","50,824,072 ","4,882,857,460 ","96.1 "
"201403","경상북도","전체(시 / 군 / 구)","산업용","29,064 ","2,984,214,547 ","274,636,955,822 ","92.0 "
"201403","경상북도","전체(시 / 군 / 구)","농사용","342,234 ","120,204,760 ","5,935,983,384 ","49.4 "
"201403","경상북도","전체(시 / 군 / 구)","가로등","153,081 ","21,328,070 ","2,394,645,437 ","112.3 "
"201403","경상북도","전체(시 / 군 / 구)","심 야","83,495 ","177,212,096 ","11,730,085,402 ","66.2 "
"201404","경상북도","전체(시 / 군 / 구)","주택용","1,043,997 ","269,411,976 ","31,476,218,840 ","116.8 "
"201404","경상북도","전체(시 / 군 / 구)","일반용","200,818 ","377,009,493 ","43,703,176,868 ","115.9 "
"201404","경상북도","전체(시 / 군 / 구)","교육용","1,449 ","45,509,641 ","4,263,560,357 ","93.7 "
"201404","경상북도","전체(시 / 군 / 구)","산업용","29,153 ","2,923,207,754 ","267,877,975,400 ","91.6 "
"201404","경상북도","전체(시 / 군 / 구)","농사용","277,457 ","108,482,417 ","5,456,453,267 ","50.3 "
"201404","경상북도","전체(시 / 군 / 구)","가로등","153,486 ","20,788,555 ","2,443,805,188 ","117.6 "
"201404","경상북도","전체(시 / 군 / 구)","심 야","83,405 ","136,140,647 ","7,373,155,056 ","54.2 "
"201405","경상북도","전체(시 / 군 / 구)","주택용","1,045,984 ","253,656,457 ","28,318,352,665 ","111.6 "
"201405","경상북도","전체(시 / 군 / 구)","일반용","201,066 ","346,807,043 ","41,462,613,071 ","119.6 "
"201405","경상북도","전체(시 / 군 / 구)","교육용","1,452 ","38,468,856 ","3,806,398,136 ","98.9 "
"201405","경상북도","전체(시 / 군 / 구)","산업용","29,198 ","2,876,731,111 ","260,769,219,326 ","90.6 "
"201405","경상북도","전체(시 / 군 / 구)","농사용","279,973 ","105,600,889 ","5,297,756,532 ","50.2 "
"201405","경상북도","전체(시 / 군 / 구)","가로등","153,520 ","19,181,532 ","2,366,708,478 ","123.4 "
"201405","경상북도","전체(시 / 군 / 구)","심 야","83,292 ","86,675,361 ","4,686,590,637 ","54.1 "
"201406","경상북도","전체(시 / 군 / 구)","주택용","1,048,222 ","255,373,250 ","28,576,029,138 ","111.9 "
"201406","경상북도","전체(시 / 군 / 구)","일반용","201,410 ","360,888,324 ","48,584,736,242 ","134.6 "
"201406","경상북도","전체(시 / 군 / 구)","교육용","1,456 ","38,671,914 ","4,616,703,858 ","119.4 "
"201406","경상북도","전체(시 / 군 / 구)","산업용","29,274 ","2,878,374,207 ","314,034,123,853 ","109.1 "
"201406","경상북도","전체(시 / 군 / 구)","농사용","282,711 ","130,590,149 ","6,078,379,304 ","46.5 "
"201406","경상북도","전체(시 / 군 / 구)","가로등","154,750 ","18,165,274 ","2,344,363,684 ","129.1 "
"201406","경상북도","전체(시 / 군 / 구)","심 야","83,145 ","49,318,930 ","2,713,162,356 ","55.0 "
"합계","","","","10,798,847","23,360,508,351","2,392,467,170,884","102.4"
"","","","","","","",""
"년월","시구","시군구","계약구분","고객호수(호)","사용량(kWh)","전기요금(원)","평균판매단가(원/kWh)"
"201401","경상북도","경산시","가로등","10,728 ","1,814,629 ","187,301,406 ","103.2 "
"201401","경상북도","경산시","교육용","115 ","11,553,470 ","1,166,003,219 ","100.9 "
"201401","경상북도","경산시","농사용","12,598 ","5,475,810 ","272,751,603 ","49.8 "
"201401","경상북도","경산시","산업용","2,784 ","147,890,893 ","17,714,392,411 ","119.8 "
