"계약종별 전력사용량 월별( 20220804 현재 )","","","","","","",""
"시도 : 서울특별시, 시군구 : 전체(시 / 군 / 구)","","","","","","",""
"기간 : 2014년 01 월 ~ 2014년 06월","","","","","","",""
"년월","시구","시군구","계약구분","고객호수(호)","사용량(kWh)","전기요금(원)","평균판매단가(원/kWh)"
"201401","서울특별시","전체(시 / 군 / 구)","주택용","2,629,638 ","1,187,067,950 ","164,730,814,861 ","138.8 "
"201401","서울특별시","전체(시 / 군 / 구)","일반용","527,799 ","2,282,315,396 ","299,673,221,064 ","131.3 "
"201401","서울특별시","전체(시 / 군 / 구)","교육용","2,573 ","162,796,405 ","17,781,771,565 ","109.2 "
"201401","서울특별시","전체(시 / 군 / 구)","산업용","45,686 ","444,682,227 ","51,966,122,164 ","116.9 "
"201401","서울특별시","전체(시 / 군 / 구)","농사용","1,879 ","1,623,978 ","78,355,151 ","48.2 "
"201401","서울특별시","전체(시 / 군 / 구)","가로등","175,521 ","35,975,413 ","3,700,211,372 ","102.9 "
"201401","서울특별시","전체(시 / 군 / 구)","심 야","19,510 ","41,112,213 ","3,309,772,420 ","80.5 "
"201402","서울특별시","전체(시 / 군 / 구)","주택용","2,632,295 ","1,174,713,281 ","161,928,152,064 ","137.8 "
"201402","서울특별시","전체(시 / 군 / 구)","일반용","527,687 ","2,146,410,552 ","286,282,336,824 ","133.4 "
"201402","서울특별시","전체(시 / 군 / 구)","교육용","2,597 ","152,311,413 ","16,848,078,837 ","110.6 "
"201402","서울특별시","전체(시 / 군 / 구)","산업용","45,756 ","426,308,679 ","50,478,900,200 ","118.4 "
"201402","서울특별시","전체(시 / 군 / 구)","농사용","1,876 ","1,586,004 ","80,056,228 ","50.5 "
"201402","서울특별시","전체(시 / 군 / 구)","가로등","175,612 ","33,833,964 ","3,636,472,729 ","107.5 "
"201402","서울특별시","전체(시 / 군 / 구)","심 야","19,462 ","39,806,649 ","3,214,142,493 ","80.7 "
"201403","서울특별시","전체(시 / 군 / 구)","주택용","2,635,553 ","1,029,038,500 ","125,909,727,968 ","122.4 "
"201403","서울특별시","전체(시 / 군 / 구)","일반용","527,567 ","1,918,287,239 ","232,193,908,171 ","121.0 "
"201403","서울특별시","전체(시 / 군 / 구)","교육용","2,615 ","134,368,862 ","13,537,416,744 ","100.7 "
"201403","서울특별시","전체(시 / 군 / 구)","산업용","45,791 ","401,914,864 ","42,468,373,833 ","105.7 "
"201403","서울특별시","전체(시 / 군 / 구)","농사용","2,072 ","1,389,595 ","66,938,142 ","48.2 "
"201403","서울특별시","전체(시 / 군 / 구)","가로등","175,774 ","30,849,277 ","3,355,538,510 ","108.8 "
"201403","서울특별시","전체(시 / 군 / 구)","심 야","19,413 ","32,070,659 ","2,311,540,649 ","72.1 "
"201404","서울특별시","전체(시 / 군 / 구)","주택용","2,639,055 ","1,066,274,547 ","133,178,041,553 ","124.9 "
"201404","서울특별시","전체(시 / 군 / 구)","일반용","527,792 ","1,820,400,391 ","206,899,089,346 ","113.7 "
"201404","서울특별시","전체(시 / 군 / 구)","교육용","2,620 ","120,097,168 ","11,676,177,745 ","97.2 "
"201404","서울특별시","전체(시 / 군 / 구)","산업용","45,812 ","401,064,413 ","39,775,795,562 ","99.2 "
"201404","서울특별시","전체(시 / 군 / 구)","농사용","1,881 ","1,309,320 ","63,741,637 ","48.7 "
"201404","서울특별시","전체(시 / 군 / 구)","가로등","175,735 ","29,462,653 ","3,335,754,309 ","113.2 "
