계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 울산광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2014년 01 월 ~ 2014년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201401,울산광역시,전체(시 / 군 / 구),주택용,"294,862 ","130,242,345 ","17,284,408,701 ",132.7 
201401,울산광역시,전체(시 / 군 / 구),일반용,"66,514 ","178,290,138 ","24,149,000,254 ",135.4 
201401,울산광역시,전체(시 / 군 / 구),교육용,406 ,"14,217,956 ","1,633,545,259 ",114.9 
201401,울산광역시,전체(시 / 군 / 구),산업용,"5,901 ","2,222,532,029 ","239,070,073,651 ",107.6 
201401,울산광역시,전체(시 / 군 / 구),농사용,"10,358 ","8,299,751 ","404,209,129 ",48.7 
201401,울산광역시,전체(시 / 군 / 구),가로등,"29,330 ","5,498,886 ","569,723,738 ",103.6 
201401,울산광역시,전체(시 / 군 / 구),심 야,"8,641 ","26,373,865 ","1,990,698,925 ",75.5 
201402,울산광역시,전체(시 / 군 / 구),주택용,"295,504 ","131,221,087 ","17,799,157,171 ",135.6 
201402,울산광역시,전체(시 / 군 / 구),일반용,"66,559 ","171,220,780 ","23,474,414,169 ",137.1 
201402,울산광역시,전체(시 / 군 / 구),교육용,416 ,"13,426,895 ","1,582,976,217 ",117.9 
201402,울산광역시,전체(시 / 군 / 구),산업용,"5,918 ","2,014,621,200 ","223,887,732,532 ",111.1 
201402,울산광역시,전체(시 / 군 / 구),농사용,"10,377 ","8,127,118 ","397,209,520 ",48.9 
201402,울산광역시,전체(시 / 군 / 구),가로등,"29,412 ","5,141,719 ","565,071,613 ",109.9 
201402,울산광역시,전체(시 / 군 / 구),심 야,"8,626 ","25,977,664 ","1,957,130,066 ",75.3 
201403,울산광역시,전체(시 / 군 / 구),주택용,"296,124 ","116,559,215 ","14,087,938,962 ",120.9 
201403,울산광역시,전체(시 / 군 / 구),일반용,"66,590 ","154,651,457 ","19,858,768,601 ",128.4 
201403,울산광역시,전체(시 / 군 / 구),교육용,422 ,"13,474,668 ","1,367,250,576 ",101.5 
201403,울산광역시,전체(시 / 군 / 구),산업용,"5,921 ","2,248,137,748 ","194,707,181,755 ",86.6 
201403,울산광역시,전체(시 / 군 / 구),농사용,"11,371 ","6,863,422 ","338,149,382 ",49.3 
201403,울산광역시,전체(시 / 군 / 구),가로등,"29,439 ","4,691,143 ","525,103,913 ",111.9 
201403,울산광역시,전체(시 / 군 / 구),심 야,"8,617 ","21,428,813 ","1,436,641,486 ",67.0 
201404,울산광역시,전체(시 / 군 / 구),주택용,"297,018 ","120,621,890 ","15,069,461,248 ",124.9 
201404,울산광역시,전체(시 / 군 / 구),일반용,"66,735 ","146,454,756 ","17,205,368,535 ",117.5 
201404,울산광역시,전체(시 / 군 / 구),교육용,425 ,"11,547,327 ","1,175,048,282 ",101.8 
201404,울산광역시,전체(시 / 군 / 구),산업용,"5,938 ","2,187,498,835 ","192,292,877,304 ",87.9 
201404,울산광역시,전체(시 / 군 / 구),농사용,"10,525 ","6,363,430 ","315,139,879 ",49.5 
201404,울산광역시,전체(시 / 군 / 구),가로등,"29,515 ","4,575,143 ","535,467,025 ",117.0 
