"계약종별 전력사용량 월별( 20220804 현재 )","","","","","","",""
"시도 : 전라북도, 시군구 : 전체(시 / 군 / 구)","","","","","","",""
"기간 : 2014년 01 월 ~ 2014년 06월","","","","","","",""
"년월","시구","시군구","계약구분","고객호수(호)","사용량(kWh)","전기요금(원)","평균판매단가(원/kWh)"
"201401","전라북도","전체(시 / 군 / 구)","주택용","600,884 ","207,582,152 ","27,222,692,474 ","131.1 "
"201401","전라북도","전체(시 / 군 / 구)","일반용","128,182 ","323,610,662 ","42,678,866,758 ","131.9 "
"201401","전라북도","전체(시 / 군 / 구)","교육용","1,154 ","36,152,847 ","4,090,512,907 ","113.1 "
"201401","전라북도","전체(시 / 군 / 구)","산업용","13,148 ","1,194,990,961 ","132,357,193,478 ","110.8 "
"201401","전라북도","전체(시 / 군 / 구)","농사용","118,908 ","109,276,983 ","5,239,284,223 ","47.9 "
"201401","전라북도","전체(시 / 군 / 구)","가로등","82,167 ","16,376,074 ","1,673,050,920 ","102.2 "
"201401","전라북도","전체(시 / 군 / 구)","심 야","70,738 ","171,557,835 ","12,819,503,116 ","74.7 "
"201402","전라북도","전체(시 / 군 / 구)","주택용","601,807 ","209,547,751 ","27,775,079,667 ","132.5 "
"201402","전라북도","전체(시 / 군 / 구)","일반용","128,434 ","309,402,099 ","41,262,881,450 ","133.4 "
"201402","전라북도","전체(시 / 군 / 구)","교육용","1,160 ","33,117,772 ","3,828,762,351 ","115.6 "
"201402","전라북도","전체(시 / 군 / 구)","산업용","13,173 ","1,087,911,333 ","125,195,471,862 ","115.1 "
"201402","전라북도","전체(시 / 군 / 구)","농사용","118,611 ","109,616,374 ","5,245,220,058 ","47.9 "
"201402","전라북도","전체(시 / 군 / 구)","가로등","108,849 ","15,386,473 ","1,691,939,958 ","110.0 "
"201402","전라북도","전체(시 / 군 / 구)","심 야","70,672 ","171,308,524 ","12,771,691,150 ","74.6 "
"201403","전라북도","전체(시 / 군 / 구)","주택용","602,913 ","182,621,937 ","21,346,258,576 ","116.9 "
"201403","전라북도","전체(시 / 군 / 구)","일반용","128,574 ","269,469,925 ","34,067,449,043 ","126.4 "
"201403","전라북도","전체(시 / 군 / 구)","교육용","1,162 ","32,093,729 ","3,332,318,270 ","103.8 "
"201403","전라북도","전체(시 / 군 / 구)","산업용","13,178 ","1,199,578,745 ","109,024,817,553 ","90.9 "
"201403","전라북도","전체(시 / 군 / 구)","농사용","198,181 ","96,703,848 ","4,734,137,290 ","49.0 "
"201403","전라북도","전체(시 / 군 / 구)","가로등","116,414 ","14,681,684 ","1,624,127,298 ","110.6 "
"201403","전라북도","전체(시 / 군 / 구)","심 야","70,617 ","135,383,571 ","8,903,366,639 ","65.8 "
"201404","전라북도","전체(시 / 군 / 구)","주택용","604,113 ","192,404,250 ","23,257,929,661 ","120.9 "
"201404","전라북도","전체(시 / 군 / 구)","일반용","128,991 ","253,890,860 ","29,510,625,775 ","116.2 "
"201404","전라북도","전체(시 / 군 / 구)","교육용","1,164 ","29,459,747 ","2,877,180,768 ","97.7 "
"201404","전라북도","전체(시 / 군 / 구)","산업용","13,205 ","1,188,256,373 ","110,252,608,393 ","92.8 "
"201404","전라북도","전체(시 / 군 / 구)","농사용","153,808 ","87,603,468 ","4,285,010,406 ","48.9 "
"201404","전라북도","전체(시 / 군 / 구)","가로등","116,756 ","14,113,928 ","1,648,361,245 ","116.8 "
"201404","전라북도","전체(시 / 군 / 구)","심 야","70,535 ","105,282,420 ","5,661,015,224 ","53.8 "
"201405","전라북도","전체(시 / 군 / 구)","주택용","605,021 ","180,685,142 ","20,679,824,486 ","114.5 "
"201405","전라북도","전체(시 / 군 / 구)","일반용","129,014 ","226,978,378 ","27,592,109,711 ","121.6 "
