계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2014년 01 월 ~ 2014년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201401,충청북도,전체(시 / 군 / 구),주택용,"534,671 ","176,742,164 ","23,422,639,962 ",132.5 
201401,충청북도,전체(시 / 군 / 구),일반용,"106,457 ","284,115,951 ","37,729,428,208 ",132.8 
201401,충청북도,전체(시 / 군 / 구),교육용,738 ,"31,352,631 ","3,440,587,564 ",109.7 
201401,충청북도,전체(시 / 군 / 구),산업용,"14,427 ","1,204,723,417 ","139,997,017,193 ",116.2 
201401,충청북도,전체(시 / 군 / 구),농사용,"108,197 ","58,104,003 ","2,822,755,307 ",48.6 
201401,충청북도,전체(시 / 군 / 구),가로등,"84,316 ","13,417,023 ","1,380,376,568 ",102.9 
201401,충청북도,전체(시 / 군 / 구),심 야,"93,752 ","231,709,703 ","17,299,716,803 ",74.7 
201402,충청북도,전체(시 / 군 / 구),주택용,"535,990 ","177,588,623 ","23,741,883,601 ",133.7 
201402,충청북도,전체(시 / 군 / 구),일반용,"106,518 ","272,408,324 ","36,562,679,403 ",134.2 
201402,충청북도,전체(시 / 군 / 구),교육용,739 ,"29,858,028 ","3,294,773,834 ",110.3 
201402,충청북도,전체(시 / 군 / 구),산업용,"14,458 ","1,124,518,167 ","134,196,667,050 ",119.3 
201402,충청북도,전체(시 / 군 / 구),농사용,"108,018 ","58,198,689 ","2,832,984,644 ",48.7 
201402,충청북도,전체(시 / 군 / 구),가로등,"84,551 ","12,486,103 ","1,377,146,804 ",110.3 
201402,충청북도,전체(시 / 군 / 구),심 야,"93,694 ","225,914,641 ","16,864,844,156 ",74.7 
201403,충청북도,전체(시 / 군 / 구),주택용,"536,468 ","154,286,068 ","18,102,818,691 ",117.3 
201403,충청북도,전체(시 / 군 / 구),일반용,"106,596 ","235,554,463 ","30,066,897,958 ",127.6 
201403,충청북도,전체(시 / 군 / 구),교육용,740 ,"27,043,813 ","2,803,874,218 ",103.7 
201403,충청북도,전체(시 / 군 / 구),산업용,"14,502 ","1,268,106,482 ","120,589,521,374 ",95.1 
201403,충청북도,전체(시 / 군 / 구),농사용,"143,001 ","49,745,831 ","2,497,160,205 ",50.2 
201403,충청북도,전체(시 / 군 / 구),가로등,"84,688 ","11,855,065 ","1,316,472,681 ",111.0 
201403,충청북도,전체(시 / 군 / 구),심 야,"93,637 ","174,565,663 ","11,409,573,700 ",65.4 
201404,충청북도,전체(시 / 군 / 구),주택용,"537,013 ","161,676,090 ","19,469,126,192 ",120.4 
201404,충청북도,전체(시 / 군 / 구),일반용,"106,873 ","222,160,218 ","26,075,606,206 ",117.4 
201404,충청북도,전체(시 / 군 / 구),교육용,743 ,"23,912,836 ","2,307,871,293 ",96.5 
201404,충청북도,전체(시 / 군 / 구),산업용,"14,538 ","1,251,865,802 ","117,208,837,175 ",93.6 
201404,충청북도,전체(시 / 군 / 구),농사용,"108,850 ","43,682,136 ","2,248,870,355 ",51.5 
201404,충청북도,전체(시 / 군 / 구),가로등,"84,871 ","11,613,601 ","1,352,219,459 ",116.4 
201404,충청북도,전체(시 / 군 / 구),심 야,"93,536 ","127,766,469 ","6,884,551,003 ",53.9 
201405,충청북도,전체(시 / 군 / 구),주택용,"537,862 ","151,392,715 ","17,307,065,339 ",114.3 
201405,충청북도,전체(시 / 군 / 구),일반용,"107,147 ","203,238,206 ","24,712,225,017 ",121.6 
201405,충청북도,전체(시 / 군 / 구),교육용,745 ,"17,575,609 ","1,961,767,849 ",111.6 
201405,충청북도,전체(시 / 군 / 구),산업용,"14,548 ","1,252,992,325 ","117,775,548,675 ",94.0 
201405,충청북도,전체(시 / 군 / 구),농사용,"109,469 ","41,160,351 ","2,107,575,774 ",51.2 
201405,충청북도,전체(시 / 군 / 구),가로등,"85,158 ","11,169,364 ","1,334,548,579 ",119.5 
201405,충청북도,전체(시 / 군 / 구),심 야,"93,383 ","74,382,880 ","4,025,664,899 ",54.1 
201406,충청북도,전체(시 / 군 / 구),주택용,"538,944 ","154,085,094 ","17,826,033,669 ",115.7 
201406,충청북도,전체(시 / 군 / 구),일반용,"107,548 ","219,570,706 ","29,503,961,296 ",134.4 
201406,충청북도,전체(시 / 군 / 구),교육용,746 ,"17,805,791 ","2,129,737,036 ",119.6 
201406,충청북도,전체(시 / 군 / 구),산업용,"14,565 ","1,254,783,143 ","144,083,671,664 ",114.8 
201406,충청북도,전체(시 / 군 / 구),농사용,"110,225 ","48,824,540 ","2,357,626,693 ",48.3 
201406,충청북도,전체(시 / 군 / 구),가로등,"85,530 ","10,705,573 ","1,326,599,611 ",123.9 
201406,충청북도,전체(시 / 군 / 구),심 야,"93,237 ","39,374,403 ","2,176,103,844 ",55.3 
합계,합계,합계,합계,"5,711,689","11,162,032,704","1,175,925,031,552",105.4
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201401,충청북도,괴산군,가로등,"2,572 ","903,124 ","97,480,462 ",107.9 
