년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201407-201412,강원도,강릉시,일반용,17689,227255481,24.07
201407-201412,강원도,강릉시,합계,20279,944045151,
201407-201412,강원도,고성군,일반용,3648,57374525,43.87
201407-201412,강원도,고성군,합계,4448,130768415,
201407-201412,강원도,동해시,일반용,6693,96303542,6.26
201407-201412,강원도,동해시,합계,7677,1537978389,
201407-201412,강원도,삼척시,일반용,5934,76958438,12.61
201407-201412,강원도,삼척시,합계,8304,610527561,
201407-201412,강원도,속초시,일반용,7555,114783730,53.34
201407-201412,강원도,속초시,합계,6257,215195722,
201407-201412,강원도,양구군,일반용,2359,35066824,37.95
201407-201412,강원도,양구군,합계,3450,92405132,
201407-201412,강원도,양양군,일반용,3886,54267670,44.37
201407-201412,강원도,양양군,합계,4604,122316834,
201407-201412,강원도,영월군,일반용,3975,35973285,6.88
201407-201412,강원도,영월군,합계,6203,522996214,
201407-201412,강원도,원주시,일반용,22536,327007613,31.23
201407-201412,강원도,원주시,합계,23079,1046946451,
201407-201412,강원도,인제군,일반용,4265,62024789,43.74
201407-201412,강원도,인제군,합계,5290,141804018,
201407-201412,강원도,정선군,일반용,4855,88995314,30.76
201407-201412,강원도,정선군,합계,5984,289289254,
201407-201412,강원도,철원군,일반용,4682,69685657,33.46
201407-201412,강원도,철원군,합계,6698,208255338,
201407-201412,강원도,춘천시,일반용,19587,316825229,43.68
201407-201412,강원도,춘천시,합계,21765,725322952,
201407-201412,강원도,태백시,일반용,4052,41605934,27.01
201407-201412,강원도,태백시,합계,4584,154035019,
201407-201412,강원도,평창군,일반용,5802,119845341,44.24
201407-201412,강원도,평창군,합계,7763,270876387,
201407-201412,강원도,홍천군,일반용,7605,113604124,36.82
201407-201412,강원도,홍천군,합계,10652,308516296,
201407-201412,강원도,화천군,일반용,3004,48228275,46.65
201407-201412,강원도,화천군,합계,3626,103390662,
201407-201412,강원도,횡성군,일반용,4590,65267947,26.03
201407-201412,강원도,횡성군,합계,7757,250784942,
