계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경기도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2014년 07 월 ~ 2014년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201407,경기도,전체(시 / 군 / 구),주택용,"2,585,546 ","1,275,518,251 ","161,892,525,967 ",126.9 
201407,경기도,전체(시 / 군 / 구),일반용,"597,452 ","2,080,442,262 ","301,649,852,224 ",145.0 
201407,경기도,전체(시 / 군 / 구),교육용,"4,159 ","114,127,377 ","15,545,791,201 ",136.2 
201407,경기도,전체(시 / 군 / 구),산업용,"112,008 ","4,764,338,908 ","591,243,221,300 ",124.1 
201407,경기도,전체(시 / 군 / 구),농사용,"188,896 ","150,764,406 ","7,236,584,295 ",48.0 
201407,경기도,전체(시 / 군 / 구),가로등,"292,871 ","53,170,104 ","6,620,037,534 ",124.5 
201407,경기도,전체(시 / 군 / 구),심 야,"162,811 ","91,509,678 ","5,476,955,987 ",59.9 
201408,경기도,전체(시 / 군 / 구),주택용,"2,593,354 ","1,412,867,359 ","197,173,377,369 ",139.6 
201408,경기도,전체(시 / 군 / 구),일반용,"598,532 ","2,204,496,976 ","311,937,865,236 ",141.5 
201408,경기도,전체(시 / 군 / 구),교육용,"4,161 ","99,371,086 ","14,091,488,569 ",141.8 
201408,경기도,전체(시 / 군 / 구),산업용,"112,301 ","4,573,833,126 ","556,977,226,391 ",121.8 
201408,경기도,전체(시 / 군 / 구),농사용,"189,812 ","172,177,591 ","8,291,428,851 ",48.2 
201408,경기도,전체(시 / 군 / 구),가로등,"293,819 ","56,209,083 ","6,778,383,952 ",120.6 
201408,경기도,전체(시 / 군 / 구),심 야,"162,435 ","85,725,032 ","5,162,281,601 ",60.2 
201409,경기도,전체(시 / 군 / 구),주택용,"2,600,409 ","1,294,758,371 ","163,377,279,618 ",126.2 
201409,경기도,전체(시 / 군 / 구),일반용,"599,403 ","1,975,415,416 ","248,311,440,642 ",125.7 
201409,경기도,전체(시 / 군 / 구),교육용,"4,172 ","102,596,004 ","12,267,284,453 ",119.6 
201409,경기도,전체(시 / 군 / 구),산업용,"112,605 ","4,383,642,203 ","446,385,920,964 ",101.8 
201409,경기도,전체(시 / 군 / 구),농사용,"190,502 ","171,489,874 ","8,218,162,343 ",47.9 
201409,경기도,전체(시 / 군 / 구),가로등,"294,271 ","60,369,921 ","7,049,916,409 ",116.8 
201409,경기도,전체(시 / 군 / 구),심 야,"162,248 ","87,520,730 ","5,206,894,665 ",59.5 
201410,경기도,전체(시 / 군 / 구),주택용,"2,607,191 ","1,196,046,466 ","138,750,771,141 ",116.0 
201410,경기도,전체(시 / 군 / 구),일반용,"600,195 ","1,754,051,447 ","202,412,125,448 ",115.4 
201410,경기도,전체(시 / 군 / 구),교육용,"4,176 ","92,013,867 ","10,299,158,817 ",111.9 
201410,경기도,전체(시 / 군 / 구),산업용,"112,862 ","4,482,410,114 ","436,568,294,781 ",97.4 
201410,경기도,전체(시 / 군 / 구),농사용,"190,877 ","145,948,590 ","7,249,515,936 ",49.7 
201410,경기도,전체(시 / 군 / 구),가로등,"294,684 ","65,199,206 ","7,286,991,286 ",111.8 
201410,경기도,전체(시 / 군 / 구),심 야,"162,171 ","124,563,069 ","7,092,599,728 ",56.9 
201411,경기도,전체(시 / 군 / 구),주택용,"2,614,120 ","1,280,076,742 ","157,555,086,465 ",123.1 
201411,경기도,전체(시 / 군 / 구),일반용,"602,097 ","1,812,010,889 ","235,168,994,598 ",129.8 
201411,경기도,전체(시 / 군 / 구),교육용,"4,180 ","106,800,227 ","12,744,125,992 ",119.3 
201411,경기도,전체(시 / 군 / 구),산업용,"113,170 ","4,511,645,424 ","523,040,675,073 ",115.9 
201411,경기도,전체(시 / 군 / 구),농사용,"259,722 ","226,325,818 ","9,570,002,160 ",42.3 
201411,경기도,전체(시 / 군 / 구),가로등,"295,391 ","71,092,232 ","7,749,151,835 ",109.0 
201411,경기도,전체(시 / 군 / 구),심 야,"162,132 ","272,597,479 ","17,530,667,868 ",64.3 
201412,경기도,전체(시 / 군 / 구),주택용,"2,619,077 ","1,346,116,382 ","172,563,168,763 ",128.2 
201412,경기도,전체(시 / 군 / 구),일반용,"605,026 ","2,206,976,057 ","296,463,637,770 ",134.3 
201412,경기도,전체(시 / 군 / 구),교육용,"4,191 ","164,792,096 ","18,464,211,794 ",112.0 
201412,경기도,전체(시 / 군 / 구),산업용,"113,420 ","4,889,142,756 ","582,693,971,390 ",119.2 
201412,경기도,전체(시 / 군 / 구),농사용,"198,530 ","207,677,874 ","9,803,676,448 ",47.2 
201412,경기도,전체(시 / 군 / 구),가로등,"296,124 ","73,300,790 ","7,835,020,587 ",106.9 
201412,경기도,전체(시 / 군 / 구),심 야,"162,090 ","445,330,392 ","33,733,171,646 ",75.7 
합계,합계,합계,합계,"23,883,193","50,684,461,675","5,975,468,939,097",117.9
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201407,경기도,가평군,가로등,"8,425 ","753,605 ","87,745,692 ",116.4 
201407,경기도,가평군,교육용,46 ,"680,954 ","95,055,116 ",139.6 
201407,경기도,가평군,농사용,"5,839 ","2,521,793 ","132,495,552 ",52.5 
201407,경기도,가평군,산업용,998 ,"6,166,453 ","894,177,386 ",145 
201407,경기도,가평군,심 야,"6,452 ","3,616,326 ","201,305,061 ",55.7 
201407,경기도,가평군,일반용,"9,038 ","19,980,883 ","3,104,160,035 ",155.4 
201407,경기도,가평군,주택용,"27,093 ","5,697,216 ","718,894,447 ",126.2 
201407,경기도,가평군,합계,"57,891 ","39,417,230 ","5,233,833,289 ",132.8 
201407,경기도,고양시,가로등,"16,676 ","3,455,571 ","431,382,722 ",124.8 
201407,경기도,고양시,교육용,328 ,"7,470,798 ","1,009,941,139 ",135.2 
201407,경기도,고양시,농사용,"10,884 ","6,762,182 ","382,424,107 ",56.6 
201407,경기도,고양시,산업용,"5,206 ","55,677,961 ","7,492,259,112 ",134.6 
201407,경기도,고양시,심 야,"7,198 ","6,567,394 ","425,987,619 ",64.9 
201407,경기도,고양시,일반용,"38,361 ","158,363,717 ","22,753,333,982 ",143.7 
201407,경기도,고양시,주택용,"133,868 ","108,247,568 ","14,402,725,725 ",133.1 
201407,경기도,고양시,합계,"212,521 ","346,545,191 ","46,898,054,406 ",135.3 
201407,경기도,과천시,가로등,384 ,"462,669 ","56,756,047 ",122.7 
201407,경기도,과천시,교육용,27 ,"1,659,574 ","210,808,677 ",127 
201407,경기도,과천시,농사용,"1,207 ","539,560 ","28,508,296 ",52.8 
201407,경기도,과천시,산업용,85 ,"3,922,077 ","433,123,026 ",110.4 
201407,경기도,과천시,심 야,328 ,"1,145,068 ","70,934,404 ",61.9 
201407,경기도,과천시,일반용,"2,199 ","20,181,696 ","2,792,895,884 ",138.4 
