년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201407-201412,경상북도,경산시,일반용,15608,197724456,15.11
201407-201412,경상북도,경산시,합계,23581,1308620695,
201407-201412,경상북도,경주시,일반용,23260,305356745,16.22
201407-201412,경상북도,경주시,합계,30642,1882198395,
201407-201412,경상북도,고령군,일반용,2856,25203317,4.32
201407-201412,경상북도,고령군,합계,4872,583265137,
201407-201412,경상북도,구미시,일반용,25825,339774543,6.57
201407-201412,경상북도,구미시,합계,31150,5173134646,
201407-201412,경상북도,군위군,일반용,1992,22488793,15.07
201407-201412,경상북도,군위군,합계,4590,149204723,
201407-201412,경상북도,김천시,일반용,9314,105097492,10.93
201407-201412,경상북도,김천시,합계,16205,961676420,
201407-201412,경상북도,문경시,일반용,6270,67024838,24.81
201407-201412,경상북도,문경시,합계,9874,270174462,
201407-201412,경상북도,봉화군,일반용,2920,21332898,2.31
201407-201412,경상북도,봉화군,합계,6692,925005633,
201407-201412,경상북도,상주시,일반용,7507,74144365,23.06
201407-201412,경상북도,상주시,합계,15793,321473430,
201407-201412,경상북도,성주군,일반용,3720,33932083,7.97
201407-201412,경상북도,성주군,합계,7906,425853350,
201407-201412,경상북도,안동시,일반용,12556,157397438,33.2
201407-201412,경상북도,안동시,합계,19234,474028897,
201407-201412,경상북도,영덕군,일반용,4945,49390476,37.41
201407-201412,경상북도,영덕군,합계,6590,132036150,
201407-201412,경상북도,영양군,일반용,1635,11867304,23.57
201407-201412,경상북도,영양군,합계,3910,50344325,
201407-201412,경상북도,영주시,일반용,8969,84830831,13.42
201407-201412,경상북도,영주시,합계,12932,631931141,
201407-201412,경상북도,영천시,일반용,7637,82606869,12.23
201407-201412,경상북도,영천시,합계,13681,675593490,
201407-201412,경상북도,예천군,일반용,3293,33281168,24.2
201407-201412,경상북도,예천군,합계,8864,137524335,
201407-201412,경상북도,울릉군,일반용,1556,15550243,58.44
201407-201412,경상북도,울릉군,합계,1254,26607123,
201407-201412,경상북도,울진군,일반용,5105,69950078,27.48
201407-201412,경상북도,울진군,합계,8070,254584566,
201407-201412,경상북도,의성군,일반용,4139,33632406,17.32
201407-201412,경상북도,의성군,합계,11086,194147202,
201407-201412,경상북도,청도군,일반용,3642,36554730,16.29
201407-201412,경상북도,청도군,합계,8765,224434213,
201407-201412,경상북도,청송군,일반용,2738,23484679,29.16
201407-201412,경상북도,청송군,합계,5944,80537770,
201407-201412,경상북도,칠곡군,일반용,9526,134119902,13.38
201407-201412,경상북도,칠곡군,합계,12393,1002402983,
201407-201412,경상북도,포항시,일반용,37248,454406033,6.71
201407-201412,경상북도,포항시,합계,40959,6771028415,
