계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대전광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2014년 07 월 ~ 2014년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201407,대전광역시,전체(시 / 군 / 구),주택용,"396,838 ","154,812,233 ","17,738,669,176 ",114.6 
201407,대전광역시,전체(시 / 군 / 구),일반용,"74,985 ","281,408,375 ","40,501,202,012 ",143.9 
201407,대전광역시,전체(시 / 군 / 구),교육용,603 ,"30,519,368 ","3,715,786,506 ",121.8 
201407,대전광역시,전체(시 / 군 / 구),산업용,"5,132 ","298,856,453 ","36,031,800,950 ",120.6 
201407,대전광역시,전체(시 / 군 / 구),농사용,"5,996 ","1,991,621 ","107,081,535 ",53.8 
201407,대전광역시,전체(시 / 군 / 구),가로등,"14,619 ","5,219,093 ","645,558,622 ",123.7 
201407,대전광역시,전체(시 / 군 / 구),심 야,"19,327 ","9,891,974 ","618,872,864 ",62.6 
201408,대전광역시,전체(시 / 군 / 구),주택용,"397,582 ","172,979,713 ","21,857,093,035 ",126.4 
201408,대전광역시,전체(시 / 군 / 구),일반용,"75,185 ","299,795,575 ","42,160,290,762 ",140.6 
201408,대전광역시,전체(시 / 군 / 구),교육용,605 ,"29,471,028 ","3,564,487,696 ",120.9 
201408,대전광역시,전체(시 / 군 / 구),산업용,"5,133 ","278,955,128 ","32,952,038,854 ",118.1 
201408,대전광역시,전체(시 / 군 / 구),농사용,"6,029 ","2,655,506 ","135,525,856 ",51.0 
201408,대전광역시,전체(시 / 군 / 구),가로등,"14,651 ","5,507,914 ","661,687,314 ",120.1 
201408,대전광역시,전체(시 / 군 / 구),심 야,"19,258 ","9,151,677 ","576,945,411 ",63.0 
201409,대전광역시,전체(시 / 군 / 구),주택용,"398,376 ","157,009,839 ","18,048,378,013 ",115.0 
201409,대전광역시,전체(시 / 군 / 구),일반용,"75,098 ","266,245,562 ","33,331,290,946 ",125.2 
201409,대전광역시,전체(시 / 군 / 구),교육용,605 ,"26,376,433 ","2,749,736,633 ",104.2 
201409,대전광역시,전체(시 / 군 / 구),산업용,"5,141 ","267,734,552 ","26,079,875,477 ",97.4 
