년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201407-201412,부산광역시,강서구,일반용,7484,124499145,7.48
201407-201412,부산광역시,강서구,합계,7193,1665331497,
201407-201412,부산광역시,금정구,일반용,15088,183880379,35.28
201407-201412,부산광역시,금정구,합계,17329,521238289,
201407-201412,부산광역시,기장군,일반용,7040,126353032,25.64
201407-201412,부산광역시,기장군,합계,7736,492713283,
201407-201412,부산광역시,남구,일반용,11826,180649666,26.49
201407-201412,부산광역시,남구,합계,17095,681906473,
201407-201412,부산광역시,동구,일반용,7601,142502419,56.36
201407-201412,부산광역시,동구,합계,8969,252832258,
201407-201412,부산광역시,동래구,일반용,15512,209947158,46.64
201407-201412,부산광역시,동래구,합계,15966,450118401,
201407-201412,부산광역시,부산진구,일반용,22780,403717792,49.29
201407-201412,부산광역시,부산진구,합계,23936,819055049,
201407-201412,부산광역시,북구,일반용,10489,168825380,39.1
201407-201412,부산광역시,북구,합계,12596,431801372,
201407-201412,부산광역시,사상구,일반용,13422,208761791,22.86
201407-201412,부산광역시,사상구,합계,13268,913035576,
201407-201412,부산광역시,사하구,일반용,14164,201822016,14.09
201407-201412,부산광역시,사하구,합계,18736,1432195252,
201407-201412,부산광역시,서구,일반용,6649,104122532,36.44
201407-201412,부산광역시,서구,합계,10376,285741744,
201407-201412,부산광역시,수영구,일반용,10095,142580387,51.12
201407-201412,부산광역시,수영구,합계,11799,278909945,
201407-201412,부산광역시,연제구,일반용,10742,188371253,50.15
201407-201412,부산광역시,연제구,합계,12068,375639140,
201407-201412,부산광역시,영도구,일반용,5909,65530566,29.17
201407-201412,부산광역시,영도구,합계,9812,224631899,
201407-201412,부산광역시,중구,일반용,9072,174186433,80.37
201407-201412,부산광역시,중구,합계,6095,216729753,
201407-201412,부산광역시,해운대구,일반용,13633,434259588,47.54
201407-201412,부산광역시,해운대구,합계,15295,913541073,
