계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 서울특별시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2014년 07 월 ~ 2014년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201407,서울특별시,전체(시 / 군 / 구),주택용,"2,649,152 ","1,121,937,944 ","154,343,846,678 ",137.6 
201407,서울특별시,전체(시 / 군 / 구),일반용,"528,237 ","2,283,973,463 ","326,971,315,111 ",143.2 
201407,서울특별시,전체(시 / 군 / 구),교육용,"2,637 ","139,144,370 ","17,381,180,459 ",124.9 
201407,서울특별시,전체(시 / 군 / 구),산업용,"46,000 ","437,838,420 ","55,450,274,677 ",126.6 
201407,서울특별시,전체(시 / 군 / 구),농사용,"1,901 ","1,308,214 ","66,815,522 ",51.1 
201407,서울특별시,전체(시 / 군 / 구),가로등,"176,232 ","25,052,793 ","3,006,006,232 ",120.0 
201407,서울특별시,전체(시 / 군 / 구),심 야,"19,049 ","62,986,863 ","4,618,987,360 ",73.3 
201408,서울특별시,전체(시 / 군 / 구),주택용,"2,652,034 ","1,233,458,597 ","185,058,599,703 ",150.0 
201408,서울특별시,전체(시 / 군 / 구),일반용,"528,897 ","2,362,338,932 ","331,577,447,068 ",140.4 
201408,서울특별시,전체(시 / 군 / 구),교육용,"2,647 ","128,381,964 ","16,261,664,839 ",126.7 
201408,서울특별시,전체(시 / 군 / 구),산업용,"46,084 ","448,389,560 ","55,354,691,985 ",123.5 
201408,서울특별시,전체(시 / 군 / 구),농사용,"1,902 ","1,460,689 ","72,001,502 ",49.3 
201408,서울특별시,전체(시 / 군 / 구),가로등,"176,293 ","26,402,551 ","3,065,246,230 ",116.1 
201408,서울특별시,전체(시 / 군 / 구),심 야,"18,980 ","60,400,364 ","4,379,976,521 ",72.5 
201409,서울특별시,전체(시 / 군 / 구),주택용,"2,655,354 ","1,114,598,375 ","148,182,655,363 ",132.9 
201409,서울특별시,전체(시 / 군 / 구),일반용,"528,702 ","2,103,977,552 ","256,308,640,098 ",121.8 
201409,서울특별시,전체(시 / 군 / 구),교육용,"2,648 ","122,824,507 ","13,166,667,756 ",107.2 
201409,서울특별시,전체(시 / 군 / 구),산업용,"46,093 ","425,746,369 ","46,368,942,786 ",108.9 
201409,서울특별시,전체(시 / 군 / 구),농사용,"1,899 ","1,350,718 ","65,796,642 ",48.7 
201409,서울특별시,전체(시 / 군 / 구),가로등,"176,417 ","28,418,557 ","3,191,852,949 ",112.3 
201409,서울특별시,전체(시 / 군 / 구),심 야,"18,908 ","47,761,104 ","3,466,517,966 ",72.6 
201410,서울특별시,전체(시 / 군 / 구),주택용,"2,658,390 ","1,009,580,607 ","121,014,012,288 ",119.9 
201410,서울특별시,전체(시 / 군 / 구),일반용,"528,553 ","1,830,788,883 ","207,235,250,976 ",113.2 
201410,서울특별시,전체(시 / 군 / 구),교육용,"2,651 ","107,366,640 ","10,713,067,461 ",99.8 
201410,서울특별시,전체(시 / 군 / 구),산업용,"46,071 ","391,450,311 ","40,231,360,313 ",102.8 
201410,서울특별시,전체(시 / 군 / 구),농사용,"1,899 ","1,211,114 ","60,239,641 ",49.7 
201410,서울특별시,전체(시 / 군 / 구),가로등,"176,579 ","30,673,680 ","3,293,690,295 ",107.4 
201410,서울특별시,전체(시 / 군 / 구),심 야,"18,831 ","25,674,887 ","1,919,589,732 ",74.8 
201411,서울특별시,전체(시 / 군 / 구),주택용,"2,661,867 ","1,061,203,380 ","133,219,467,798 ",125.5 
201411,서울특별시,전체(시 / 군 / 구),일반용,"529,165 ","1,780,649,567 ","233,810,002,323 ",131.3 
201411,서울특별시,전체(시 / 군 / 구),교육용,"2,656 ","115,061,097 ","12,853,565,752 ",111.7 
201411,서울특별시,전체(시 / 군 / 구),산업용,"45,999 ","391,308,611 ","46,271,567,847 ",118.2 
201411,서울특별시,전체(시 / 군 / 구),농사용,"2,116 ","1,289,121 ","62,988,485 ",48.9 
201411,서울특별시,전체(시 / 군 / 구),가로등,"176,738 ","33,430,280 ","3,500,008,774 ",104.7 
201411,서울특별시,전체(시 / 군 / 구),심 야,"18,770 ","21,013,120 ","1,647,358,443 ",78.4 
201412,서울특별시,전체(시 / 군 / 구),주택용,"2,664,158 ","1,123,393,152 ","147,676,190,979 ",131.5 
201412,서울특별시,전체(시 / 군 / 구),일반용,"531,120 ","2,148,281,075 ","290,443,146,125 ",135.2 
201412,서울특별시,전체(시 / 군 / 구),교육용,"2,662 ","170,572,934 ","18,346,670,938 ",107.6 
201412,서울특별시,전체(시 / 군 / 구),산업용,"45,926 ","432,053,994 ","53,501,308,097 ",123.8 
201412,서울특별시,전체(시 / 군 / 구),농사용,"1,902 ","1,365,172 ","66,733,968 ",48.9 
201412,서울특별시,전체(시 / 군 / 구),가로등,"176,736 ","35,039,998 ","3,580,764,958 ",102.2 
201412,서울특별시,전체(시 / 군 / 구),심 야,"18,719 ","30,797,518 ","2,574,349,725 ",83.6 
합계,합계,합계,합계,"20,591,574","22,919,957,047","2,960,380,462,365",129.2
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201407,서울특별시,강남구,가로등,"12,019 ","1,759,831 ","209,673,954 ",119.1 
201407,서울특별시,강남구,교육용,127 ,"3,732,674 ","512,664,257 ",137.3 
201407,서울특별시,강남구,농사용,198 ,"58,574 ","3,862,283 ",65.9 
201407,서울특별시,강남구,산업용,"1,052 ","16,937,340 ","2,171,941,255 ",128.2 
201407,서울특별시,강남구,심 야,"1,035 ","8,485,649 ","620,392,759 ",73.1 
201407,서울특별시,강남구,일반용,"48,134 ","317,288,867 ","45,702,391,228 ",144 
201407,서울특별시,강남구,주택용,"135,617 ","78,166,444 ","13,538,978,290 ",173.2 
201407,서울특별시,강남구,합계,"198,182 ","426,429,379 ","62,759,904,026 ",147.2 
201407,서울특별시,강동구,가로등,973 ,"846,880 ","102,844,458 ",121.4 
201407,서울특별시,강동구,교육용,106 ,"2,444,577 ","353,855,648 ",144.8 
201407,서울특별시,강동구,농사용,520 ,"158,736 ","8,834,831 ",55.7 
201407,서울특별시,강동구,산업용,"1,240 ","15,252,731 ","1,700,889,804 ",111.5 
