계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 인천광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2014년 07 월 ~ 2014년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201407,인천광역시,전체(시 / 군 / 구),주택용,"690,343 ","304,511,561 ","38,318,974,236 ",125.8 
201407,인천광역시,전체(시 / 군 / 구),일반용,"126,525 ","444,423,023 ","64,340,556,989 ",144.8 
201407,인천광역시,전체(시 / 군 / 구),교육용,975 ,"26,593,686 ","3,780,306,091 ",142.2 
201407,인천광역시,전체(시 / 군 / 구),산업용,"17,962 ","1,127,927,405 ","139,736,908,490 ",123.9 
201407,인천광역시,전체(시 / 군 / 구),농사용,"19,870 ","8,159,362 ","411,148,362 ",50.4 
201407,인천광역시,전체(시 / 군 / 구),가로등,"47,053 ","10,900,740 ","1,371,700,264 ",125.8 
201407,인천광역시,전체(시 / 군 / 구),심 야,"18,673 ","11,088,185 ","680,189,084 ",61.3 
201408,인천광역시,전체(시 / 군 / 구),주택용,"691,367 ","339,326,865 ","47,298,238,595 ",139.4 
201408,인천광역시,전체(시 / 군 / 구),일반용,"126,671 ","472,893,859 ","66,623,264,842 ",140.9 
201408,인천광역시,전체(시 / 군 / 구),교육용,977 ,"22,387,760 ","3,206,900,293 ",143.2 
201408,인천광역시,전체(시 / 군 / 구),산업용,"17,978 ","1,042,761,584 ","128,679,284,151 ",123.4 
201408,인천광역시,전체(시 / 군 / 구),농사용,"20,041 ","11,298,086 ","544,444,905 ",48.2 
201408,인천광역시,전체(시 / 군 / 구),가로등,"47,201 ","11,839,919 ","1,432,811,252 ",121.0 
201408,인천광역시,전체(시 / 군 / 구),심 야,"18,623 ","10,603,543 ","656,113,157 ",61.9 
201409,인천광역시,전체(시 / 군 / 구),주택용,"692,774 ","311,148,049 ","38,991,489,319 ",125.3 
201409,인천광역시,전체(시 / 군 / 구),일반용,"126,843 ","429,941,080 ","53,024,588,965 ",123.3 
201409,인천광역시,전체(시 / 군 / 구),교육용,978 ,"23,195,936 ","2,634,696,760 ",113.6 
201409,인천광역시,전체(시 / 군 / 구),산업용,"18,007 ","1,013,593,730 ","108,252,998,001 ",106.8 
201409,인천광역시,전체(시 / 군 / 구),농사용,"20,178 ","12,218,773 ","590,499,465 ",48.3 
201409,인천광역시,전체(시 / 군 / 구),가로등,"47,343 ","12,587,937 ","1,481,865,853 ",117.7 
201409,인천광역시,전체(시 / 군 / 구),심 야,"18,571 ","9,962,350 ","609,971,641 ",61.2 
201410,인천광역시,전체(시 / 군 / 구),주택용,"693,841 ","283,396,944 ","32,475,258,968 ",114.6 
201410,인천광역시,전체(시 / 군 / 구),일반용,"126,912 ","375,769,024 ","42,934,444,224 ",114.3 
201410,인천광역시,전체(시 / 군 / 구),교육용,980 ,"20,368,205 ","2,406,220,292 ",118.1 
201410,인천광역시,전체(시 / 군 / 구),산업용,"18,026 ","1,108,923,577 ","110,829,643,389 ",99.9 
201410,인천광역시,전체(시 / 군 / 구),농사용,"20,275 ","9,703,451 ","488,532,489 ",50.3 
201410,인천광역시,전체(시 / 군 / 구),가로등,"49,238 ","14,138,076 ","1,579,068,369 ",111.7 
201410,인천광역시,전체(시 / 군 / 구),심 야,"18,499 ","11,347,701 ","664,469,695 ",58.6 
201411,인천광역시,전체(시 / 군 / 구),주택용,"694,825 ","300,887,291 ","36,625,743,746 ",121.7 
201411,인천광역시,전체(시 / 군 / 구),일반용,"127,090 ","381,653,899 ","49,499,109,180 ",129.7 
201411,인천광역시,전체(시 / 군 / 구),교육용,981 ,"23,717,534 ","3,098,018,323 ",130.6 
201411,인천광역시,전체(시 / 군 / 구),산업용,"18,051 ","1,060,650,041 ","124,948,473,432 ",117.8 
201411,인천광역시,전체(시 / 군 / 구),농사용,"27,202 ","15,935,297 ","630,512,502 ",39.6 
201411,인천광역시,전체(시 / 군 / 구),가로등,"53,347 ","15,505,061 ","1,692,490,553 ",109.2 
201411,인천광역시,전체(시 / 군 / 구),심 야,"18,465 ","24,280,143 ","1,591,737,452 ",65.6 
201412,인천광역시,전체(시 / 군 / 구),주택용,"695,312 ","318,234,283 ","40,536,895,670 ",127.4 
201412,인천광역시,전체(시 / 군 / 구),일반용,"127,505 ","446,928,722 ","60,941,361,389 ",136.4 
201412,인천광역시,전체(시 / 군 / 구),교육용,985 ,"44,577,106 ","4,823,930,646 ",108.2 
201412,인천광역시,전체(시 / 군 / 구),산업용,"18,076 ","1,162,002,827 ","138,568,752,448 ",119.2 
201412,인천광역시,전체(시 / 군 / 구),농사용,"24,449 ","12,509,487 ","539,769,805 ",43.1 
201412,인천광역시,전체(시 / 군 / 구),가로등,"51,426 ","16,076,809 ","1,729,007,216 ",107.5 
201412,인천광역시,전체(시 / 군 / 구),심 야,"18,445 ","40,961,545 ","3,130,508,847 ",76.4 
합계,합계,합계,합계,"5,572,883","11,344,930,456","1,362,400,899,350",120.1
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201407,인천광역시,강화군,가로등,"4,933 ","706,553 ","89,542,837 ",126.7 
201407,인천광역시,강화군,교육용,62 ,"852,132 ","122,871,900 ",144.2 
201407,인천광역시,강화군,농사용,"12,449 ","4,876,755 ","243,789,604 ",50 
201407,인천광역시,강화군,산업용,956 ,"4,332,447 ","649,049,410 ",149.8 
201407,인천광역시,강화군,심 야,"7,223 ","2,896,731 ","161,831,783 ",55.9 
201407,인천광역시,강화군,일반용,"6,915 ","10,765,346 ","1,764,581,708 ",163.9 
201407,인천광역시,강화군,주택용,"31,037 ","5,867,246 ","720,914,985 ",122.9 
201407,인천광역시,강화군,합계,"63,575 ","30,297,210 ","3,752,582,227 ",123.9 
201407,인천광역시,계양구,가로등,"3,113 ","875,514 ","108,210,069 ",123.6 
201407,인천광역시,계양구,교육용,98 ,"2,401,872 ","346,066,540 ",144.1 
201407,인천광역시,계양구,농사용,"1,567 ","515,029 ","29,801,576 ",57.9 
201407,인천광역시,계양구,산업용,"1,443 ","32,156,579 ","4,040,177,235 ",125.6 
201407,인천광역시,계양구,심 야,815 ,"416,063 ","24,581,102 ",59.1 
201407,인천광역시,계양구,일반용,"12,253 ","38,362,848 ","5,510,644,702 ",143.6 
201407,인천광역시,계양구,주택용,"77,592 ","33,510,135 ","4,091,952,210 ",122.1 
201407,인천광역시,계양구,합계,"96,881 ","108,238,040 ","14,151,433,434 ",130.7 
201407,인천광역시,남구,가로등,"11,312 ","994,280 ","119,569,124 ",120.3 
