계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 전라남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2014년 07 월 ~ 2014년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201407,전라남도,전체(시 / 군 / 구),주택용,"698,524 ","176,181,691 ","20,108,138,092 ",114.1 
201407,전라남도,전체(시 / 군 / 구),일반용,"136,762 ","255,775,326 ","39,193,275,099 ",153.2 
201407,전라남도,전체(시 / 군 / 구),교육용,"1,317 ","20,008,651 ","2,840,794,589 ",142.0 
201407,전라남도,전체(시 / 군 / 구),산업용,"18,742 ","1,884,819,454 ","206,747,310,631 ",109.7 
201407,전라남도,전체(시 / 군 / 구),농사용,"237,099 ","200,399,706 ","9,364,598,342 ",46.7 
201407,전라남도,전체(시 / 군 / 구),가로등,"133,277 ","15,339,355 ","1,937,361,229 ",126.3 
201407,전라남도,전체(시 / 군 / 구),심 야,"50,501 ","21,394,625 ","1,209,442,799 ",56.5 
201408,전라남도,전체(시 / 군 / 구),주택용,"699,041 ","198,865,512 ","25,221,231,469 ",126.8 
201408,전라남도,전체(시 / 군 / 구),일반용,"137,212 ","295,157,232 ","43,360,588,950 ",146.9 
201408,전라남도,전체(시 / 군 / 구),교육용,"1,315 ","19,568,961 ","2,802,812,889 ",143.2 
201408,전라남도,전체(시 / 군 / 구),산업용,"18,784 ","1,800,920,591 ","191,976,460,730 ",106.6 
201408,전라남도,전체(시 / 군 / 구),농사용,"238,438 ","242,755,351 ","11,214,654,959 ",46.2 
201408,전라남도,전체(시 / 군 / 구),가로등,"133,899 ","16,064,403 ","1,952,432,123 ",121.5 
201408,전라남도,전체(시 / 군 / 구),심 야,"50,412 ","19,434,116 ","1,107,428,730 ",57.0 
201409,전라남도,전체(시 / 군 / 구),주택용,"699,469 ","188,475,130 ","22,669,446,004 ",120.3 
201409,전라남도,전체(시 / 군 / 구),일반용,"137,254 ","266,843,847 ","35,844,540,157 ",134.3 
201409,전라남도,전체(시 / 군 / 구),교육용,"1,320 ","19,119,312 ","2,427,656,196 ",127.0 
201409,전라남도,전체(시 / 군 / 구),산업용,"18,812 ","1,871,751,210 ","163,130,118,136 ",87.2 
201409,전라남도,전체(시 / 군 / 구),농사용,"239,475 ","230,608,345 ","10,696,972,373 ",46.4 
201409,전라남도,전체(시 / 군 / 구),가로등,"134,249 ","17,047,573 ","2,000,510,352 ",117.3 
201409,전라남도,전체(시 / 군 / 구),심 야,"50,350 ","20,467,794 ","1,158,400,952 ",56.6 
201410,전라남도,전체(시 / 군 / 구),주택용,"700,249 ","172,176,362 ","19,034,322,146 ",110.6 
201410,전라남도,전체(시 / 군 / 구),일반용,"137,337 ","236,858,190 ","28,193,671,938 ",119.0 
201410,전라남도,전체(시 / 군 / 구),교육용,"1,319 ","18,192,524 ","2,040,356,173 ",112.2 
201410,전라남도,전체(시 / 군 / 구),산업용,"18,815 ","2,098,839,115 ","183,967,708,999 ",87.7 
201410,전라남도,전체(시 / 군 / 구),농사용,"240,262 ","203,479,326 ","9,571,595,072 ",47.0 
201410,전라남도,전체(시 / 군 / 구),가로등,"134,435 ","18,458,542 ","2,035,610,504 ",110.3 
201410,전라남도,전체(시 / 군 / 구),심 야,"50,317 ","26,207,309 ","1,457,388,780 ",55.6 
201411,전라남도,전체(시 / 군 / 구),주택용,"700,885 ","186,741,041 ","22,276,884,773 ",119.3 
201411,전라남도,전체(시 / 군 / 구),일반용,"137,930 ","247,931,277 ","32,061,285,345 ",129.3 
201411,전라남도,전체(시 / 군 / 구),교육용,"1,317 ","20,699,916 ","2,429,602,654 ",117.4 
201411,전라남도,전체(시 / 군 / 구),산업용,"18,850 ","1,781,563,968 ","195,952,097,253 ",110.0 
201411,전라남도,전체(시 / 군 / 구),농사용,"355,586 ","277,631,766 ","11,969,934,808 ",43.1 
201411,전라남도,전체(시 / 군 / 구),가로등,"135,022 ","19,587,432 ","2,152,476,946 ",109.9 
201411,전라남도,전체(시 / 군 / 구),심 야,"50,272 ","53,397,122 ","3,397,005,733 ",63.6 
201412,전라남도,전체(시 / 군 / 구),주택용,"701,407 ","195,477,581 ","24,405,405,045 ",124.9 
201412,전라남도,전체(시 / 군 / 구),일반용,"138,163 ","285,881,106 ","39,478,040,420 ",138.1 
201412,전라남도,전체(시 / 군 / 구),교육용,"1,315 ","29,114,351 ","3,360,322,557 ",115.4 
201412,전라남도,전체(시 / 군 / 구),산업용,"18,866 ","1,900,887,068 ","206,274,304,423 ",108.5 
201412,전라남도,전체(시 / 군 / 구),농사용,"263,504 ","248,959,929 ","11,705,937,497 ",47.0 
201412,전라남도,전체(시 / 군 / 구),가로등,"135,195 ","20,207,407 ","2,095,633,437 ",103.7 
201412,전라남도,전체(시 / 군 / 구),심 야,"50,214 ","88,331,242 ","6,629,721,042 ",75.1 
합계,합계,합계,합계,"7,827,512","15,911,620,759","1,607,453,480,346",101
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201407,전라남도,강진군,가로등,"4,428 ","258,068 ","34,297,236 ",132.9 
201407,전라남도,강진군,교육용,35 ,"370,338 ","59,154,468 ",159.7 
201407,전라남도,강진군,농사용,"8,264 ","7,013,452 ","335,709,955 ",47.9 
201407,전라남도,강진군,산업용,570 ,"3,897,188 ","546,980,786 ",140.4 
201407,전라남도,강진군,심 야,"1,653 ","588,097 ","32,483,012 ",55.2 
201407,전라남도,강진군,일반용,"2,906 ","4,231,827 ","662,949,168 ",156.7 
201407,전라남도,강진군,주택용,"18,716 ","3,366,190 ","380,437,888 ",113 
201407,전라남도,강진군,합계,"36,572 ","19,725,160 ","2,052,012,513 ",104 
201407,전라남도,고흥군,가로등,"10,519 ","444,560 ","56,001,080 ",126 
201407,전라남도,고흥군,교육용,69 ,"464,708 ","72,745,651 ",156.5 
201407,전라남도,고흥군,농사용,"17,172 ","7,281,981 ","361,707,232 ",49.7 
201407,전라남도,고흥군,산업용,"1,099 ","3,436,569 ","543,984,226 ",158.3 
201407,전라남도,고흥군,심 야,"1,893 ","849,505 ","47,884,390 ",56.4 
201407,전라남도,고흥군,일반용,"5,394 ","6,827,526 ","1,064,190,754 ",155.9 
201407,전라남도,고흥군,주택용,"38,313 ","6,661,310 ","764,812,741 ",114.8 
201407,전라남도,고흥군,합계,"74,459 ","25,966,159 ","2,911,326,074 ",112.1 
201407,전라남도,곡성군,가로등,"2,624 ","349,901 ","44,898,016 ",128.3 
201407,전라남도,곡성군,교육용,27 ,"476,321 ","69,692,501 ",146.3 
201407,전라남도,곡성군,농사용,"6,801 ","3,325,666 ","162,955,215 ",49 
201407,전라남도,곡성군,산업용,422 ,"24,095,278 ","2,786,076,376 ",115.6 
201407,전라남도,곡성군,심 야,"1,569 ","563,441 ","31,028,323 ",55.1 
201407,전라남도,곡성군,일반용,"2,058 ","3,113,499 ","499,870,676 ",160.5 
201407,전라남도,곡성군,주택용,"15,336 ","2,573,971 ","286,069,392 ",111.1 
201407,전라남도,곡성군,합계,"28,837 ","34,498,077 ","3,880,590,499 ",112.5 
201407,전라남도,광양시,가로등,"5,683 ","875,207 ","116,664,518 ",133.3 
201407,전라남도,광양시,교육용,73 ,"1,318,327 ","186,749,367 ",141.7 
201407,전라남도,광양시,농사용,"7,003 ","1,658,172 ","99,385,682 ",59.9 
201407,전라남도,광양시,산업용,873 ,"432,650,669 ","39,833,345,317 ",92.1 
201407,전라남도,광양시,심 야,"2,075 ","841,957 ","46,016,579 ",54.7 
201407,전라남도,광양시,일반용,"10,357 ","19,581,384 ","3,032,188,283 ",154.9 
201407,전라남도,광양시,주택용,"47,093 ","14,741,029 ","1,662,570,697 ",112.8 
201407,전라남도,광양시,합계,"73,157 ","471,666,745 ","44,976,920,443 ",95.4 
201407,전라남도,구례군,가로등,"3,715 ","474,246 ","57,443,246 ",121.1 
201407,전라남도,구례군,교육용,27 ,"232,317 ","33,684,896 ",145 
201407,전라남도,구례군,농사용,"7,023 ","1,879,103 ","96,126,248 ",51.2 
201407,전라남도,구례군,산업용,301 ,"1,576,620 ","234,948,842 ",149 
201407,전라남도,구례군,심 야,"1,261 ","599,944 ","33,348,564 ",55.6 
201407,전라남도,구례군,일반용,"2,355 ","3,918,073 ","615,504,763 ",157.1 
201407,전라남도,구례군,주택용,"13,591 ","2,369,688 ","262,694,021 ",110.9 
201407,전라남도,구례군,합계,"28,273 ","11,049,991 ","1,333,750,580 ",120.7 
201407,전라남도,나주시,가로등,"4,934 ","1,234,522 ","158,760,889 ",128.6 
201407,전라남도,나주시,교육용,67 ,"1,489,096 ","205,839,739 ",138.2 
201407,전라남도,나주시,농사용,"18,609 ","15,494,484 ","713,821,527 ",46.1 
201407,전라남도,나주시,산업용,"1,146 ","37,921,983 ","4,907,571,988 ",129.4 
201407,전라남도,나주시,심 야,"2,858 ","1,065,927 ","65,449,449 ",61.4 
201407,전라남도,나주시,일반용,"6,088 ","13,683,078 ","2,156,833,455 ",157.6 
201407,전라남도,나주시,주택용,"35,672 ","7,466,094 ","809,879,931 ",108.5 
201407,전라남도,나주시,합계,"69,374 ","78,355,184 ","9,018,156,978 ",115.1 
201407,전라남도,담양군,가로등,"4,174 ","446,574 ","55,117,686 ",123.4 
201407,전라남도,담양군,교육용,35 ,"477,964 ","68,659,678 ",143.7 
201407,전라남도,담양군,농사용,"10,092 ","4,758,800 ","244,177,436 ",51.3 
201407,전라남도,담양군,산업용,900 ,"17,870,463 ","2,362,889,914 ",132.2 
201407,전라남도,담양군,심 야,"2,658 ","1,031,579 ","55,623,125 ",53.9 
201407,전라남도,담양군,일반용,"3,500 ","6,597,521 ","999,161,802 ",151.4 
201407,전라남도,담양군,주택용,"20,285 ","3,569,831 ","415,915,151 ",116.5 
201407,전라남도,담양군,합계,"41,644 ","34,752,732 ","4,201,544,792 ",120.9 
201407,전라남도,목포시,가로등,"7,512 ","933,876 ","119,884,420 ",128.4 
201407,전라남도,목포시,교육용,122 ,"2,354,016 ","334,286,951 ",142 
201407,전라남도,목포시,농사용,355 ,"273,120 ","12,854,838 ",47.1 
201407,전라남도,목포시,산업용,728 ,"7,046,489 ","1,059,520,132 ",150.4 
201407,전라남도,목포시,심 야,"1,412 ","616,147 ","32,524,934 ",52.8 
201407,전라남도,목포시,일반용,"18,479 ","37,734,536 ","5,651,464,395 ",149.8 
201407,전라남도,목포시,주택용,"64,664 ","24,019,520 ","2,770,818,621 ",115.4 
201407,전라남도,목포시,합계,"93,272 ","72,977,704 ","9,981,354,291 ",136.8 
201407,전라남도,무안군,가로등,"7,649 ","890,098 ","114,937,323 ",129.1 
201407,전라남도,무안군,교육용,57 ,"1,879,750 ","245,409,483 ",130.6 
201407,전라남도,무안군,농사용,"18,038 ","13,420,273 ","632,502,544 ",47.1 
201407,전라남도,무안군,산업용,705 ,"7,025,798 ","1,049,014,761 ",149.3 
201407,전라남도,무안군,심 야,"1,887 ","845,957 ","45,991,180 ",54.4 
201407,전라남도,무안군,일반용,"5,021 ","9,997,310 ","1,549,038,631 ",154.9 
201407,전라남도,무안군,주택용,"26,432 ","7,894,389 ","950,776,535 ",120.4 
201407,전라남도,무안군,합계,"59,789 ","41,953,575 ","4,587,670,457 ",109.4 
201407,전라남도,보성군,가로등,"8,934 ","811,928 ","96,179,180 ",118.5 
201407,전라남도,보성군,교육용,51 ,"349,366 ","56,338,123 ",161.3 
201407,전라남도,보성군,농사용,"10,320 ","4,092,000 ","211,727,188 ",51.7 
201407,전라남도,보성군,산업용,793 ,"3,655,311 ","546,399,066 ",149.5 
201407,전라남도,보성군,심 야,"1,862 ","872,150 ","51,258,700 ",58.8 
201407,전라남도,보성군,일반용,"3,566 ","4,946,418 ","769,835,439 ",155.6 
201407,전라남도,보성군,주택용,"22,618 ","4,026,425 ","445,853,450 ",110.7 
201407,전라남도,보성군,합계,"48,144 ","18,753,598 ","2,177,591,146 ",116.1 
201407,전라남도,순천시,가로등,"13,205 ","1,916,777 ","235,736,707 ",123 
201407,전라남도,순천시,교육용,129 ,"3,545,150 ","483,325,362 ",136.3 
201407,전라남도,순천시,농사용,"14,040 ","4,405,143 ","225,262,543 ",51.1 
201407,전라남도,순천시,산업용,"1,259 ","65,632,727 ","8,290,366,031 ",126.3 
201407,전라남도,순천시,심 야,"3,691 ","1,711,204 ","96,344,281 ",56.3 
201407,전라남도,순천시,일반용,"18,286 ","40,087,417 ","6,019,405,412 ",150.2 
201407,전라남도,순천시,주택용,"80,710 ","27,257,851 ","3,148,058,634 ",115.5 
201407,전라남도,순천시,합계,"131,320 ","144,556,269 ","18,498,498,970 ",128 
201407,전라남도,신안군,가로등,"4,387 ","195,895 ","26,885,400 ",137.2 
201407,전라남도,신안군,교육용,57 ,"250,293 ","39,594,756 ",158.2 
201407,전라남도,신안군,농사용,"12,502 ","6,948,447 ","336,317,917 ",48.4 
201407,전라남도,신안군,산업용,"1,213 ","1,569,711 ","264,787,119 ",168.7 
201407,전라남도,신안군,심 야,"2,775 ","1,070,938 ","59,892,194 ",55.9 
201407,전라남도,신안군,일반용,"3,085 ","3,792,649 ","650,790,930 ",171.6 
201407,전라남도,신안군,주택용,"21,335 ","3,279,169 ","385,638,176 ",117.6 
201407,전라남도,신안군,합계,"45,354 ","17,107,102 ","1,763,906,492 ",103.1 
201407,전라남도,여수시,가로등,"17,783 ","1,629,524 ","206,960,699 ",127 
201407,전라남도,여수시,교육용,157 ,"2,944,257 ","390,765,706 ",132.7 
201407,전라남도,여수시,농사용,"9,548 ","5,830,981 ","294,392,799 ",50.5 
201407,전라남도,여수시,산업용,"1,854 ","1,098,196,800 ","119,740,433,375 ",109 
201407,전라남도,여수시,심 야,"6,417 ","2,624,895 ","149,943,737 ",57.1 
201407,전라남도,여수시,일반용,"20,940 ","41,395,991 ","6,291,859,434 ",152 
201407,전라남도,여수시,주택용,"89,812 ","28,669,623 ","3,324,549,156 ",116 
201407,전라남도,여수시,합계,"146,511 ","1,181,292,071 ","130,398,904,906 ",110.4 
201407,전라남도,영광군,가로등,"1,790 ","527,069 ","67,503,395 ",128.1 
201407,전라남도,영광군,교육용,52 ,"477,064 ","76,549,213 ",160.5 
201407,전라남도,영광군,농사용,"8,343 ","9,691,095 ","464,093,106 ",47.9 
201407,전라남도,영광군,산업용,"1,359 ","17,571,181 ","2,688,689,582 ",153 
201407,전라남도,영광군,심 야,"3,330 ","1,281,190 ","72,485,121 ",56.6 
201407,전라남도,영광군,일반용,"4,460 ","6,840,526 ","1,068,376,798 ",156.2 
201407,전라남도,영광군,주택용,"24,680 ","4,984,902 ","563,895,083 ",113.1 
201407,전라남도,영광군,합계,"44,014 ","41,373,027 ","5,001,592,298 ",120.9 
201407,전라남도,영암군,가로등,"8,126 ","487,945 ","67,255,888 ",137.8 
201407,전라남도,영암군,교육용,58 ,"745,846 ","111,219,016 ",149.1 
201407,전라남도,영암군,농사용,"12,006 ","12,345,674 ","490,418,279 ",39.7 
201407,전라남도,영암군,산업용,775 ,"98,990,988 ","13,046,870,208 ",131.8 
201407,전라남도,영암군,심 야,"2,256 ","816,678 ","45,434,102 ",55.6 
201407,전라남도,영암군,일반용,"4,058 ","8,106,140 ","1,228,066,405 ",151.5 
201407,전라남도,영암군,주택용,"24,168 ","5,332,842 ","552,078,217 ",103.5 
201407,전라남도,영암군,합계,"51,447 ","126,826,113 ","15,541,342,115 ",122.5 
201407,전라남도,완도군,가로등,"1,558 ","470,331 ","59,797,289 ",127.1 
201407,전라남도,완도군,교육용,66 ,"408,625 ","64,437,454 ",157.7 
201407,전라남도,완도군,농사용,"9,146 ","51,452,726 ","2,311,041,514 ",44.9 
201407,전라남도,완도군,산업용,861 ,"3,004,571 ","450,184,375 ",149.8 
201407,전라남도,완도군,심 야,"2,412 ","1,302,510 ","71,743,759 ",55.1 
201407,전라남도,완도군,일반용,"5,034 ","6,401,794 ","1,100,213,607 ",171.9 
201407,전라남도,완도군,주택용,"25,737 ","4,737,574 ","568,499,501 ",120 
