계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 전라북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2014년 07 월 ~ 2014년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201407,전라북도,전체(시 / 군 / 구),주택용,"607,393 ","181,396,893 ","20,755,918,991 ",114.4 
201407,전라북도,전체(시 / 군 / 구),일반용,"129,415 ","265,882,273 ","40,487,915,775 ",152.3 
201407,전라북도,전체(시 / 군 / 구),교육용,"1,162 ","24,623,776 ","3,372,820,799 ",137.0 
201407,전라북도,전체(시 / 군 / 구),산업용,"13,336 ","1,231,220,605 ","142,477,978,018 ",115.7 
201407,전라북도,전체(시 / 군 / 구),농사용,"123,297 ","90,513,826 ","4,335,580,971 ",47.9 
201407,전라북도,전체(시 / 군 / 구),가로등,"117,418 ","12,433,422 ","1,547,122,598 ",124.4 
201407,전라북도,전체(시 / 군 / 구),심 야,"70,144 ","24,082,926 ","1,392,800,406 ",57.8 
201408,전라북도,전체(시 / 군 / 구),주택용,"608,591 ","202,923,948 ","25,607,101,435 ",126.2 
201408,전라북도,전체(시 / 군 / 구),일반용,"129,508 ","295,551,824 ","43,490,533,989 ",147.2 
201408,전라북도,전체(시 / 군 / 구),교육용,"1,165 ","23,317,982 ","3,244,846,964 ",139.2 
201408,전라북도,전체(시 / 군 / 구),산업용,"13,393 ","1,101,001,270 ","126,047,599,316 ",114.5 
201408,전라북도,전체(시 / 군 / 구),농사용,"124,678 ","109,641,783 ","5,249,799,531 ",47.9 
201408,전라북도,전체(시 / 군 / 구),가로등,"117,862 ","13,252,248 ","1,574,787,372 ",118.8 
201408,전라북도,전체(시 / 군 / 구),심 야,"69,974 ","22,033,901 ","1,284,636,378 ",58.3 
201409,전라북도,전체(시 / 군 / 구),주택용,"608,836 ","190,267,870 ","22,789,253,196 ",119.8 
