계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2014년 07 월 ~ 2014년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201407,충청북도,전체(시 / 군 / 구),주택용,"540,304 ","155,357,994 ","18,227,697,807 ",117.3 
201407,충청북도,전체(시 / 군 / 구),일반용,"107,968 ","240,668,835 ","36,616,076,673 ",152.1 
201407,충청북도,전체(시 / 군 / 구),교육용,748 ,"19,573,227 ","2,680,758,748 ",137.0 
201407,충청북도,전체(시 / 군 / 구),산업용,"14,610 ","1,346,528,307 ","161,896,430,592 ",120.2 
201407,충청북도,전체(시 / 군 / 구),농사용,"110,882 ","49,428,199 ","2,468,217,121 ",49.9 
201407,충청북도,전체(시 / 군 / 구),가로등,"85,804 ","10,569,654 ","1,305,771,555 ",123.5 
201407,충청북도,전체(시 / 군 / 구),심 야,"93,052 ","26,530,269 ","1,520,998,700 ",57.3 
201408,충청북도,전체(시 / 군 / 구),주택용,"541,755 ","172,663,557 ","22,114,935,259 ",128.1 
201408,충청북도,전체(시 / 군 / 구),일반용,"108,308 ","260,131,207 ","38,472,674,073 ",147.9 
201408,충청북도,전체(시 / 군 / 구),교육용,749 ,"18,303,434 ","2,588,896,925 ",141.4 
201408,충청북도,전체(시 / 군 / 구),산업용,"14,661 ","1,268,759,916 ","149,675,272,863 ",118.0 
201408,충청북도,전체(시 / 군 / 구),농사용,"111,629 ","59,947,041 ","2,954,974,100 ",49.3 
201408,충청북도,전체(시 / 군 / 구),가로등,"86,060 ","11,253,165 ","1,324,199,933 ",117.7 
201408,충청북도,전체(시 / 군 / 구),심 야,"92,929 ","24,695,038 ","1,429,628,078 ",57.9 
201409,충청북도,전체(시 / 군 / 구),주택용,"543,236 ","159,726,987 ","18,896,581,427 ",118.3 
201409,충청북도,전체(시 / 군 / 구),일반용,"108,441 ","231,598,765 ","31,314,523,042 ",135.2 
201409,충청북도,전체(시 / 군 / 구),교육용,750 ,"17,763,636 ","2,208,629,576 ",124.3 
201409,충청북도,전체(시 / 군 / 구),산업용,"14,689 ","1,210,672,937 ","117,085,711,999 ",96.7 
201409,충청북도,전체(시 / 군 / 구),농사용,"112,336 ","59,996,728 ","2,952,188,685 ",49.2 
201409,충청북도,전체(시 / 군 / 구),가로등,"86,293 ","12,065,054 ","1,360,650,081 ",112.8 
201409,충청북도,전체(시 / 군 / 구),심 야,"92,829 ","28,554,710 ","1,619,233,306 ",56.7 
201410,충청북도,전체(시 / 군 / 구),주택용,"544,948 ","150,107,245 ","16,871,329,680 ",112.4 
201410,충청북도,전체(시 / 군 / 구),일반용,"108,486 ","208,131,429 ","25,312,173,809 ",121.6 
201410,충청북도,전체(시 / 군 / 구),교육용,747 ,"18,032,565 ","1,916,692,306 ",106.3 
201410,충청북도,전체(시 / 군 / 구),산업용,"14,750 ","1,278,039,312 ","119,087,732,555 ",93.2 
201410,충청북도,전체(시 / 군 / 구),농사용,"112,583 ","48,155,361 ","2,486,657,288 ",51.6 
201410,충청북도,전체(시 / 군 / 구),가로등,"86,476 ","13,074,632 ","1,391,133,499 ",106.4 
201410,충청북도,전체(시 / 군 / 구),심 야,"92,859 ","46,628,347 ","2,568,476,818 ",55.1 
201411,충청북도,전체(시 / 군 / 구),주택용,"546,012 ","164,640,070 ","19,976,143,445 ",121.3 
201411,충청북도,전체(시 / 군 / 구),일반용,"109,060 ","223,027,361 ","29,328,982,893 ",131.5 
201411,충청북도,전체(시 / 군 / 구),교육용,751 ,"21,867,501 ","2,402,802,114 ",109.9 
201411,충청북도,전체(시 / 군 / 구),산업용,"14,782 ","1,244,930,372 ","144,152,047,755 ",115.8 
