년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201407-201412,충청북도,괴산군,일반용,3269,35129718,16.1
201407-201412,충청북도,괴산군,합계,6825,218176179,
201407-201412,충청북도,단양군,일반용,3252,32472697,3.85
201407-201412,충청북도,단양군,합계,5101,844538757,
201407-201412,충청북도,보은군,일반용,2803,29524406,21.39
201407-201412,충청북도,보은군,합계,6323,138059943,
201407-201412,충청북도,영동군,일반용,3804,34702384,17.82
201407-201412,충청북도,영동군,합계,8713,194752038,
201407-201412,충청북도,옥천군,일반용,3804,39792870,14.21
201407-201412,충청북도,옥천군,합계,7724,279953765,
201407-201412,충청북도,음성군,일반용,7735,92931261,7.61
201407-201412,충청북도,음성군,합계,11773,1220991247,
201407-201412,충청북도,제천시,일반용,11146,121680550,17.68
201407-201412,충청북도,제천시,합계,14389,688417838,
201407-201412,충청북도,증평군,일반용,2606,28602944,10.77
201407-201412,충청북도,증평군,합계,3511,265486663,
201407-201412,충청북도,진천군,일반용,5381,70971628,7.69
201407-201412,충청북도,진천군,합계,7802,922746917,
201407-201412,충청북도,청주시,일반용,49176,738150666,14.15
201407-201412,충청북도,청주시,합계,64665,5218092088,
201407-201412,충청북도,충주시,일반용,15636,204723591,19.95
201407-201412,충청북도,충주시,합계,24026,1026013165,
