년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201501-201506,경상남도,거제시,일반용,17008,234221535,21.94
201501-201506,경상남도,거제시,합계,19327,1067355961,
201501-201506,경상남도,거창군,일반용,4929,51653034,23.44
201501-201506,경상남도,거창군,합계,8834,220364639,
201501-201506,경상남도,고성군,일반용,4603,48826338,14.45
201501-201506,경상남도,고성군,합계,8359,337859880,
201501-201506,경상남도,김해시,일반용,28273,439708330,16.72
201501-201506,경상남도,김해시,합계,31456,2629676513,
201501-201506,경상남도,남해군,일반용,4679,47374306,35.79
201501-201506,경상남도,남해군,합계,8024,132370030,
201501-201506,경상남도,밀양시,일반용,8965,86211709,13.84
201501-201506,경상남도,밀양시,합계,15766,622731683,
201501-201506,경상남도,사천시,일반용,8999,108647521,16.66
201501-201506,경상남도,사천시,합계,11863,652078989,
201501-201506,경상남도,산청군,일반용,3379,30337719,19.71
201501-201506,경상남도,산청군,합계,6592,153943838,
201501-201506,경상남도,양산시,일반용,16213,253318595,14.51
201501-201506,경상남도,양산시,합계,17460,1746146311,
201501-201506,경상남도,의령군,일반용,2532,22129710,10.72
201501-201506,경상남도,의령군,합계,5449,206455795,
201501-201506,경상남도,진주시,일반용,23749,304407993,22.52
201501-201506,경상남도,진주시,합계,30320,1351588275,
201501-201506,경상남도,창녕군,일반용,5388,62748881,13.59
201501-201506,경상남도,창녕군,합계,9649,461713468,
201501-201506,경상남도,창원시,일반용,55740,951084251,17.17
201501-201506,경상남도,창원시,합계,75376,5538300709,
201501-201506,경상남도,통영시,일반용,10526,143596984,24.06
201501-201506,경상남도,통영시,합계,13023,596887559,
201501-201506,경상남도,하동군,일반용,4147,41040341,24.63
201501-201506,경상남도,하동군,합계,8353,166605991,
201501-201506,경상남도,함안군,일반용,5271,57750542,4.5
201501-201506,경상남도,함안군,합계,8548,1282832655,
201501-201506,경상남도,함양군,일반용,3556,31272342,24.78
201501-201506,경상남도,함양군,합계,6568,126217796,
201501-201506,경상남도,합천군,일반용,3968,39217707,20.38
201501-201506,경상남도,합천군,합계,7990,192407965,
