년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201501-201506,대구광역시,남구,일반용,11915,152128040,49.8
201501-201506,대구광역시,남구,합계,15831,305500572,
201501-201506,대구광역시,달서구,일반용,27349,408112836,19.59
201501-201506,대구광역시,달서구,합계,26011,2082757539,
201501-201506,대구광역시,달성군,일반용,10070,149071483,8.89
201501-201506,대구광역시,달성군,합계,10760,1676116774,
201501-201506,대구광역시,동구,일반용,19980,301901753,45.89
201501-201506,대구광역시,동구,합계,22273,657924078,
201501-201506,대구광역시,북구,일반용,24351,373662654,31.78
201501-201506,대구광역시,북구,합계,23763,1175734909,
201501-201506,대구광역시,서구,일반용,14303,152473601,27.85
201501-201506,대구광역시,서구,합계,17601,547558825,
201501-201506,대구광역시,수성구,일반용,22459,350863215,44.39
201501-201506,대구광역시,수성구,합계,20847,790413173,
201501-201506,대구광역시,중구,일반용,15236,259403642,72.99
201501-201506,대구광역시,중구,합계,8813,355377187,
