년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201501-201506,부산광역시,강서구,일반용,7731,130105678,7.66
201501-201506,부산광역시,강서구,합계,7360,1698969799,
201501-201506,부산광역시,금정구,일반용,15113,187141813,34.51
201501-201506,부산광역시,금정구,합계,17560,542239499,
201501-201506,부산광역시,기장군,일반용,7181,150372823,28.02
201501-201506,부산광역시,기장군,합계,7893,536625976,
201501-201506,부산광역시,남구,일반용,11809,184345278,26.82
201501-201506,부산광역시,남구,합계,17101,687450877,
201501-201506,부산광역시,동구,일반용,7626,139652214,53.99
201501-201506,부산광역시,동구,합계,8986,258662327,
201501-201506,부산광역시,동래구,일반용,15562,208588437,45.35
201501-201506,부산광역시,동래구,합계,16047,459948654,
201501-201506,부산광역시,부산진구,일반용,22869,393590673,47.67
201501-201506,부산광역시,부산진구,합계,23951,825702331,
201501-201506,부산광역시,북구,일반용,10520,167757146,37.94
201501-201506,부산광역시,북구,합계,12647,442132306,
201501-201506,부산광역시,사상구,일반용,13436,206875953,22.05
201501-201506,부산광역시,사상구,합계,13329,938288382,
201501-201506,부산광역시,사하구,일반용,14185,199708208,14.45
201501-201506,부산광역시,사하구,합계,18828,1382354238,
201501-201506,부산광역시,서구,일반용,6648,103004216,36.35
201501-201506,부산광역시,서구,합계,10375,283381715,
201501-201506,부산광역시,수영구,일반용,10236,139089638,48.74
201501-201506,부산광역시,수영구,합계,11866,285391967,
201501-201506,부산광역시,연제구,일반용,10889,184652998,48.46
201501-201506,부산광역시,연제구,합계,12150,381010302,
201501-201506,부산광역시,영도구,일반용,5924,66645791,28.41
201501-201506,부산광역시,영도구,합계,9820,234574633,
201501-201506,부산광역시,중구,일반용,9079,162621614,77.49
201501-201506,부산광역시,중구,합계,6157,209858316,
201501-201506,부산광역시,해운대구,일반용,13681,405870129,45.42
201501-201506,부산광역시,해운대구,합계,15332,893669134,
