계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 서울특별시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2015년 01 월 ~ 2015년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201501,서울특별시,전체(시 / 군 / 구),주택용,"2,666,056 ","1,208,344,479 ","167,976,525,984 ",139.0 
201501,서울특별시,전체(시 / 군 / 구),일반용,"532,597 ","2,360,472,686 ","310,247,945,274 ",131.4 
201501,서울특별시,전체(시 / 군 / 구),교육용,"2,663 ","173,915,642 ","18,506,071,885 ",106.4 
201501,서울특별시,전체(시 / 군 / 구),산업용,"45,927 ","462,259,628 ","55,439,286,753 ",119.9 
201501,서울특별시,전체(시 / 군 / 구),농사용,"1,906 ","1,670,429 ","80,668,859 ",48.3 
201501,서울특별시,전체(시 / 군 / 구),가로등,"176,990 ","35,471,366 ","3,655,911,036 ",103.1 
201501,서울특별시,전체(시 / 군 / 구),심 야,"18,653 ","38,982,349 ","3,179,090,118 ",81.6 
201502,서울특별시,전체(시 / 군 / 구),주택용,"2,668,970 ","1,174,628,181 ","159,374,612,662 ",135.7 
201502,서울특별시,전체(시 / 군 / 구),일반용,"532,849 ","2,182,562,500 ","291,008,026,490 ",133.3 
201502,서울특별시,전체(시 / 군 / 구),교육용,"2,664 ","157,314,879 ","17,059,416,092 ",108.4 
201502,서울특별시,전체(시 / 군 / 구),산업용,"45,973 ","437,381,355 ","53,742,034,957 ",122.9 
201502,서울특별시,전체(시 / 군 / 구),농사용,"1,901 ","1,589,073 ","77,630,990 ",48.9 
201502,서울특별시,전체(시 / 군 / 구),가로등,"177,208 ","33,558,309 ","3,612,479,312 ",107.6 
201502,서울특별시,전체(시 / 군 / 구),심 야,"18,586 ","36,531,696 ","2,976,416,056 ",81.5 
201503,서울특별시,전체(시 / 군 / 구),주택용,"2,670,597 ","1,038,607,536 ","126,513,934,634 ",121.8 
201503,서울특별시,전체(시 / 군 / 구),일반용,"532,210 ","1,945,697,613 ","234,755,280,679 ",120.7 
201503,서울특별시,전체(시 / 군 / 구),교육용,"2,660 ","142,599,525 ","13,865,971,223 ",97.2 
