계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2015년 01 월 ~ 2015년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201501,충청남도,전체(시 / 군 / 구),주택용,"694,971 ","236,990,366 ","31,744,815,029 ",133.9 
201501,충청남도,전체(시 / 군 / 구),일반용,"149,619 ","422,948,653 ","55,654,796,121 ",131.6 
201501,충청남도,전체(시 / 군 / 구),교육용,"1,092 ","49,134,221 ","5,287,195,349 ",107.6 
201501,충청남도,전체(시 / 군 / 구),산업용,"19,011 ","3,147,024,010 ","350,934,012,197 ",111.5 
201501,충청남도,전체(시 / 군 / 구),농사용,"163,713 ","180,451,451 ","8,576,666,204 ",47.5 
201501,충청남도,전체(시 / 군 / 구),가로등,"122,313 ","16,419,145 ","1,701,846,956 ",103.7 
201501,충청남도,전체(시 / 군 / 구),심 야,"94,985 ","274,289,495 ","20,745,150,923 ",75.6 
201502,충청남도,전체(시 / 군 / 구),주택용,"696,335 ","233,044,880 ","30,536,788,886 ",131.0 
201502,충청남도,전체(시 / 군 / 구),일반용,"149,912 ","403,789,482 ","53,727,666,014 ",133.1 
201502,충청남도,전체(시 / 군 / 구),교육용,"1,093 ","41,148,819 ","4,595,489,614 ",111.7 
201502,충청남도,전체(시 / 군 / 구),산업용,"19,065 ","2,795,403,858 ","310,700,576,075 ",111.1 
201502,충청남도,전체(시 / 군 / 구),농사용,"163,905 ","180,632,385 ","8,581,732,798 ",47.5 
201502,충청남도,전체(시 / 군 / 구),가로등,"122,719 ","15,126,074 ","1,693,044,994 ",111.9 
201502,충청남도,전체(시 / 군 / 구),심 야,"94,900 ","258,526,722 ","19,534,726,944 ",75.6 
201503,충청남도,전체(시 / 군 / 구),주택용,"697,136 ","205,425,578 ","24,063,998,554 ",117.1 
201503,충청남도,전체(시 / 군 / 구),일반용,"150,074 ","345,002,736 ","43,221,346,748 ",125.3 
201503,충청남도,전체(시 / 군 / 구),교육용,"1,094 ","41,719,126 ","4,017,721,584 ",96.3 
201503,충청남도,전체(시 / 군 / 구),산업용,"19,092 ","3,040,132,620 ","274,299,224,975 ",90.2 
201503,충청남도,전체(시 / 군 / 구),농사용,"267,263 ","165,716,291 ","7,867,277,469 ",47.5 
201503,충청남도,전체(시 / 군 / 구),가로등,"122,865 ","14,252,970 ","1,603,533,257 ",112.5 
