계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경기도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2015년 07 월 ~ 2015년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201507,경기도,전체(시 / 군 / 구),주택용,"2,662,802 ","1,276,864,573 ","153,850,997,279 ",120.5 
201507,경기도,전체(시 / 군 / 구),일반용,"612,648 ","2,114,563,515 ","309,063,189,926 ",146.2 
201507,경기도,전체(시 / 군 / 구),교육용,"4,248 ","112,209,046 ","15,564,438,273 ",138.7 
201507,경기도,전체(시 / 군 / 구),산업용,"115,572 ","4,689,497,258 ","588,401,325,135 ",125.5 
201507,경기도,전체(시 / 군 / 구),농사용,"196,451 ","155,545,077 ","7,577,694,091 ",48.7 
201507,경기도,전체(시 / 군 / 구),가로등,"303,636 ","55,505,218 ","6,923,226,363 ",124.7 
201507,경기도,전체(시 / 군 / 구),심 야,"159,725 ","89,943,946 ","5,430,575,895 ",60.4 
201508,경기도,전체(시 / 군 / 구),주택용,"2,670,475 ","1,532,792,253 ","213,047,983,571 ",139.0 
201508,경기도,전체(시 / 군 / 구),일반용,"614,579 ","2,372,866,419 ","336,467,857,360 ",141.8 
201508,경기도,전체(시 / 군 / 구),교육용,"4,252 ","107,055,473 ","15,011,359,316 ",140.2 
201508,경기도,전체(시 / 군 / 구),산업용,"115,936 ","4,914,070,131 ","590,473,500,707 ",120.2 
201508,경기도,전체(시 / 군 / 구),농사용,"197,732 ","191,426,416 ","9,078,708,521 ",47.4 
201508,경기도,전체(시 / 군 / 구),가로등,"304,608 ","59,087,198 ","7,136,283,458 ",120.8 
201508,경기도,전체(시 / 군 / 구),심 야,"159,355 ","85,021,493 ","5,356,112,511 ",63.0 
201509,경기도,전체(시 / 군 / 구),주택용,"2,678,311 ","1,344,121,683 ","162,874,375,318 ",121.2 
201509,경기도,전체(시 / 군 / 구),일반용,"616,540 ","2,126,610,509 ","267,636,815,679 ",125.9 
201509,경기도,전체(시 / 군 / 구),교육용,"4,261 ","117,759,050 ","13,667,483,929 ",116.1 
201509,경기도,전체(시 / 군 / 구),산업용,"116,261 ","4,682,064,047 ","473,495,329,501 ",101.1 
201509,경기도,전체(시 / 군 / 구),농사용,"198,536 ","191,631,444 ","9,066,702,450 ",47.3 
201509,경기도,전체(시 / 군 / 구),가로등,"305,420 ","63,011,935 ","7,350,816,200 ",116.7 
201509,경기도,전체(시 / 군 / 구),심 야,"159,110 ","80,638,758 ","4,843,584,479 ",60.1 
201510,경기도,전체(시 / 군 / 구),주택용,"2,684,765 ","1,205,783,740 ","135,938,717,748 ",112.7 
201510,경기도,전체(시 / 군 / 구),일반용,"617,752 ","1,812,090,269 ","212,468,380,595 ",117.3 
201510,경기도,전체(시 / 군 / 구),교육용,"4,255 ","91,372,533 ","10,445,315,335 ",114.3 
201510,경기도,전체(시 / 군 / 구),산업용,"116,503 ","4,543,864,640 ","440,151,564,706 ",96.9 
201510,경기도,전체(시 / 군 / 구),농사용,"198,906 ","153,827,679 ","7,744,082,191 ",50.3 
201510,경기도,전체(시 / 군 / 구),가로등,"305,894 ","68,250,566 ","7,625,799,516 ",111.7 
201510,경기도,전체(시 / 군 / 구),심 야,"158,922 ","116,542,292 ","6,638,788,170 ",57.0 
201511,경기도,전체(시 / 군 / 구),주택용,"2,693,582 ","1,295,810,400 ","158,118,627,305 ",122.0 
201511,경기도,전체(시 / 군 / 구),일반용,"620,075 ","1,867,330,049 ","244,558,306,619 ",131.0 
201511,경기도,전체(시 / 군 / 구),교육용,"4,250 ","107,482,785 ","13,019,474,082 ",121.1 
201511,경기도,전체(시 / 군 / 구),산업용,"116,813 ","4,657,230,376 ","539,922,494,334 ",115.9 
