계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 전라남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2015년 07 월 ~ 2015년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201507,전라남도,전체(시 / 군 / 구),주택용,"707,386 ","178,253,249 ","19,767,930,554 ",110.9 
201507,전라남도,전체(시 / 군 / 구),일반용,"138,911 ","260,416,328 ","41,796,791,710 ",160.5 
201507,전라남도,전체(시 / 군 / 구),교육용,"1,313 ","20,085,469 ","2,870,773,093 ",142.9 
201507,전라남도,전체(시 / 군 / 구),산업용,"19,073 ","1,755,552,068 ","193,584,590,179 ",110.3 
201507,전라남도,전체(시 / 군 / 구),농사용,"246,463 ","201,860,528 ","9,555,474,219 ",47.3 
201507,전라남도,전체(시 / 군 / 구),가로등,"137,522 ","15,836,903 ","1,980,614,438 ",125.1 
201507,전라남도,전체(시 / 군 / 구),심 야,"49,687 ","21,979,938 ","1,242,897,835 ",56.5 
201508,전라남도,전체(시 / 군 / 구),주택용,"707,843 ","213,513,981 ","26,781,371,875 ",125.4 
201508,전라남도,전체(시 / 군 / 구),일반용,"139,331 ","318,552,337 ","46,201,268,401 ",145.0 
201508,전라남도,전체(시 / 군 / 구),교육용,"1,316 ","20,111,700 ","2,892,136,573 ",143.8 
201508,전라남도,전체(시 / 군 / 구),산업용,"19,125 ","1,902,131,408 ","200,399,613,821 ",105.4 
201508,전라남도,전체(시 / 군 / 구),농사용,"247,995 ","257,739,367 ","11,830,580,462 ",45.9 
201508,전라남도,전체(시 / 군 / 구),가로등,"137,989 ","17,032,493 ","2,034,272,271 ",119.4 
201508,전라남도,전체(시 / 군 / 구),심 야,"49,600 ","18,213,367 ","1,051,194,572 ",57.7 
201509,전라남도,전체(시 / 군 / 구),주택용,"709,251 ","191,380,433 ","21,202,727,727 ",110.8 
201509,전라남도,전체(시 / 군 / 구),일반용,"139,654 ","283,373,643 ","36,382,102,392 ",128.4 
201509,전라남도,전체(시 / 군 / 구),교육용,"1,318 ","22,122,080 ","2,688,782,436 ",121.5 
201509,전라남도,전체(시 / 군 / 구),산업용,"19,154 ","1,980,505,977 ","169,790,103,521 ",85.7 
