년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201507-201512,전라남도,강진군,일반용,2927,27184923,19.25
201507-201512,전라남도,강진군,합계,6445,141193758,
201507-201512,전라남도,고흥군,일반용,5417,44803573,23.39
201507-201512,전라남도,고흥군,합계,13045,191583007,
201507-201512,전라남도,곡성군,일반용,2114,20551180,10.5
201507-201512,전라남도,곡성군,합계,5071,195699723,
201507-201512,전라남도,광양시,일반용,10434,117201198,4.04
201507-201512,전라남도,광양시,합계,12469,2903881193,
201507-201512,전라남도,구례군,일반용,2466,26817906,34.0
201507-201512,전라남도,구례군,합계,4876,78880448,
201507-201512,전라남도,나주시,일반용,6597,108481734,20.65
201507-201512,전라남도,나주시,합계,12239,525413718,
201507-201512,전라남도,담양군,일반용,3665,44882909,19.98
201507-201512,전라남도,담양군,합계,7271,224615911,
201507-201512,전라남도,목포시,일반용,18687,232235716,50.17
201507-201512,전라남도,목포시,합계,15746,462884265,
201507-201512,전라남도,무안군,일반용,5287,65910743,24.04
201507-201512,전라남도,무안군,합계,10426,274162190,
201507-201512,전라남도,보성군,일반용,3549,33123855,24.46
201507-201512,전라남도,보성군,합계,8388,135442169,
201507-201512,전라남도,순천시,일반용,18813,243316583,27.17
201507-201512,전라남도,순천시,합계,22583,895587127,
201507-201512,전라남도,신안군,일반용,3229,26619229,21.15
201507-201512,전라남도,신안군,합계,8096,125837264,
201507-201512,전라남도,여수시,일반용,21309,258285628,3.66
201507-201512,전라남도,여수시,합계,24945,7048675250,
201507-201512,전라남도,영광군,일반용,4529,45554678,14.73
201507-201512,전라남도,영광군,합계,7877,309250739,
201507-201512,전라남도,영암군,일반용,4141,51256851,7.29
201507-201512,전라남도,영암군,합계,8973,703299778,
201507-201512,전라남도,완도군,일반용,5137,43287714,9.65
201507-201512,전라남도,완도군,합계,7738,448621505,
201507-201512,전라남도,장성군,일반용,3186,41374188,14.49
201507-201512,전라남도,장성군,합계,6164,285530110,
201507-201512,전라남도,장흥군,일반용,3212,31537071,21.79
201507-201512,전라남도,장흥군,합계,6332,144764883,
201507-201512,전라남도,진도군,일반용,2773,20608980,15.35
201507-201512,전라남도,진도군,합계,6005,134233815,
201507-201512,전라남도,함평군,일반용,2282,23315056,14.64
201507-201512,전라남도,함평군,합계,6054,159268093,
201507-201512,전라남도,해남군,일반용,5892,60259748,20.77
201507-201512,전라남도,해남군,합계,13063,290178039,
201507-201512,전라남도,화순군,일반용,4156,67505748,27.37
201507-201512,전라남도,화순군,합계,7848,246632105,
