년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201507-201512,전라북도,고창군,일반용,4364,45946560,17.31
201507-201512,전라북도,고창군,합계,9504,265500580,
201507-201512,전라북도,군산시,일반용,19721,283571267,7.35
201507-201512,전라북도,군산시,합계,22261,3859575312,
201507-201512,전라북도,김제시,일반용,6241,70612839,16.29
201507-201512,전라북도,김제시,합계,12102,433425155,
201507-201512,전라북도,남원시,일반용,7081,71686735,26.39
201507-201512,전라북도,남원시,합계,12258,271611633,
201507-201512,전라북도,무주군,일반용,2554,37240789,41.41
201507-201512,전라북도,무주군,합계,4308,89931236,
201507-201512,전라북도,부안군,일반용,5369,59966628,26.62
201507-201512,전라북도,부안군,합계,8466,225296412,
201507-201512,전라북도,순창군,일반용,2163,18989410,15.82
201507-201512,전라북도,순창군,합계,5000,120047635,
201507-201512,전라북도,완주군,일반용,6724,92965084,11.7
201507-201512,전라북도,완주군,합계,10381,794633713,
201507-201512,전라북도,익산시,일반용,20220,233282835,15.34
201507-201512,전라북도,익산시,합계,27239,1520689025,
201507-201512,전라북도,임실군,일반용,2255,24359483,18.09
201507-201512,전라북도,임실군,합계,5222,134635790,
201507-201512,전라북도,장수군,일반용,1575,15752064,17.67
201507-201512,전라북도,장수군,합계,4085,89164901,
201507-201512,전라북도,전주시,일반용,43599,600534360,28.95
201507-201512,전라북도,전주시,합계,43256,2074708200,
201507-201512,전라북도,정읍시,일반용,8850,84136187,12.26
201507-201512,전라북도,정읍시,합계,15543,686028680,
201507-201512,전라북도,진안군,일반용,1973,18759211,21.31
201507-201512,전라북도,진안군,합계,4623,88037328,
