계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 제주특별자치도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2015년 07 월 ~ 2015년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201507,제주특별자치도,전체(시 / 군 / 구),주택용,"225,605 ","54,488,264 ","6,285,237,489 ",115.4 
201507,제주특별자치도,전체(시 / 군 / 구),일반용,"51,697 ","130,222,278 ","19,716,064,880 ",151.4 
201507,제주특별자치도,전체(시 / 군 / 구),교육용,334 ,"9,480,189 ","1,241,819,353 ",131.0 
201507,제주특별자치도,전체(시 / 군 / 구),산업용,"3,010 ","44,989,767 ","5,926,648,985 ",131.7 
201507,제주특별자치도,전체(시 / 군 / 구),농사용,"41,621 ","91,906,698 ","4,386,975,634 ",47.7 
201507,제주특별자치도,전체(시 / 군 / 구),가로등,"19,318 ","3,400,794 ","439,529,674 ",129.2 
201507,제주특별자치도,전체(시 / 군 / 구),심 야,"7,581 ","6,276,322 ","370,445,782 ",59.0 
201508,제주특별자치도,전체(시 / 군 / 구),주택용,"226,272 ","69,208,980 ","9,862,011,998 ",142.5 
201508,제주특별자치도,전체(시 / 군 / 구),일반용,"52,028 ","163,347,058 ","23,219,356,477 ",142.1 
201508,제주특별자치도,전체(시 / 군 / 구),교육용,334 ,"10,615,916 ","1,334,651,112 ",125.7 
201508,제주특별자치도,전체(시 / 군 / 구),산업용,"3,023 ","45,901,574 ","5,869,374,158 ",127.9 
201508,제주특별자치도,전체(시 / 군 / 구),농사용,"41,726 ","99,735,598 ","4,705,894,111 ",47.2 
201508,제주특별자치도,전체(시 / 군 / 구),가로등,"19,554 ","3,720,123 ","451,766,557 ",121.4 
201508,제주특별자치도,전체(시 / 군 / 구),심 야,"7,577 ","6,009,755 ","370,073,314 ",61.6 
201509,제주특별자치도,전체(시 / 군 / 구),주택용,"227,102 ","57,720,432 ","6,815,408,891 ",118.1 
201509,제주특별자치도,전체(시 / 군 / 구),일반용,"52,483 ","141,564,366 ","18,167,171,881 ",128.3 
201509,제주특별자치도,전체(시 / 군 / 구),교육용,335 ,"10,329,655 ","1,075,265,631 ",104.1 
201509,제주특별자치도,전체(시 / 군 / 구),산업용,"3,027 ","43,932,800 ","4,960,516,605 ",112.9 
201509,제주특별자치도,전체(시 / 군 / 구),농사용,"41,827 ","98,385,558 ","4,571,385,671 ",46.5 
201509,제주특별자치도,전체(시 / 군 / 구),가로등,"19,787 ","4,036,536 ","466,526,310 ",115.6 
201509,제주특별자치도,전체(시 / 군 / 구),심 야,"7,569 ","4,994,817 ","294,035,731 ",58.9 
201510,제주특별자치도,전체(시 / 군 / 구),주택용,"228,256 ","51,601,996 ","5,721,343,618 ",110.9 
201510,제주특별자치도,전체(시 / 군 / 구),일반용,"53,259 ","122,621,327 ","14,437,193,155 ",117.7 
201510,제주특별자치도,전체(시 / 군 / 구),교육용,334 ,"8,695,835 ","869,211,996 ",100.0 
