계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2015년 07 월 ~ 2015년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201507,충청남도,전체(시 / 군 / 구),주택용,"704,178 ","203,241,540 ","22,763,769,086 ",112.0 
201507,충청남도,전체(시 / 군 / 구),일반용,"151,235 ","325,688,668 ","49,998,010,435 ",153.5 
201507,충청남도,전체(시 / 군 / 구),교육용,"1,089 ","28,482,633 ","3,961,276,342 ",139.1 
201507,충청남도,전체(시 / 군 / 구),산업용,"19,281 ","3,232,902,090 ","372,941,921,539 ",115.4 
201507,충청남도,전체(시 / 군 / 구),농사용,"167,747 ","116,884,602 ","5,626,154,869 ",48.1 
201507,충청남도,전체(시 / 군 / 구),가로등,"124,640 ","12,170,930 ","1,548,274,741 ",127.2 
201507,충청남도,전체(시 / 군 / 구),심 야,"94,359 ","37,371,767 ","2,118,366,150 ",56.7 
201508,충청남도,전체(시 / 군 / 구),주택용,"705,447 ","243,882,057 ","30,969,031,276 ",127.0 
201508,충청남도,전체(시 / 군 / 구),일반용,"151,728 ","387,137,541 ","57,606,445,989 ",148.8 
201508,충청남도,전체(시 / 군 / 구),교육용,"1,090 ","28,448,698 ","3,939,195,884 ",138.5 
201508,충청남도,전체(시 / 군 / 구),산업용,"19,327 ","3,114,059,681 ","348,704,053,420 ",112.0 
201508,충청남도,전체(시 / 군 / 구),농사용,"168,852 ","157,161,615 ","7,261,972,376 ",46.2 
201508,충청남도,전체(시 / 군 / 구),가로등,"124,930 ","12,994,814 ","1,576,557,509 ",121.3 
201508,충청남도,전체(시 / 군 / 구),심 야,"94,200 ","32,888,377 ","1,893,369,062 ",57.6 
201509,충청남도,전체(시 / 군 / 구),주택용,"707,772 ","220,501,792 ","25,069,344,880 ",113.7 
201509,충청남도,전체(시 / 군 / 구),일반용,"152,130 ","345,042,775 ","45,112,482,230 ",130.7 
201509,충청남도,전체(시 / 군 / 구),교육용,"1,099 ","29,769,422 ","3,448,945,090 ",115.9 
201509,충청남도,전체(시 / 군 / 구),산업용,"19,408 ","2,995,606,632 ","271,099,022,581 ",90.5 
201509,충청남도,전체(시 / 군 / 구),농사용,"169,820 ","168,229,669 ","7,617,802,100 ",45.3 
201509,충청남도,전체(시 / 군 / 구),가로등,"125,068 ","13,894,091 ","1,619,923,958 ",116.6 
201509,충청남도,전체(시 / 군 / 구),심 야,"94,128 ","32,923,861 ","1,876,126,250 ",57.0 
201510,충청남도,전체(시 / 군 / 구),주택용,"709,611 ","198,762,040 ","21,662,345,431 ",109.0 
201510,충청남도,전체(시 / 군 / 구),일반용,"152,542 ","296,129,224 ","35,873,219,591 ",121.1 
201510,충청남도,전체(시 / 군 / 구),교육용,"1,097 ","25,352,502 ","2,838,381,992 ",112.0 
201510,충청남도,전체(시 / 군 / 구),산업용,"19,453 ","3,068,806,460 ","274,158,416,683 ",89.3 
201510,충청남도,전체(시 / 군 / 구),농사용,"170,359 ","120,822,459 ","6,023,107,091 ",49.9 
201510,충청남도,전체(시 / 군 / 구),가로등,"125,281 ","15,140,705 ","1,652,313,638 ",109.1 
201510,충청남도,전체(시 / 군 / 구),심 야,"94,079 ","54,510,527 ","3,027,984,431 ",55.5 
201511,충청남도,전체(시 / 군 / 구),주택용,"711,593 ","213,049,269 ","25,032,614,507 ",117.5 
201511,충청남도,전체(시 / 군 / 구),일반용,"153,231 ","311,666,283 ","49,276,779,825 ",158.1 
201511,충청남도,전체(시 / 군 / 구),교육용,"1,100 ","31,062,802 ","3,682,151,052 ",118.5 
201511,충청남도,전체(시 / 군 / 구),산업용,"19,508 ","3,045,923,360 ","338,358,143,155 ",111.1 
201511,충청남도,전체(시 / 군 / 구),농사용,"274,600 ","235,293,265 ","8,946,062,029 ",38.0 
201511,충청남도,전체(시 / 군 / 구),가로등,"125,628 ","15,932,260 ","1,696,085,283 ",106.5 
201511,충청남도,전체(시 / 군 / 구),심 야,"94,055 ","111,098,300 ","7,116,301,075 ",64.1 
201512,충청남도,전체(시 / 군 / 구),주택용,"713,016 ","224,050,346 ","27,469,372,407 ",122.6 
201512,충청남도,전체(시 / 군 / 구),일반용,"153,538 ","360,598,189 ","42,184,558,997 ",117.0 
201512,충청남도,전체(시 / 군 / 구),교육용,"1,102 ","44,806,575 ","4,966,708,283 ",110.8 
201512,충청남도,전체(시 / 군 / 구),산업용,"19,566 ","3,124,892,243 ","350,178,894,482 ",112.1 
201512,충청남도,전체(시 / 군 / 구),농사용,"170,749 ","147,151,343 ","7,297,038,476 ",49.6 
201512,충청남도,전체(시 / 군 / 구),가로등,"129,961 ","16,122,899 ","1,668,701,063 ",103.5 
201512,충청남도,전체(시 / 군 / 구),심 야,"94,009 ","186,350,855 ","14,054,459,396 ",75.4 
합계,합계,합계,합계,"7,731,606","23,586,805,161","2,493,915,684,654",105.7
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201507,충청남도,계룡시,가로등,900 ,"166,166 ","21,649,510 ",130.3 
201507,충청남도,계룡시,교육용,17 ,"255,793 ","41,586,991 ",162.6 
201507,충청남도,계룡시,농사용,464 ,"181,695 ","9,873,207 ",54.3 
201507,충청남도,계룡시,산업용,107 ,"3,425,994 ","518,885,950 ",151.5 
201507,충청남도,계룡시,심 야,340 ,"531,125 ","31,943,600 ",60.1 
201507,충청남도,계룡시,일반용,"1,638 ","10,045,719 ","1,433,361,861 ",142.7 
201507,충청남도,계룡시,주택용,"3,606 ","4,234,367 ","458,954,179 ",108.4 
201507,충청남도,계룡시,합계,"7,072 ","18,840,859 ","2,516,255,298 ",133.6 
201507,충청남도,공주시,가로등,"7,608 ","1,375,854 ","166,009,326 ",120.7 
201507,충청남도,공주시,교육용,77 ,"2,146,529 ","285,864,003 ",133.2 
201507,충청남도,공주시,농사용,"12,620 ","6,815,514 ","338,599,230 ",49.7 
201507,충청남도,공주시,산업용,"1,113 ","33,143,397 ","4,312,807,671 ",130.1 
201507,충청남도,공주시,심 야,"7,375 ","2,794,941 ","158,633,347 ",56.8 
201507,충청남도,공주시,일반용,"9,288 ","17,537,678 ","2,740,962,459 ",156.3 
201507,충청남도,공주시,주택용,"45,966 ","10,490,809 ","1,166,977,743 ",111.2 
201507,충청남도,공주시,합계,"84,047 ","74,304,722 ","9,169,853,779 ",123.4 
201507,충청남도,금산군,가로등,"3,709 ","754,648 ","90,677,332 ",120.2 
201507,충청남도,금산군,교육용,39 ,"686,749 ","105,416,286 ",153.5 
201507,충청남도,금산군,농사용,"9,130 ","3,084,093 ","170,668,819 ",55.3 
201507,충청남도,금산군,산업용,"1,382 ","56,955,221 ","7,090,287,381 ",124.5 
201507,충청남도,금산군,심 야,"3,535 ","1,222,689 ","66,427,974 ",54.3 
201507,충청남도,금산군,일반용,"5,073 ","7,661,119 ","1,234,214,731 ",161.1 
201507,충청남도,금산군,주택용,"26,047 ","4,897,076 ","551,731,354 ",112.7 
201507,충청남도,금산군,합계,"48,915 ","75,261,595 ","9,309,423,877 ",123.7 
201507,충청남도,논산시,가로등,"6,131 ","639,545 ","81,698,979 ",127.7 
201507,충청남도,논산시,교육용,71 ,"1,647,155 ","235,240,355 ",142.8 
201507,충청남도,논산시,농사용,"16,301 ","12,127,498 ","598,503,625 ",49.4 
