년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201507-201512,충청남도,계룡시,일반용,1659,57115293,50.66
201507-201512,충청남도,계룡시,합계,1204,112749182,
201507-201512,충청남도,공주시,일반용,9306,112037929,23.14
201507-201512,충청남도,공주시,합계,14268,484166169,
201507-201512,충청남도,금산군,일반용,5085,49244275,10.53
201507-201512,충청남도,금산군,합계,8384,467658993,
201507-201512,충청남도,논산시,일반용,9985,112594375,19.07
201507-201512,충청남도,논산시,합계,16076,590357723,
201507-201512,충청남도,당진시,일반용,13095,153174512,2.71
201507-201512,충청남도,당진시,합계,19194,5657757405,
201507-201512,충청남도,보령시,일반용,10119,126317057,24.15
201507-201512,충청남도,보령시,합계,13029,522991035,
201507-201512,충청남도,부여군,일반용,4887,52166327,19.09
201507-201512,충청남도,부여군,합계,11408,273296353,
201507-201512,충청남도,서산시,일반용,12520,159608691,4.45
201507-201512,충청남도,서산시,합계,17436,3584752149,
201507-201512,충청남도,서천군,일반용,4864,52558447,9.82
201507-201512,충청남도,서천군,합계,8594,535319531,
201507-201512,충청남도,아산시,일반용,18343,265878697,4.32
201507-201512,충청남도,아산시,합계,22451,6157314608,
201507-201512,충청남도,연기군,일반용,1,11403,100.0
201507-201512,충청남도,연기군,합계,0,11403,
201507-201512,충청남도,예산군,일반용,6839,74460314,16.14
201507-201512,충청남도,예산군,합계,11963,461211872,
201507-201512,충청남도,천안시,일반용,36962,608922848,16.16
201507-201512,충청남도,천안시,합계,42332,3767080797,
201507-201512,충청남도,청양군,일반용,2665,22282788,15.67
201507-201512,충청남도,청양군,합계,6232,142211212,
201507-201512,충청남도,태안군,일반용,8671,91234967,20.97
201507-201512,충청남도,태안군,합계,10073,435071388,
201507-201512,충청남도,홍성군,일반용,7394,88654757,22.45
201507-201512,충청남도,홍성군,합계,12115,394855341,
