년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201601-201606,경상북도,경산시,일반용,16279,213307005,15.52
201601-201606,경상북도,경산시,합계,24915,1374162673,
201601-201606,경상북도,경주시,일반용,23756,323792691,15.64
201601-201606,경상북도,경주시,합계,31937,2070587184,
201601-201606,경상북도,고령군,일반용,3001,29735304,4.84
201601-201606,경상북도,고령군,합계,5079,614088073,
201601-201606,경상북도,구미시,일반용,26614,354169478,7.43
201601-201606,경상북도,구미시,합계,33355,4764959186,
201601-201606,경상북도,군위군,일반용,2000,25399781,15.61
201601-201606,경상북도,군위군,합계,4707,162701930,
201601-201606,경상북도,김천시,일반용,9884,130882919,12.21
201601-201606,경상북도,김천시,합계,17226,1071650747,
201601-201606,경상북도,문경시,일반용,6296,73884562,25.0
201601-201606,경상북도,문경시,합계,10190,295484894,
201601-201606,경상북도,봉화군,일반용,2836,24674103,2.56
201601-201606,경상북도,봉화군,합계,6800,963965768,
201601-201606,경상북도,상주시,일반용,7519,83209497,23.07
201601-201606,경상북도,상주시,합계,16219,360698469,
201601-201606,경상북도,성주군,일반용,3930,38980085,7.92
201601-201606,경상북도,성주군,합계,8298,492216495,
201601-201606,경상북도,안동시,일반용,12882,180792160,33.59
201601-201606,경상북도,안동시,합계,20441,538234261,
201601-201606,경상북도,영덕군,일반용,4985,57444877,38.6
201601-201606,경상북도,영덕군,합계,6754,148825556,
201601-201606,경상북도,영양군,일반용,1561,14156578,24.37
201601-201606,경상북도,영양군,합계,3977,58101383,
201601-201606,경상북도,영주시,일반용,9349,96403305,13.26
201601-201606,경상북도,영주시,합계,13372,726928492,
201601-201606,경상북도,영천시,일반용,7745,93638729,12.53
201601-201606,경상북도,영천시,합계,14173,747350615,
201601-201606,경상북도,예천군,일반용,3249,39970158,25.03
201601-201606,경상북도,예천군,합계,9080,159715555,
201601-201606,경상북도,울릉군,일반용,1652,17961900,62.8
201601-201606,경상북도,울릉군,합계,1292,28599490,
201601-201606,경상북도,울진군,일반용,5257,88495739,9.96
201601-201606,경상북도,울진군,합계,8576,888950021,
201601-201606,경상북도,의성군,일반용,4031,38726539,18.73
201601-201606,경상북도,의성군,합계,11320,206746623,
201601-201606,경상북도,청도군,일반용,3667,42410535,17.58
201601-201606,경상북도,청도군,합계,9125,241311004,
201601-201606,경상북도,청송군,일반용,2637,27098019,28.27
201601-201606,경상북도,청송군,합계,6092,95842149,
201601-201606,경상북도,칠곡군,일반용,10151,141221087,14.03
201601-201606,경상북도,칠곡군,합계,13255,1006789539,
201601-201606,경상북도,포항시,일반용,38027,479864803,7.92
201601-201606,경상북도,포항시,합계,42317,6059727281,
