계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 울산광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2016년 01 월 ~ 2016년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201601,울산광역시,전체(시 / 군 / 구),주택용,"313,586 ","134,188,423 ","17,803,999,179 ",132.7 
201601,울산광역시,전체(시 / 군 / 구),일반용,"69,995 ","182,668,166 ","25,079,666,991 ",137.3 
201601,울산광역시,전체(시 / 군 / 구),교육용,428 ,"15,206,173 ","1,612,022,360 ",106.0 
201601,울산광역시,전체(시 / 군 / 구),산업용,"6,247 ","2,343,088,921 ","250,275,839,397 ",106.8 
201601,울산광역시,전체(시 / 군 / 구),농사용,"11,879 ","7,406,526 ","369,722,395 ",49.9 
201601,울산광역시,전체(시 / 군 / 구),가로등,"31,540 ","6,353,905 ","673,978,712 ",106.1 
201601,울산광역시,전체(시 / 군 / 구),심 야,"7,977 ","21,311,241 ","1,601,598,962 ",75.2 
201602,울산광역시,전체(시 / 군 / 구),주택용,"314,106 ","137,761,839 ","18,719,495,160 ",135.9 
201602,울산광역시,전체(시 / 군 / 구),일반용,"70,095 ","189,057,946 ","25,738,048,458 ",136.1 
201602,울산광역시,전체(시 / 군 / 구),교육용,428 ,"14,367,836 ","1,576,953,016 ",109.8 
201602,울산광역시,전체(시 / 군 / 구),산업용,"6,248 ","2,200,653,226 ","235,159,367,932 ",106.9 
201602,울산광역시,전체(시 / 군 / 구),농사용,"11,924 ","7,754,978 ","386,258,571 ",49.8 
201602,울산광역시,전체(시 / 군 / 구),가로등,"31,640 ","5,989,450 ","664,818,640 ",111.0 
201602,울산광역시,전체(시 / 군 / 구),심 야,"7,945 ","23,612,522 ","1,772,075,457 ",75.0 
201603,울산광역시,전체(시 / 군 / 구),주택용,"314,777 ","122,838,607 ","14,861,605,632 ",121.0 
201603,울산광역시,전체(시 / 군 / 구),일반용,"70,056 ","164,100,236 ","21,187,017,347 ",129.1 
201603,울산광역시,전체(시 / 군 / 구),교육용,425 ,"14,414,098 ","1,423,030,196 ",98.7 
201603,울산광역시,전체(시 / 군 / 구),산업용,"6,247 ","2,428,034,835 ","209,375,073,331 ",86.2 
201603,울산광역시,전체(시 / 군 / 구),농사용,"12,952 ","6,504,102 ","329,703,608 ",50.7 
201603,울산광역시,전체(시 / 군 / 구),가로등,"31,692 ","5,548,407 ","629,009,533 ",113.4 
201603,울산광역시,전체(시 / 군 / 구),심 야,"7,922 ","18,564,562 ","1,241,662,117 ",66.9 
201604,울산광역시,전체(시 / 군 / 구),주택용,"315,462 ","124,478,254 ","15,180,791,270 ",122.0 
201604,울산광역시,전체(시 / 군 / 구),일반용,"70,148 ","155,677,396 ","18,315,446,514 ",117.7 
201604,울산광역시,전체(시 / 군 / 구),교육용,425 ,"13,094,263 ","1,275,405,801 ",97.4 
201604,울산광역시,전체(시 / 군 / 구),산업용,"6,239 ","2,333,396,471 ","200,693,191,846 ",86.0 
201604,울산광역시,전체(시 / 군 / 구),농사용,"12,115 ","5,658,545 ","292,716,732 ",51.7 
201604,울산광역시,전체(시 / 군 / 구),가로등,"31,895 ","5,370,237 ","634,238,596 ",118.1 
201604,울산광역시,전체(시 / 군 / 구),심 야,"7,867 ","14,646,669 ","794,795,374 ",54.3 
201605,울산광역시,전체(시 / 군 / 구),주택용,"315,989 ","114,920,839 ","13,116,341,633 ",114.1 
201605,울산광역시,전체(시 / 군 / 구),일반용,"70,243 ","143,754,760 ","17,472,400,142 ",121.5 
201605,울산광역시,전체(시 / 군 / 구),교육용,424 ,"11,352,535 ","1,165,465,900 ",102.7 
201605,울산광역시,전체(시 / 군 / 구),산업용,"6,240 ","2,364,444,937 ","201,880,596,759 ",85.4 
201605,울산광역시,전체(시 / 군 / 구),농사용,"12,227 ","5,069,884 ","268,241,081 ",52.9 
201605,울산광역시,전체(시 / 군 / 구),가로등,"31,968 ","4,974,361 ","609,056,303 ",122.4 
201605,울산광역시,전체(시 / 군 / 구),심 야,"7,808 ","9,049,261 ","499,299,025 ",55.2 
201606,울산광역시,전체(시 / 군 / 구),주택용,"316,510 ","115,946,754 ","13,358,507,758 ",115.2 
201606,울산광역시,전체(시 / 군 / 구),일반용,"70,314 ","155,718,870 ","21,254,897,441 ",136.5 
201606,울산광역시,전체(시 / 군 / 구),교육용,426 ,"12,869,746 ","1,561,350,662 ",121.3 
201606,울산광역시,전체(시 / 군 / 구),산업용,"6,264 ","2,358,981,141 ","257,102,078,202 ",109.0 
201606,울산광역시,전체(시 / 군 / 구),농사용,"12,357 ","5,498,430 ","283,733,532 ",51.6 
201606,울산광역시,전체(시 / 군 / 구),가로등,"32,006 ","4,751,890 ","603,207,370 ",126.9 
201606,울산광역시,전체(시 / 군 / 구),심 야,"7,759 ","5,967,901 ","350,497,365 ",58.7 
합계,합계,합계,합계,"2,662,795","16,015,049,143","1,597,193,206,300",99.7
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201601,울산광역시,남구,가로등,"7,751 ","1,292,303 ","141,236,633 ",109.3 
