계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 전라남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2016년 01 월 ~ 2016년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201601,전라남도,전체(시 / 군 / 구),주택용,"712,757 ","208,355,718 ","27,278,213,239 ",130.9 
201601,전라남도,전체(시 / 군 / 구),일반용,"140,989 ","323,033,896 ","43,307,152,716 ",134.1 
201601,전라남도,전체(시 / 군 / 구),교육용,"1,323 ","27,268,352 ","3,013,056,935 ",110.5 
201601,전라남도,전체(시 / 군 / 구),산업용,"19,197 ","1,926,975,147 ","205,258,763,757 ",106.5 
201601,전라남도,전체(시 / 군 / 구),농사용,"250,815 ","287,507,839 ","13,322,398,912 ",46.3 
201601,전라남도,전체(시 / 군 / 구),가로등,"139,610 ","20,850,090 ","2,191,256,676 ",105.1 
201601,전라남도,전체(시 / 군 / 구),심 야,"49,207 ","101,733,954 ","7,644,511,094 ",75.1 
201602,전라남도,전체(시 / 군 / 구),주택용,"713,233 ","213,916,066 ","28,697,015,455 ",134.2 
201602,전라남도,전체(시 / 군 / 구),일반용,"141,269 ","337,671,263 ","44,776,383,904 ",132.6 
201602,전라남도,전체(시 / 군 / 구),교육용,"1,327 ","26,049,418 ","3,054,073,079 ",117.2 
201602,전라남도,전체(시 / 군 / 구),산업용,"19,203 ","1,769,357,504 ","189,805,758,776 ",107.3 
201602,전라남도,전체(시 / 군 / 구),농사용,"250,975 ","294,244,833 ","13,929,865,765 ",47.3 
201602,전라남도,전체(시 / 군 / 구),가로등,"139,833 ","19,671,154 ","2,177,760,636 ",110.7 
201602,전라남도,전체(시 / 군 / 구),심 야,"49,126 ","114,380,290 ","8,591,089,772 ",75.1 
201603,전라남도,전체(시 / 군 / 구),주택용,"713,654 ","189,681,893 ","22,851,987,611 ",120.5 
201603,전라남도,전체(시 / 군 / 구),일반용,"141,327 ","293,821,793 ","37,092,842,749 ",126.2 
201603,전라남도,전체(시 / 군 / 구),교육용,"1,330 ","26,797,551 ","2,937,804,373 ",109.6 
201603,전라남도,전체(시 / 군 / 구),산업용,"19,224 ","1,852,018,558 ","166,236,379,672 ",89.8 
201603,전라남도,전체(시 / 군 / 구),농사용,"366,564 ","292,812,922 ","13,704,564,951 ",46.8 
201603,전라남도,전체(시 / 군 / 구),가로등,"139,989 ","18,727,444 ","2,115,449,500 ",113.0 
201603,전라남도,전체(시 / 군 / 구),심 야,"49,035 ","92,358,422 ","6,181,074,375 ",66.9 
201604,전라남도,전체(시 / 군 / 구),주택용,"714,644 ","192,333,698 ","23,369,035,266 ",121.5 
201604,전라남도,전체(시 / 군 / 구),일반용,"141,588 ","274,625,561 ","32,580,067,263 ",118.6 
201604,전라남도,전체(시 / 군 / 구),교육용,"1,329 ","26,152,741 ","2,626,254,385 ",100.4 
201604,전라남도,전체(시 / 군 / 구),산업용,"19,283 ","1,795,175,981 ","158,634,464,351 ",88.4 
201604,전라남도,전체(시 / 군 / 구),농사용,"275,951 ","288,450,878 ","13,328,614,800 ",46.2 
201604,전라남도,전체(시 / 군 / 구),가로등,"140,265 ","18,619,450 ","2,202,111,462 ",118.3 
201604,전라남도,전체(시 / 군 / 구),심 야,"48,912 ","71,544,540 ","3,883,699,719 ",54.3 
201605,전라남도,전체(시 / 군 / 구),주택용,"715,322 ","180,772,288 ","20,704,470,633 ",114.5 
201605,전라남도,전체(시 / 군 / 구),일반용,"141,719 ","246,070,558 ","28,512,344,200 ",115.9 
201605,전라남도,전체(시 / 군 / 구),교육용,"1,331 ","19,434,224 ","2,193,157,096 ",112.9 
201605,전라남도,전체(시 / 군 / 구),산업용,"19,318 ","1,964,514,875 ","169,287,080,401 ",86.2 
201605,전라남도,전체(시 / 군 / 구),농사용,"254,252 ","207,609,250 ","9,928,824,106 ",47.8 
201605,전라남도,전체(시 / 군 / 구),가로등,"140,526 ","18,231,565 ","2,216,788,406 ",121.6 
201605,전라남도,전체(시 / 군 / 구),심 야,"48,813 ","44,801,632 ","2,430,493,651 ",54.3 
201606,전라남도,전체(시 / 군 / 구),주택용,"716,100 ","180,620,264 ","20,690,903,276 ",114.6 
201606,전라남도,전체(시 / 군 / 구),일반용,"141,966 ","260,035,523 ","34,926,154,599 ",134.3 
201606,전라남도,전체(시 / 군 / 구),교육용,"1,325 ","20,444,460 ","2,614,525,262 ",127.9 
201606,전라남도,전체(시 / 군 / 구),산업용,"19,356 ","1,882,763,109 ","203,049,528,053 ",107.8 
201606,전라남도,전체(시 / 군 / 구),농사용,"255,483 ","215,689,917 ","9,948,638,301 ",46.1 
201606,전라남도,전체(시 / 군 / 구),가로등,"141,086 ","17,971,056 ","2,259,722,376 ",125.7 
201606,전라남도,전체(시 / 군 / 구),심 야,"48,702 ","27,551,388 ","1,525,708,820 ",55.4 
합계,합계,합계,합계,"8,047,258","16,390,647,065","1,591,079,990,373",97.1
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201601,전라남도,강진군,가로등,"4,494 ","285,315 ","33,007,744 ",115.7 
201601,전라남도,강진군,교육용,37 ,"579,767 ","65,750,334 ",113.4 
201601,전라남도,강진군,농사용,"8,621 ","12,464,250 ","587,050,012 ",47.1 
