계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경기도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2017년 01 월 ~ 2017년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201701,경기도,전체(시 / 군 / 구),주택용,"2,797,971 ","1,474,742,446 ","168,577,107,215 ",114.3 
201701,경기도,전체(시 / 군 / 구),일반용,"642,930 ","2,555,150,983 ","335,846,786,813 ",131.4 
201701,경기도,전체(시 / 군 / 구),교육용,"4,359 ","158,438,277 ","15,568,660,871 ",98.3 
201701,경기도,전체(시 / 군 / 구),산업용,"121,270 ","5,320,020,341 ","620,945,307,019 ",116.7 
201701,경기도,전체(시 / 군 / 구),농사용,"207,480 ","238,627,619 ","11,428,634,252 ",47.9 
201701,경기도,전체(시 / 군 / 구),가로등,"319,536 ","80,297,121 ","8,654,804,481 ",107.8 
201701,경기도,전체(시 / 군 / 구),심 야,"154,390 ","470,274,433 ","35,529,675,679 ",75.6 
201702,경기도,전체(시 / 군 / 구),주택용,"2,804,344 ","1,499,222,691 ","172,787,517,478 ",115.3 
201702,경기도,전체(시 / 군 / 구),일반용,"642,664 ","2,608,752,749 ","341,495,300,434 ",130.9 
201702,경기도,전체(시 / 군 / 구),교육용,"4,401 ","161,085,899 ","15,955,512,673 ",99.0 
201702,경기도,전체(시 / 군 / 구),산업용,"121,661 ","5,104,867,247 ","610,103,340,059 ",119.5 
201702,경기도,전체(시 / 군 / 구),농사용,"207,542 ","256,635,203 ","12,192,422,397 ",47.5 
201702,경기도,전체(시 / 군 / 구),가로등,"320,150 ","76,231,544 ","8,572,147,853 ",112.4 
201702,경기도,전체(시 / 군 / 구),심 야,"154,046 ","521,798,090 ","39,418,864,206 ",75.5 
201703,경기도,전체(시 / 군 / 구),주택용,"2,811,285 ","1,299,030,612 ","132,568,644,913 ",102.1 
201703,경기도,전체(시 / 군 / 구),일반용,"641,901 ","2,224,844,226 ","269,305,128,912 ",121.0 
201703,경기도,전체(시 / 군 / 구),교육용,"4,411 ","148,212,405 ","14,378,564,026 ",97.0 
201703,경기도,전체(시 / 군 / 구),산업용,"122,009 ","5,211,220,748 ","517,383,980,981 ",99.3 
201703,경기도,전체(시 / 군 / 구),농사용,"272,634 ","205,445,946 ","9,938,720,117 ",48.4 
201703,경기도,전체(시 / 군 / 구),가로등,"320,725 ","69,531,522 ","7,903,143,945 ",113.7 
201703,경기도,전체(시 / 군 / 구),심 야,"153,733 ","392,734,811 ","26,280,347,676 ",66.9 
201704,경기도,전체(시 / 군 / 구),주택용,"2,819,940 ","1,352,654,839 ","143,048,424,116 ",105.8 
201704,경기도,전체(시 / 군 / 구),일반용,"642,690 ","2,026,772,983 ","230,801,339,026 ",113.9 
201704,경기도,전체(시 / 군 / 구),교육용,"4,408 ","122,842,724 ","11,379,045,609 ",92.6 
201704,경기도,전체(시 / 군 / 구),산업용,"122,430 ","5,039,624,694 ","484,965,684,511 ",96.2 
201704,경기도,전체(시 / 군 / 구),농사용,"220,713 ","183,360,543 ","8,898,056,108 ",48.5 
201704,경기도,전체(시 / 군 / 구),가로등,"321,448 ","68,915,021 ","8,065,979,679 ",117.0 
201704,경기도,전체(시 / 군 / 구),심 야,"153,420 ","300,557,818 ","16,492,589,187 ",54.9 
201705,경기도,전체(시 / 군 / 구),주택용,"2,827,233 ","1,255,883,318 ","127,538,231,371 ",101.6 
201705,경기도,전체(시 / 군 / 구),일반용,"642,652 ","1,874,702,039 ","220,005,532,078 ",117.4 
201705,경기도,전체(시 / 군 / 구),교육용,"4,410 ","90,880,715 ","8,715,837,542 ",95.9 
201705,경기도,전체(시 / 군 / 구),산업용,"122,763 ","4,906,070,810 ","475,400,948,015 ",96.9 
201705,경기도,전체(시 / 군 / 구),농사용,"210,587 ","172,227,008 ","8,067,349,938 ",46.8 
201705,경기도,전체(시 / 군 / 구),가로등,"323,625 ","63,614,327 ","7,685,800,778 ",120.8 
201705,경기도,전체(시 / 군 / 구),심 야,"152,951 ","168,340,474 ","9,443,361,984 ",56.1 
201706,경기도,전체(시 / 군 / 구),주택용,"2,836,922 ","1,280,728,362 ","133,486,049,107 ",104.2 
201706,경기도,전체(시 / 군 / 구),일반용,"643,982 ","2,048,073,544 ","275,650,222,474 ",134.6 
201706,경기도,전체(시 / 군 / 구),교육용,"4,412 ","105,084,120 ","12,305,602,680 ",117.1 
201706,경기도,전체(시 / 군 / 구),산업용,"123,101 ","5,090,599,396 ","603,022,586,531 ",118.5 
201706,경기도,전체(시 / 군 / 구),농사용,"211,957 ","178,038,690 ","8,283,567,968 ",46.5 
201706,경기도,전체(시 / 군 / 구),가로등,"323,804 ","61,193,934 ","7,594,513,290 ",124.1 
201706,경기도,전체(시 / 군 / 구),심 야,"152,535 ","109,531,792 ","6,386,094,310 ",58.3 
합계,합계,합계,합계,"25,695,425","56,576,862,064","6,182,071,428,302",109.3
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201701,경기도,가평군,가로등,"8,919 ","849,038 ","86,844,886 ",102.3 
201701,경기도,가평군,교육용,47 ,"1,189,576 ","111,923,919 ",94.1 
201701,경기도,가평군,농사용,"6,574 ","2,897,482 ","148,239,631 ",51.2 
201701,경기도,가평군,산업용,"1,115 ","8,299,156 ","1,093,166,927 ",131.7 
201701,경기도,가평군,심 야,"6,157 ","20,291,156 ","1,524,420,517 ",75.1 
201701,경기도,가평군,일반용,"9,821 ","31,833,929 ","4,148,885,244 ",130.3 
201701,경기도,가평군,주택용,"29,556 ","7,049,891 ","844,242,714 ",119.8 
201701,경기도,가평군,합계,"62,189 ","72,410,228 ","7,957,723,838 ",109.9 
201701,경기도,고양시,가로등,"16,954 ","5,128,345 ","557,692,418 ",108.7 
201701,경기도,고양시,교육용,348 ,"9,861,664 ","1,033,811,736 ",104.8 
201701,경기도,고양시,농사용,"11,815 ","25,480,712 ","1,204,941,012 ",47.3 
201701,경기도,고양시,산업용,"5,391 ","73,100,289 ","8,954,701,130 ",122.5 
201701,경기도,고양시,심 야,"6,498 ","18,298,789 ","1,396,281,157 ",76.3 
201701,경기도,고양시,일반용,"40,131 ","192,039,326 ","24,944,207,599 ",129.9 
201701,경기도,고양시,주택용,"145,436 ","120,215,902 ","13,963,225,350 ",116.2 
201701,경기도,고양시,합계,"226,573 ","444,125,027 ","52,054,860,402 ",117.2 
201701,경기도,과천시,가로등,485 ,"594,777 ","64,491,497 ",108.4 
201701,경기도,과천시,교육용,27 ,"1,457,372 ","159,550,508 ",109.5 
201701,경기도,과천시,농사용,"1,247 ","1,027,268 ","50,081,784 ",48.8 
201701,경기도,과천시,산업용,82 ,"3,847,029 ","434,738,564 ",113 
201701,경기도,과천시,심 야,289 ,"406,725 ","34,453,690 ",84.7 
201701,경기도,과천시,일반용,"2,297 ","22,838,452 ","2,897,664,702 ",126.9 
201701,경기도,과천시,주택용,"10,473 ","6,286,416 ","722,509,685 ",114.9 
201701,경기도,과천시,합계,"14,900 ","36,458,039 ","4,363,490,430 ",119.7 
201701,경기도,광명시,가로등,"4,351 ","1,507,507 ","159,419,695 ",105.8 
201701,경기도,광명시,교육용,89 ,"1,856,909 ","184,772,025 ",99.5 
201701,경기도,광명시,농사용,"1,445 ","821,322 ","40,267,960 ",49 
201701,경기도,광명시,산업용,"1,112 ","23,456,384 ","2,883,315,576 ",122.9 
201701,경기도,광명시,심 야,934 ,"2,403,518 ","183,878,816 ",76.5 
201701,경기도,광명시,일반용,"11,274 ","39,455,531 ","5,337,019,394 ",135.3 
201701,경기도,광명시,주택용,"61,578 ","34,664,882 ","3,856,945,490 ",111.3 
201701,경기도,광명시,합계,"80,783 ","104,166,053 ","12,645,618,956 ",121.4 
201701,경기도,광주시,가로등,"12,148 ","2,194,036 ","230,802,584 ",105.2 
201701,경기도,광주시,교육용,108 ,"2,829,233 ","291,539,669 ",103 
201701,경기도,광주시,농사용,"7,374 ","6,716,640 ","327,947,688 ",48.8 
201701,경기도,광주시,산업용,"7,554 ","111,089,507 ","13,713,229,053 ",123.4 
201701,경기도,광주시,심 야,"7,331 ","25,188,164 ","1,912,708,197 ",75.9 
201701,경기도,광주시,일반용,"24,966 ","62,576,739 ","8,320,366,494 ",133 
201701,경기도,광주시,주택용,"109,533 ","37,718,465 ","4,487,642,284 ",119 
201701,경기도,광주시,합계,"169,014 ","248,312,784 ","29,284,235,969 ",117.9 
201701,경기도,구리시,가로등,"3,148 ","1,009,788 ","107,376,253 ",106.3 
201701,경기도,구리시,교육용,59 ,"1,214,966 ","123,095,091 ",101.3 
201701,경기도,구리시,농사용,828 ,"572,629 ","29,016,407 ",50.7 
201701,경기도,구리시,산업용,995 ,"10,736,799 ","1,281,711,682 ",119.4 
201701,경기도,구리시,심 야,295 ,"776,836 ","60,640,743 ",78.1 
201701,경기도,구리시,일반용,"10,350 ","34,193,424 ","4,544,809,056 ",132.9 
201701,경기도,구리시,주택용,"35,803 ","21,675,805 ","2,441,295,738 ",112.6 
201701,경기도,구리시,합계,"51,478 ","70,180,247 ","8,587,944,970 ",122.4 
201701,경기도,군포시,가로등,"1,821 ","1,380,176 ","153,665,729 ",111.3 
201701,경기도,군포시,교육용,80 ,"2,113,378 ","215,881,942 ",102.2 
201701,경기도,군포시,농사용,708 ,"206,431 ","10,865,299 ",52.6 
201701,경기도,군포시,산업용,"1,616 ","61,087,570 ","7,490,868,045 ",122.6 
