계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경상남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2017년 01 월 ~ 2017년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201701,경상남도,전체(시 / 군 / 구),주택용,"1,136,752 ","387,629,910 ","43,537,738,939 ",112.3 
201701,경상남도,전체(시 / 군 / 구),일반용,"218,305 ","587,956,161 ","79,698,375,045 ",135.6 
201701,경상남도,전체(시 / 군 / 구),교육용,"1,642 ","39,088,283 ","4,101,335,290 ",104.9 
201701,경상남도,전체(시 / 군 / 구),산업용,"37,118 ","1,680,202,309 ","210,161,660,867 ",125.1 
201701,경상남도,전체(시 / 군 / 구),농사용,"188,200 ","316,283,837 ","14,891,331,902 ",47.1 
201701,경상남도,전체(시 / 군 / 구),가로등,"156,811 ","26,211,435 ","2,789,009,808 ",106.4 
201701,경상남도,전체(시 / 군 / 구),심 야,"93,164 ","155,563,104 ","11,723,239,982 ",75.4 
201702,경상남도,전체(시 / 군 / 구),주택용,"1,138,472 ","391,670,504 ","44,455,075,186 ",113.5 
201702,경상남도,전체(시 / 군 / 구),일반용,"218,138 ","595,800,766 ","80,336,752,202 ",134.8 
201702,경상남도,전체(시 / 군 / 구),교육용,"1,655 ","38,331,785 ","4,163,625,245 ",108.6 
201702,경상남도,전체(시 / 군 / 구),산업용,"37,171 ","1,668,956,379 ","209,619,362,966 ",125.6 
201702,경상남도,전체(시 / 군 / 구),농사용,"188,475 ","328,406,346 ","15,399,258,417 ",46.9 
201702,경상남도,전체(시 / 군 / 구),가로등,"157,226 ","25,048,061 ","2,779,448,437 ",111.0 
201702,경상남도,전체(시 / 군 / 구),심 야,"92,950 ","168,678,237 ","12,714,500,548 ",75.4 
201703,경상남도,전체(시 / 군 / 구),주택용,"1,140,856 ","340,261,198 ","34,575,646,731 ",101.6 
201703,경상남도,전체(시 / 군 / 구),일반용,"217,832 ","507,894,717 ","64,770,638,040 ",127.5 
201703,경상남도,전체(시 / 군 / 구),교육용,"1,665 ","37,653,555 ","3,839,631,193 ",102.0 
201703,경상남도,전체(시 / 군 / 구),산업용,"37,179 ","1,707,952,571 ","178,261,349,736 ",104.4 
201703,경상남도,전체(시 / 군 / 구),농사용,"212,979 ","247,115,378 ","11,908,030,457 ",48.2 
201703,경상남도,전체(시 / 군 / 구),가로등,"157,508 ","23,512,974 ","2,640,577,804 ",112.3 
201703,경상남도,전체(시 / 군 / 구),심 야,"92,707 ","127,628,496 ","8,459,407,849 ",66.3 
201704,경상남도,전체(시 / 군 / 구),주택용,"1,143,408 ","360,004,097 ","38,075,832,778 ",105.8 
201704,경상남도,전체(시 / 군 / 구),일반용,"217,678 ","497,089,384 ","57,511,228,542 ",115.7 
201704,경상남도,전체(시 / 군 / 구),교육용,"1,658 ","35,370,619 ","3,293,568,292 ",93.1 
201704,경상남도,전체(시 / 군 / 구),산업용,"37,244 ","1,663,865,786 ","168,591,824,455 ",101.3 
201704,경상남도,전체(시 / 군 / 구),농사용,"190,353 ","194,307,136 ","9,661,938,747 ",49.7 
201704,경상남도,전체(시 / 군 / 구),가로등,"157,987 ","23,030,099 ","2,681,133,301 ",116.4 
201704,경상남도,전체(시 / 군 / 구),심 야,"92,468 ","105,413,929 ","5,739,632,311 ",54.4 
201705,경상남도,전체(시 / 군 / 구),주택용,"1,144,913 ","330,370,196 ","33,251,957,977 ",100.7 
201705,경상남도,전체(시 / 군 / 구),일반용,"217,520 ","450,766,822 ","54,266,541,020 ",120.4 
201705,경상남도,전체(시 / 군 / 구),교육용,"1,655 ","25,782,706 ","2,495,617,684 ",96.8 
201705,경상남도,전체(시 / 군 / 구),산업용,"37,270 ","1,580,253,663 ","162,017,652,776 ",102.5 
201705,경상남도,전체(시 / 군 / 구),농사용,"190,872 ","121,101,466 ","6,515,272,767 ",53.8 
201705,경상남도,전체(시 / 군 / 구),가로등,"158,243 ","21,640,047 ","2,603,273,852 ",120.3 
201705,경상남도,전체(시 / 군 / 구),심 야,"92,155 ","57,291,609 ","3,134,714,269 ",54.7 
201706,경상남도,전체(시 / 군 / 구),주택용,"1,147,201 ","332,570,874 ","33,743,945,190 ",101.5 
201706,경상남도,전체(시 / 군 / 구),일반용,"217,779 ","488,219,583 ","66,033,231,953 ",135.3 
201706,경상남도,전체(시 / 군 / 구),교육용,"1,652 ","30,520,414 ","3,612,430,087 ",118.4 
201706,경상남도,전체(시 / 군 / 구),산업용,"37,349 ","1,655,013,705 ","205,105,975,054 ",123.9 
201706,경상남도,전체(시 / 군 / 구),농사용,"190,926 ","120,949,728 ","6,090,234,966 ",50.4 
201706,경상남도,전체(시 / 군 / 구),가로등,"158,671 ","21,277,976 ","2,608,045,110 ",122.6 
201706,경상남도,전체(시 / 군 / 구),심 야,"91,932 ","35,063,186 ","1,941,759,838 ",55.4 
합계,합계,합계,합계,"11,055,739","17,551,749,031","1,909,801,807,613",108.8
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201701,경상남도,거제시,가로등,"9,487 ","1,260,863 ","134,695,365 ",106.8 
201701,경상남도,거제시,교육용,117 ,"2,035,086 ","207,561,299 ",102 
201701,경상남도,거제시,농사용,"6,584 ","5,971,862 ","289,781,120 ",48.5 
201701,경상남도,거제시,산업용,"1,490 ","109,514,472 ","13,360,329,649 ",122 
201701,경상남도,거제시,심 야,"3,745 ","9,650,270 ","728,300,482 ",75.5 
201701,경상남도,거제시,일반용,"17,789 ","46,473,708 ","6,367,284,995 ",137 
201701,경상남도,거제시,주택용,"83,881 ","31,802,704 ","3,656,512,677 ",115 
201701,경상남도,거제시,합계,"123,093 ","206,708,965 ","24,744,465,587 ",119.7 
201701,경상남도,거창군,가로등,"6,655 ","664,441 ","70,127,716 ",105.5 
201701,경상남도,거창군,교육용,53 ,"954,621 ","102,875,342 ",107.8 
201701,경상남도,거창군,농사용,"11,627 ","7,897,370 ","380,371,512 ",48.2 
201701,경상남도,거창군,산업용,851 ,"10,400,162 ","1,374,198,038 ",132.1 
201701,경상남도,거창군,심 야,"2,541 ","5,171,899 ","392,530,766 ",75.9 
201701,경상남도,거창군,일반용,"4,927 ","10,250,021 ","1,355,642,434 ",132.3 
