계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 부산광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2017년 01 월 ~ 2017년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201701,부산광역시,전체(시 / 군 / 구),주택용,"945,525 ","407,824,918 ","46,039,262,460 ",112.9 
201701,부산광역시,전체(시 / 군 / 구),일반용,"185,564 ","568,508,367 ","77,448,567,709 ",136.2 
201701,부산광역시,전체(시 / 군 / 구),교육용,"1,171 ","41,990,766 ","4,406,605,079 ",104.9 
201701,부산광역시,전체(시 / 군 / 구),산업용,"25,097 ","730,122,964 ","92,106,622,298 ",126.2 
201701,부산광역시,전체(시 / 군 / 구),농사용,"10,528 ","11,714,091 ","573,948,572 ",49.0 
201701,부산광역시,전체(시 / 군 / 구),가로등,"80,589 ","17,056,846 ","1,799,547,286 ",105.5 
201701,부산광역시,전체(시 / 군 / 구),심 야,"23,006 ","46,270,746 ","3,521,235,108 ",76.1 
201702,부산광역시,전체(시 / 군 / 구),주택용,"945,629 ","415,072,848 ","47,258,116,379 ",113.9 
201702,부산광역시,전체(시 / 군 / 구),일반용,"185,502 ","571,103,761 ","77,737,140,168 ",136.1 
201702,부산광역시,전체(시 / 군 / 구),교육용,"1,181 ","42,853,410 ","4,499,996,589 ",105.0 
201702,부산광역시,전체(시 / 군 / 구),산업용,"25,115 ","716,373,133 ","90,581,837,319 ",126.4 
201702,부산광역시,전체(시 / 군 / 구),농사용,"10,496 ","12,789,402 ","617,965,921 ",48.3 
201702,부산광역시,전체(시 / 군 / 구),가로등,"80,420 ","16,428,960 ","1,790,703,130 ",109.0 
201702,부산광역시,전체(시 / 군 / 구),심 야,"22,910 ","50,008,400 ","3,798,214,133 ",76.0 
201703,부산광역시,전체(시 / 군 / 구),주택용,"946,180 ","358,520,134 ","35,984,455,894 ",100.4 
201703,부산광역시,전체(시 / 군 / 구),일반용,"185,368 ","498,075,377 ","62,580,688,781 ",125.6 
201703,부산광역시,전체(시 / 군 / 구),교육용,"1,180 ","40,844,659 ","4,101,402,939 ",100.4 
201703,부산광역시,전체(시 / 군 / 구),산업용,"25,097 ","732,262,092 ","78,471,376,063 ",107.2 
201703,부산광역시,전체(시 / 군 / 구),농사용,"10,620 ","9,900,042 ","491,551,431 ",49.7 
201703,부산광역시,전체(시 / 군 / 구),가로등,"80,366 ","15,550,792 ","1,698,723,745 ",109.2 
201703,부산광역시,전체(시 / 군 / 구),심 야,"22,829 ","38,766,684 ","2,594,025,288 ",66.9 
201704,부산광역시,전체(시 / 군 / 구),주택용,"946,927 ","380,992,463 ","40,189,012,504 ",105.5 
201704,부산광역시,전체(시 / 군 / 구),일반용,"185,470 ","485,111,230 ","56,161,613,915 ",115.8 
201704,부산광역시,전체(시 / 군 / 구),교육용,"1,179 ","39,211,451 ","3,512,506,609 ",89.6 
201704,부산광역시,전체(시 / 군 / 구),산업용,"25,108 ","734,611,365 ","75,642,967,948 ",103.0 
201704,부산광역시,전체(시 / 군 / 구),농사용,"10,574 ","9,098,156 ","444,495,090 ",48.9 
201704,부산광역시,전체(시 / 군 / 구),가로등,"80,436 ","14,575,471 ","1,645,457,205 ",112.9 
201704,부산광역시,전체(시 / 군 / 구),심 야,"22,688 ","32,524,524 ","1,812,472,695 ",55.7 
201705,부산광역시,전체(시 / 군 / 구),주택용,"947,300 ","346,804,871 ","34,362,295,068 ",99.1 
201705,부산광역시,전체(시 / 군 / 구),일반용,"185,389 ","456,338,051 ","54,158,076,194 ",118.7 
201705,부산광역시,전체(시 / 군 / 구),교육용,"1,180 ","29,551,739 ","2,738,985,354 ",92.7 
201705,부산광역시,전체(시 / 군 / 구),산업용,"25,117 ","711,391,258 ","73,571,844,564 ",103.4 
201705,부산광역시,전체(시 / 군 / 구),농사용,"10,599 ","6,932,743 ","367,861,648 ",53.1 
201705,부산광역시,전체(시 / 군 / 구),가로등,"80,630 ","13,811,672 ","1,592,748,016 ",115.3 
201705,부산광역시,전체(시 / 군 / 구),심 야,"22,583 ","19,341,566 ","1,130,870,241 ",58.5 
201706,부산광역시,전체(시 / 군 / 구),주택용,"948,500 ","348,296,019 ","34,704,776,189 ",99.6 
201706,부산광역시,전체(시 / 군 / 구),일반용,"185,606 ","497,337,194 ","67,751,059,594 ",136.2 
201706,부산광역시,전체(시 / 군 / 구),교육용,"1,180 ","34,150,104 ","3,787,123,865 ",110.9 
201706,부산광역시,전체(시 / 군 / 구),산업용,"25,094 ","730,931,545 ","91,748,260,887 ",125.5 
201706,부산광역시,전체(시 / 군 / 구),농사용,"10,642 ","7,270,529 ","377,262,968 ",51.9 
201706,부산광역시,전체(시 / 군 / 구),가로등,"80,771 ","12,816,344 ","1,522,785,849 ",118.8 
201706,부산광역시,전체(시 / 군 / 구),심 야,"22,482 ","15,348,513 ","928,188,445 ",60.5 
합계,합계,합계,합계,"7,633,828","10,268,485,200","1,186,252,651,140",115.5
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201701,부산광역시,강서구,가로등,"5,111 ","2,794,813 ","310,334,047 ",111 
201701,부산광역시,강서구,교육용,50 ,"685,838 ","75,741,217 ",110.4 
201701,부산광역시,강서구,농사용,"5,034 ","7,169,182 ","350,596,497 ",48.9 
201701,부산광역시,강서구,산업용,"5,693 ","260,674,741 ","32,976,707,288 ",126.5 
201701,부산광역시,강서구,심 야,"1,894 ","4,248,337 ","324,260,186 ",76.3 
201701,부산광역시,강서구,일반용,"8,861 ","29,504,426 ","4,134,457,592 ",140.1 
201701,부산광역시,강서구,주택용,"21,843 ","13,066,335 ","1,523,135,422 ",116.6 
201701,부산광역시,강서구,합계,"48,486 ","318,143,672 ","39,695,232,249 ",124.8 
201701,부산광역시,금정구,가로등,"4,938 ","999,819 ","104,609,290 ",104.6 
201701,부산광역시,금정구,교육용,98 ,"6,474,513 ","671,196,622 ",103.7 
201701,부산광역시,금정구,농사용,679 ,"541,756 ","26,945,768 ",49.7 
201701,부산광역시,금정구,산업용,"1,431 ","24,246,473 ","3,029,043,681 ",124.9 
201701,부산광역시,금정구,심 야,"1,984 ","3,664,158 ","275,814,544 ",75.3 
201701,부산광역시,금정구,일반용,"15,393 ","36,159,735 ","4,878,517,502 ",134.9 
201701,부산광역시,금정구,주택용,"84,283 ","28,722,276 ","3,259,384,168 ",113.5 
201701,부산광역시,금정구,합계,"108,806 ","100,808,730 ","12,245,511,575 ",121.5 
201701,부산광역시,기장군,가로등,"6,381 ","1,549,844 ","165,039,481 ",106.5 
201701,부산광역시,기장군,교육용,47 ,"1,079,779 ","119,038,337 ",110.2 
201701,부산광역시,기장군,농사용,"4,450 ","2,996,582 ","149,202,304 ",49.8 
201701,부산광역시,기장군,산업용,"1,425 ","50,845,918 ","7,003,829,190 ",137.7 
201701,부산광역시,기장군,심 야,"1,774 ","3,915,690 ","297,739,680 ",76 
201701,부산광역시,기장군,일반용,"7,664 ","26,200,477 ","3,524,616,431 ",134.5 
201701,부산광역시,기장군,주택용,"29,673 ","9,811,428 ","1,092,409,136 ",111.3 
201701,부산광역시,기장군,합계,"51,414 ","96,399,718 ","12,351,874,559 ",128.1 
201701,부산광역시,남구,가로등,"6,207 ","1,182,883 ","121,770,825 ",102.9 
201701,부산광역시,남구,교육용,93 ,"6,462,192 ","673,700,453 ",104.3 
201701,부산광역시,남구,농사용,24 ,"40,163 ","1,797,063 ",44.7 
201701,부산광역시,남구,산업용,772 ,"45,676,974 ","5,027,218,007 ",110.1 
201701,부산광역시,남구,심 야,"1,171 ","2,311,473 ","176,841,846 ",76.5 
201701,부산광역시,남구,일반용,"11,850 ","34,968,524 ","4,759,672,840 ",136.1 
201701,부산광역시,남구,주택용,"82,299 ","33,416,549 ","3,815,755,139 ",114.2 
201701,부산광역시,남구,합계,"102,416 ","124,058,758 ","14,576,756,173 ",117.5 
201701,부산광역시,동구,가로등,"3,670 ","584,915 ","58,909,875 ",100.7 
201701,부산광역시,동구,교육용,32 ,"662,336 ","65,345,345 ",98.7 
201701,부산광역시,동구,농사용,8 ,"4,534 ","326,243 ",72 
201701,부산광역시,동구,산업용,447 ,"6,851,436 ","832,930,216 ",121.6 
201701,부산광역시,동구,심 야,982 ,"2,347,183 ","178,175,060 ",75.9 
201701,부산광역시,동구,일반용,"7,497 ","26,259,085 ","3,579,746,920 ",136.3 
201701,부산광역시,동구,주택용,"40,789 ","10,519,186 ","1,183,175,100 ",112.5 
201701,부산광역시,동구,합계,"53,425 ","47,228,675 ","5,898,608,759 ",124.9 
201701,부산광역시,동래구,가로등,"5,056 ","853,178 ","89,516,835 ",104.9 
201701,부산광역시,동래구,교육용,87 ,"1,460,496 ","148,636,305 ",101.8 
201701,부산광역시,동래구,농사용,20 ,"38,279 ","1,735,184 ",45.3 
201701,부산광역시,동래구,산업용,804 ,"7,813,617 ","915,229,072 ",117.1 
201701,부산광역시,동래구,심 야,"1,933 ","3,901,208 ","293,836,476 ",75.3 
201701,부산광역시,동래구,일반용,"15,711 ","38,710,142 ","5,273,411,893 ",136.2 
201701,부산광역시,동래구,주택용,"70,936 ","31,958,618 ","3,746,722,189 ",117.2 
201701,부산광역시,동래구,합계,"94,547 ","84,735,538 ","10,469,087,954 ",123.6 
201701,부산광역시,부산진구,가로등,"10,397 ","1,608,121 ","162,870,969 ",101.3 
201701,부산광역시,부산진구,교육용,132 ,"5,327,085 ","554,425,074 ",104.1 
201701,부산광역시,부산진구,농사용,32 ,"72,814 ","3,344,533 ",45.9 
201701,부산광역시,부산진구,산업용,"1,870 ","21,038,854 ","2,573,028,633 ",122.3 
201701,부산광역시,부산진구,심 야,"3,159 ","4,866,186 ","371,578,746 ",76.4 
201701,부산광역시,부산진구,일반용,"23,069 ","71,895,412 ","9,895,397,118 ",137.6 
