拌距辆喊 傈仿荤侩樊 岿喊( 20220804 泅犁 ),,,,,,,
"矫档 : 堡林堡开矫, 矫焙备 : 傈眉(矫 / 焙 / 备)",,,,,,,
扁埃 : 2017斥 07 岿 ~ 2017斥 12岿,,,,,,,
斥岿,矫备,矫焙备,拌距备盒,绊按龋荐(龋),荤侩樊(kWh),傈扁夸陛(盔),乞闭魄概窜啊(盔/kWh)
201707,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"381,303 ","167,839,126 ","17,548,463,167 ",104.6 
201707,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"89,396 ","260,099,960 ","37,531,810,184 ",144.3 
201707,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,650 ,"27,170,858 ","3,110,028,313 ",114.5 
201707,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"6,138 ","292,212,033 ","36,736,647,194 ",125.7 
201707,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"10,764 ","4,641,490 ","245,827,505 ",53.0 
201707,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"44,844 ","5,259,680 ","655,331,817 ",124.6 
201707,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"7,163 ","4,764,526 ","337,632,341 ",70.9 
201708,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"381,542 ","215,327,250 ","26,999,999,310 ",125.4 
201708,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"89,473 ","300,264,150 ","42,018,109,403 ",139.9 
201708,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,649 ,"26,411,582 ","3,134,629,875 ",118.7 
201708,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"6,154 ","275,234,392 ","35,321,667,118 ",128.3 
201708,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"10,781 ","6,066,700 ","304,534,713 ",50.2 
201708,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"44,882 ","5,477,777 ","664,957,161 ",121.4 
201708,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"7,127 ","4,490,186 ","323,956,079 ",72.1 
201709,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"382,091 ","174,425,056 ","18,775,732,616 ",107.6 
201709,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"89,400 ","259,539,383 ","33,009,648,124 ",127.2 
201709,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,650 ,"25,594,067 ","2,733,005,760 ",106.8 
201709,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"6,158 ","284,174,505 ","29,606,453,138 ",104.2 
201709,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"10,797 ","5,014,316 ","261,911,343 ",52.2 
201709,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"44,889 ","5,934,600 ","695,446,425 ",117.2 
201709,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"7,084 ","3,682,577 ","262,406,656 ",71.3 
201710,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"382,502 ","149,901,283 ","14,419,147,362 ",96.2 
201710,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"89,326 ","210,680,621 ","23,959,906,054 ",113.7 
201710,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,650 ,"18,967,382 ","1,809,417,843 ",95.4 
201710,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"6,169 ","238,063,827 ","24,046,908,517 ",101.0 
201710,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"10,835 ","3,964,947 ","220,703,011 ",55.7 
201710,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"44,924 ","6,486,155 ","725,816,926 ",111.9 
201710,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"7,055 ","3,689,158 ","244,478,847 ",66.3 
201711,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"383,294 ","158,237,403 ","15,847,651,369 ",100.2 
201711,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"89,337 ","212,063,918 ","27,321,101,767 ",128.8 
201711,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,650 ,"21,392,289 ","2,260,938,368 ",105.7 
201711,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"6,187 ","266,181,441 ","32,051,816,174 ",120.4 
201711,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"15,234 ","7,706,210 ","334,933,780 ",43.5 
201711,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"44,949 ","7,083,834 ","774,059,238 ",109.3 
201711,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"7,030 ","7,389,522 ","490,740,090 ",66.4 
201712,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"383,725 ","167,814,388 ","17,509,977,627 ",104.3 
201712,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"89,669 ","253,594,117 ","34,258,869,928 ",135.1 
201712,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,650 ,"31,644,936 ","3,216,428,102 ",101.6 
201712,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"6,192 ","267,357,093 ","33,171,324,530 ",124.1 
201712,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"10,922 ","8,501,808 ","414,205,483 ",48.7 
201712,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"45,006 ","7,475,527 ","800,948,239 ",107.1 
201712,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"6,987 ","14,630,927 ","1,094,553,769 ",74.8 
钦拌,钦拌,钦拌,钦拌,"3,253,228","4,416,451,000","525,252,125,266",118.9
,,,,,,,
斥岿,矫备,矫焙备,拌距备盒,绊按龋荐(龋),荤侩樊(kWh),傈扁夸陛(盔),乞闭魄概窜啊(盔/kWh)
201707,堡林堡开矫,堡魂备,啊肺殿,"11,532 ","1,907,764 ","232,139,185 ",121.7 
201707,堡林堡开矫,堡魂备,背腊侩,168 ,"5,138,861 ","618,561,834 ",120.4 
201707,堡林堡开矫,堡魂备,丑荤侩,"5,422 ","2,350,539 ","122,584,873 ",52.2 
201707,堡林堡开矫,堡魂备,魂诀侩,"2,976 ","187,539,169 ","23,837,756,285 ",127.1 
201707,堡林堡开矫,堡魂备,缴 具,"1,589 ","874,894 ","65,478,958 ",74.8 
201707,堡林堡开矫,堡魂备,老馆侩,"21,348 ","64,196,727 ","9,202,145,179 ",143.3 
