계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 서울특별시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2017년 07 월 ~ 2017년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201707,서울특별시,전체(시 / 군 / 구),주택용,"2,746,661 ","1,211,781,349 ","144,857,702,588 ",119.5 
201707,서울특별시,전체(시 / 군 / 구),일반용,"539,419 ","2,369,979,732 ","338,476,120,094 ",142.8 
201707,서울특별시,전체(시 / 군 / 구),교육용,"2,684 ","151,314,194 ","17,125,181,490 ",113.2 
201707,서울특별시,전체(시 / 군 / 구),산업용,"46,145 ","444,371,505 ","58,037,805,871 ",130.6 
201707,서울특별시,전체(시 / 군 / 구),농사용,"1,920 ","1,421,469 ","70,910,979 ",49.9 
201707,서울특별시,전체(시 / 군 / 구),가로등,"179,569 ","23,782,129 ","2,877,096,326 ",121.0 
201707,서울특별시,전체(시 / 군 / 구),심 야,"16,099 ","71,120,876 ","5,293,051,918 ",74.4 
201708,서울특별시,전체(시 / 군 / 구),주택용,"2,751,455 ","1,452,964,638 ","196,522,233,084 ",135.3 
201708,서울특별시,전체(시 / 군 / 구),일반용,"539,436 ","2,562,825,282 ","360,184,759,055 ",140.5 
201708,서울특별시,전체(시 / 군 / 구),교육용,"2,683 ","145,600,858 ","17,054,549,677 ",117.1 
201708,서울특별시,전체(시 / 군 / 구),산업용,"46,143 ","474,692,880 ","61,206,397,383 ",128.9 
201708,서울특별시,전체(시 / 군 / 구),농사용,"1,908 ","1,451,748 ","72,508,238 ",49.9 
201708,서울특별시,전체(시 / 군 / 구),가로등,"177,843 ","24,647,271 ","2,888,068,135 ",117.2 
201708,서울특별시,전체(시 / 군 / 구),심 야,"16,028 ","70,912,296 ","5,275,136,000 ",74.4 
201709,서울특별시,전체(시 / 군 / 구),주택용,"2,757,134 ","1,142,452,772 ","126,941,442,627 ",111.1 
201709,서울특별시,전체(시 / 군 / 구),일반용,"539,001 ","2,197,204,265 ","271,967,689,786 ",123.8 
