년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201707-201712,서울특별시,강남구,일반용,49602,1714597697,72.22
201707-201712,서울특별시,강남구,합계,33186,2373983184,
201707-201712,서울특별시,강동구,일반용,19811,371008372,48.18
201707-201712,서울특별시,강동구,합계,21570,770025332,
201707-201712,서울특별시,강북구,일반용,16092,213886160,45.59
201707-201712,서울특별시,강북구,합계,23763,469101624,
201707-201712,서울특별시,강서구,일반용,23485,580290845,50.04
201707-201712,서울특별시,강서구,합계,33463,1159611741,
201707-201712,서울특별시,관악구,일반용,24611,401746584,46.29
201707-201712,서울특별시,관악구,합계,42413,867977377,
201707-201712,서울특별시,광진구,일반용,20851,334218618,39.01
201707-201712,서울특별시,광진구,합계,27605,856648070,
201707-201712,서울특별시,구로구,일반용,17876,440582176,46.03
201707-201712,서울특별시,구로구,합계,21823,957128053,
201707-201712,서울특별시,금천구,일반용,13092,509300708,61.07
201707-201712,서울특별시,금천구,합계,16416,833918418,
201707-201712,서울특별시,노원구,일반용,14696,316227353,41.13
201707-201712,서울특별시,노원구,합계,18190,768762612,
201707-201712,서울특별시,도봉구,일반용,12130,180349200,39.75
201707-201712,서울특별시,도봉구,합계,16497,453658449,
201707-201712,서울특별시,동대문구,일반용,23860,334618929,45.56
201707-201712,서울특별시,동대문구,합계,24960,734465297,
201707-201712,서울특별시,동작구,일반용,16561,315431354,48.08
201707-201712,서울특별시,동작구,합계,26233,656121501,
201707-201712,서울특별시,마포구,일반용,28878,641023472,59.49
201707-201712,서울특별시,마포구,합계,24709,1077590789,
201707-201712,서울특별시,서대문구,일반용,16036,298314354,46.53
201707-201712,서울특별시,서대문구,합계,19595,641109477,
201707-201712,서울특별시,서초구,일반용,30203,1070726596,62.47
201707-201712,서울특별시,서초구,합계,21483,1713905400,
201707-201712,서울특별시,성동구,일반용,15760,356873084,32.65
201707-201712,서울특별시,성동구,합계,16232,1092901255,
201707-201712,서울특별시,성북구,일반용,20993,279208877,37.96
201707-201712,서울특별시,성북구,합계,25254,735489321,
201707-201712,서울특별시,송파구,일반용,28115,790869432,56.44
201707-201712,서울특별시,송파구,합계,29143,1401374800,
201707-201712,서울특별시,양천구,일반용,16551,453045796,54.42
201707-201712,서울특별시,양천구,합계,20607,832428222,
201707-201712,서울특별시,영등포구,일반용,23770,882969173,65.13
201707-201712,서울특별시,영등포구,합계,22714,1355661072,
201707-201712,서울특별시,용산구,일반용,16950,421769687,57.53
201707-201712,서울특별시,용산구,합계,17677,733068613,
201707-201712,서울특별시,은평구,일반용,20356,266635623,37.97
201707-201712,서울특별시,은평구,합계,31961,702317240,
201707-201712,서울특별시,종로구,일반용,25303,645668989,71.47
201707-201712,서울특별시,종로구,합계,15525,903417427,
201707-201712,서울특별시,중구,일반용,24232,1010036514,77.51
201707-201712,서울특별시,중구,합계,12806,1303020790,
201707-201712,서울특별시,중랑구,일반용,19412,239939760,42.43
201707-201712,서울특별시,중랑구,합계,27685,565534619,
