계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2017년 07 월 ~ 2017년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201707,충청북도,전체(시 / 군 / 구),주택용,"587,440 ","175,960,209 ","18,838,959,837 ",107.1 
201707,충청북도,전체(시 / 군 / 구),일반용,"115,666 ","280,517,177 ","42,094,510,029 ",150.1 
201707,충청북도,전체(시 / 군 / 구),교육용,785 ,"22,755,419 ","2,824,084,595 ",124.1 
201707,충청북도,전체(시 / 군 / 구),산업용,"16,177 ","1,497,869,960 ","178,040,149,907 ",118.9 
201707,충청북도,전체(시 / 군 / 구),농사용,"125,207 ","61,851,003 ","3,110,487,183 ",50.3 
201707,충청북도,전체(시 / 군 / 구),가로등,"94,115 ","13,371,806 ","1,621,173,596 ",121.2 
201707,충청북도,전체(시 / 군 / 구),심 야,"90,417 ","26,055,366 ","1,532,749,793 ",58.8 
201708,충청북도,전체(시 / 군 / 구),주택용,"589,101 ","210,967,269 ","25,222,395,211 ",119.6 
201708,충청북도,전체(시 / 군 / 구),일반용,"115,765 ","314,453,042 ","45,720,734,038 ",145.4 
201708,충청북도,전체(시 / 군 / 구),교육용,785 ,"21,881,646 ","2,804,298,175 ",128.2 
201708,충청북도,전체(시 / 군 / 구),산업용,"16,190 ","1,440,871,463 ","172,527,456,861 ",119.7 
201708,충청북도,전체(시 / 군 / 구),농사용,"126,003 ","71,691,922 ","3,578,803,061 ",49.9 
201708,충청북도,전체(시 / 군 / 구),가로등,"94,337 ","13,990,261 ","1,636,871,926 ",117.0 
201708,충청북도,전체(시 / 군 / 구),심 야,"90,254 ","23,044,665 ","1,385,906,466 ",60.1 
201709,충청북도,전체(시 / 군 / 구),주택용,"592,941 ","176,954,672 ","18,527,874,455 ",104.7 
201709,충청북도,전체(시 / 군 / 구),일반용,"115,753 ","271,702,414 ","36,632,927,074 ",134.8 
201709,충청북도,전체(시 / 군 / 구),교육용,786 ,"21,462,641 ","2,475,280,869 ",115.3 
201709,충청북도,전체(시 / 군 / 구),산업용,"16,181 ","1,448,075,416 ","140,156,119,656 ",96.8 
201709,충청북도,전체(시 / 군 / 구),농사용,"126,564 ","67,757,916 ","3,397,088,551 ",50.1 
201709,충청북도,전체(시 / 군 / 구),가로등,"94,635 ","14,716,838 ","1,667,427,988 ",113.3 
201709,충청북도,전체(시 / 군 / 구),심 야,"90,440 ","25,091,993 ","1,459,843,345 ",58.2 
201710,충청북도,전체(시 / 군 / 구),주택용,"593,022 ","158,736,628 ","15,637,290,336 ",98.5 
201710,충청북도,전체(시 / 군 / 구),일반용,"115,655 ","230,597,732 ","28,089,028,906 ",121.8 
201710,충청북도,전체(시 / 군 / 구),교육용,787 ,"17,424,164 ","1,709,190,862 ",98.1 
201710,충청북도,전체(시 / 군 / 구),산업용,"16,201 ","1,345,363,794 ","124,617,697,829 ",92.6 
201710,충청북도,전체(시 / 군 / 구),농사용,"126,725 ","54,526,126 ","2,877,806,651 ",52.8 
201710,충청북도,전체(시 / 군 / 구),가로등,"94,703 ","15,492,584 ","1,672,309,487 ",107.9 
201710,충청북도,전체(시 / 군 / 구),심 야,"90,227 ","40,189,678 ","2,253,160,967 ",56.1 
201711,충청북도,전체(시 / 군 / 구),주택용,"593,320 ","171,544,660 ","17,799,028,046 ",103.8 
201711,충청북도,전체(시 / 군 / 구),일반용,"115,964 ","252,042,957 ","33,365,788,902 ",132.4 
201711,충청북도,전체(시 / 군 / 구),교육용,787 ,"23,787,974 ","2,500,038,368 ",105.1 
201711,충청북도,전체(시 / 군 / 구),산업용,"16,270 ","1,445,958,441 ","168,363,815,629 ",116.4 
201711,충청북도,전체(시 / 군 / 구),농사용,"161,880 ","80,036,836 ","3,640,447,218 ",45.5 
201711,충청북도,전체(시 / 군 / 구),가로등,"95,057 ","16,396,822 ","1,730,868,682 ",105.6 
201711,충청북도,전체(시 / 군 / 구),심 야,"90,183 ","97,195,580 ","6,221,096,873 ",64.0 
201712,충청북도,전체(시 / 군 / 구),주택용,"594,958 ","183,247,318 ","19,738,847,961 ",107.7 
