계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경상북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 01 월 ~ 2018년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201801,경상북도,전체(시 / 군 / 구),주택용,"1,144,650 ","321,374,468 ","35,513,612,904 ",110.5 
201801,경상북도,전체(시 / 군 / 구),일반용,"212,191 ","567,850,308 ","74,218,121,376 ",130.7 
201801,경상북도,전체(시 / 군 / 구),교육용,"1,481 ","66,755,070 ","6,572,575,964 ",98.5 
201801,경상북도,전체(시 / 군 / 구),산업용,"31,999 ","2,809,633,538 ","317,188,786,702 ",112.9 
201801,경상북도,전체(시 / 군 / 구),농사용,"329,466 ","186,722,507 ","9,110,035,069 ",48.8 
201801,경상북도,전체(시 / 군 / 구),가로등,"183,359 ","29,124,841 ","3,085,853,470 ",106.0 
201801,경상북도,전체(시 / 군 / 구),심 야,"78,294 ","197,678,090 ","14,813,098,174 ",74.9 
201802,경상북도,전체(시 / 군 / 구),주택용,"1,146,037 ","325,073,176 ","36,052,994,672 ",110.9 
201802,경상북도,전체(시 / 군 / 구),일반용,"212,346 ","584,945,490 ","75,892,341,272 ",129.7 
201802,경상북도,전체(시 / 군 / 구),교육용,"1,490 ","63,454,483 ","6,387,423,097 ",100.7 
201802,경상북도,전체(시 / 군 / 구),산업용,"32,027 ","2,575,621,055 ","290,172,103,154 ",112.7 
201802,경상북도,전체(시 / 군 / 구),농사용,"328,840 ","192,847,053 ","9,346,410,555 ",48.5 
201802,경상북도,전체(시 / 군 / 구),가로등,"183,993 ","27,362,322 ","3,075,628,313 ",112.4 
201802,경상북도,전체(시 / 군 / 구),심 야,"78,167 ","209,349,184 ","15,684,357,770 ",74.9 
201803,경상북도,전체(시 / 군 / 구),주택용,"1,146,619 ","280,199,539 ","27,786,134,242 ",99.2 
201803,경상북도,전체(시 / 군 / 구),일반용,"212,342 ","461,260,071 ","57,648,123,836 ",125.0 
201803,경상북도,전체(시 / 군 / 구),교육용,"1,487 ","59,996,356 ","5,532,432,911 ",92.2 
201803,경상북도,전체(시 / 군 / 구),산업용,"31,993 ","2,713,264,107 ","252,514,276,349 ",93.1 
201803,경상북도,전체(시 / 군 / 구),농사용,"399,886 ","154,282,665 ","7,683,467,240 ",49.8 
201803,경상북도,전체(시 / 군 / 구),가로등,"185,523 ","25,514,023 ","2,893,122,930 ",113.4 
201803,경상북도,전체(시 / 군 / 구),심 야,"78,035 ","155,731,162 ","10,298,325,629 ",66.1 
201804,경상북도,전체(시 / 군 / 구),주택용,"1,147,529 ","285,881,209 ","29,180,506,886 ",102.1 
201804,경상북도,전체(시 / 군 / 구),일반용,"212,673 ","438,036,719 ","50,680,587,288 ",115.7 
201804,경상북도,전체(시 / 군 / 구),교육용,"1,486 ","51,489,453 ","4,555,422,832 ",88.5 
201804,경상북도,전체(시 / 군 / 구),산업용,"32,018 ","2,688,830,775 ","246,177,221,798 ",91.6 
201804,경상북도,전체(시 / 군 / 구),농사용,"332,160 ","139,468,671 ","7,070,545,267 ",50.7 
201804,경상북도,전체(시 / 군 / 구),가로등,"186,071 ","25,022,740 ","2,956,328,197 ",118.1 
201804,경상북도,전체(시 / 군 / 구),심 야,"77,800 ","112,267,918 ","6,060,957,498 ",54.0 
201805,경상북도,전체(시 / 군 / 구),주택용,"1,148,023 ","269,318,851 ","25,999,275,346 ",96.5 
201805,경상북도,전체(시 / 군 / 구),일반용,"212,884 ","402,398,937 ","48,206,579,257 ",119.8 
201805,경상북도,전체(시 / 군 / 구),교육용,"1,488 ","45,008,628 ","3,962,085,753 ",88.0 
201805,경상북도,전체(시 / 군 / 구),산업용,"32,054 ","2,793,936,822 ","249,468,965,234 ",89.3 
201805,경상북도,전체(시 / 군 / 구),농사용,"334,615 ","130,867,663 ","6,685,439,586 ",51.1 
201805,경상북도,전체(시 / 군 / 구),가로등,"186,747 ","23,577,328 ","2,886,826,188 ",122.4 
201805,경상북도,전체(시 / 군 / 구),심 야,"77,565 ","70,545,834 ","3,817,003,025 ",54.1 
201806,경상북도,전체(시 / 군 / 구),주택용,"1,148,578 ","274,221,802 ","27,173,976,424 ",99.1 
201806,경상북도,전체(시 / 군 / 구),일반용,"213,163 ","430,686,062 ","57,586,472,444 ",133.7 
201806,경상북도,전체(시 / 군 / 구),교육용,"1,486 ","47,363,728 ","5,269,486,249 ",111.3 
201806,경상북도,전체(시 / 군 / 구),산업용,"32,136 ","2,598,083,959 ","285,914,602,962 ",110.0 
201806,경상북도,전체(시 / 군 / 구),농사용,"337,744 ","167,027,955 ","7,895,940,534 ",47.3 
201806,경상북도,전체(시 / 군 / 구),가로등,"187,449 ","23,254,805 ","2,910,126,162 ",125.1 
201806,경상북도,전체(시 / 군 / 구),심 야,"77,383 ","43,578,033 ","2,395,097,301 ",55.0 
합계,합계,합계,합계,"12,001,277","23,068,907,400","2,338,322,671,860",101.4
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201801,경상북도,경산시,가로등,"12,004 ","1,856,033 ","194,816,306 ",105 
201801,경상북도,경산시,교육용,126 ,"11,856,076 ","1,185,695,394 ",100 
201801,경상북도,경산시,농사용,"15,214 ","6,887,286 ","338,759,980 ",49.2 
201801,경상북도,경산시,산업용,"3,066 ","148,676,332 ","18,038,594,676 ",121.3 
201801,경상북도,경산시,심 야,"8,192 ","12,694,323 ","959,377,572 ",75.6 
201801,경상북도,경산시,일반용,"16,804 ","47,197,596 ","6,066,114,906 ",128.5 
201801,경상북도,경산시,주택용,"100,109 ","32,850,851 ","3,438,748,615 ",104.7 
201801,경상북도,경산시,합계,"155,515 ","262,018,497 ","30,222,107,449 ",115.3 
201801,경상북도,경주시,가로등,"16,520 ","2,606,346 ","285,367,826 ",109.5 
201801,경상북도,경주시,교육용,120 ,"4,971,762 ","510,831,469 ",102.7 
201801,경상북도,경주시,농사용,"19,375 ","14,580,354 ","707,980,749 ",48.6 
201801,경상북도,경주시,산업용,"3,647 ","232,306,937 ","29,199,019,975 ",125.7 
201801,경상북도,경주시,심 야,"9,310 ","20,598,857 ","1,528,799,803 ",74.2 
201801,경상북도,경주시,일반용,"24,594 ","68,475,026 ","9,022,687,542 ",131.8 
201801,경상북도,경주시,주택용,"127,349 ","32,806,099 ","3,767,664,776 ",114.8 
201801,경상북도,경주시,합계,"200,915 ","376,345,381 ","45,022,352,140 ",119.6 
201801,경상북도,고령군,가로등,"4,459 ","562,105 ","62,222,403 ",110.7 
201801,경상북도,고령군,교육용,23 ,"373,165 ","39,356,354 ",105.5 
201801,경상북도,고령군,농사용,"7,233 ","7,541,349 ","359,202,222 ",47.6 
201801,경상북도,고령군,산업용,"1,386 ","95,695,357 ","11,551,647,548 ",120.7 
201801,경상북도,고령군,심 야,"1,509 ","4,159,540 ","302,733,424 ",72.8 
201801,경상북도,고령군,일반용,"3,058 ","6,525,689 ","851,071,105 ",130.4 
201801,경상북도,고령군,주택용,"14,480 ","3,584,838 ","413,649,996 ",115.4 
201801,경상북도,고령군,합계,"32,148 ","118,442,043 ","13,579,883,052 ",114.7 
201801,경상북도,구미시,가로등,"15,958 ","2,587,940 ","289,081,354 ",111.7 
201801,경상북도,구미시,교육용,190 ,"7,377,686 ","763,880,455 ",103.5 
201801,경상북도,구미시,농사용,"10,245 ","7,122,457 ","345,804,279 ",48.6 
201801,경상북도,구미시,산업용,"3,370 ","699,014,387 ","78,148,558,423 ",111.8 
201801,경상북도,구미시,심 야,"4,148 ","11,643,557 ","878,979,032 ",75.5 
201801,경상북도,구미시,일반용,"27,020 ","75,267,933 ","9,889,376,161 ",131.4 
201801,경상북도,구미시,주택용,"144,059 ","50,318,606 ","5,412,274,374 ",107.6 
201801,경상북도,구미시,합계,"204,990 ","853,332,566 ","95,727,954,078 ",112.2 
201801,경상북도,군위군,가로등,"2,861 ","672,729 ","74,502,089 ",110.7 
201801,경상북도,군위군,교육용,16 ,"462,238 ","43,420,128 ",93.9 
201801,경상북도,군위군,농사용,"9,589 ","7,302,291 ","349,233,905 ",47.8 
201801,경상북도,군위군,산업용,479 ,"13,013,226 ","1,570,360,006 ",120.7 
201801,경상북도,군위군,심 야,"1,267 ","3,115,714 ","234,972,785 ",75.4 
201801,경상북도,군위군,일반용,"2,031 ","5,900,938 ","770,477,693 ",130.6 
201801,경상북도,군위군,주택용,"13,846 ","2,455,126 ","280,809,888 ",114.4 
201801,경상북도,군위군,합계,"30,089 ","32,922,262 ","3,323,776,494 ",101 
201801,경상북도,김천시,가로등,"9,480 ","2,051,472 ","216,089,209 ",105.3 
201801,경상북도,김천시,교육용,84 ,"3,034,858 ","290,374,753 ",95.7 
201801,경상북도,김천시,농사용,"26,402 ","13,697,939 ","655,462,316 ",47.9 
201801,경상북도,김천시,산업용,"1,279 ","138,642,345 ","16,277,831,496 ",117.4 
201801,경상북도,김천시,심 야,"5,047 ","13,894,700 ","1,049,256,600 ",75.5 
201801,경상북도,김천시,일반용,"10,044 ","28,798,257 ","3,789,374,485 ",131.6 
201801,경상북도,김천시,주택용,"54,380 ","16,401,482 ","1,766,381,629 ",107.7 
201801,경상북도,김천시,합계,"106,716 ","216,521,053 ","24,044,770,488 ",111.1 
201801,경상북도,문경시,가로등,"4,806 ","1,235,443 ","127,577,534 ",103.3 
201801,경상북도,문경시,교육용,60 ,"1,571,197 ","148,405,991 ",94.5 
201801,경상북도,문경시,농사용,"12,152 ","5,571,533 ","277,204,081 ",49.8 
201801,경상북도,문경시,산업용,790 ,"17,490,327 ","2,150,897,958 ",123 
201801,경상북도,문경시,심 야,"3,295 ","9,339,793 ","701,513,331 ",75.1 
201801,경상북도,문경시,일반용,"6,307 ","16,337,760 ","2,140,060,032 ",131 
201801,경상북도,문경시,주택용,"36,139 ","8,508,242 ","976,665,783 ",114.8 
201801,경상북도,문경시,합계,"63,549 ","60,054,295 ","6,522,324,710 ",108.6 
201801,경상북도,봉화군,가로등,"4,986 ","552,653 ","59,865,479 ",108.3 
201801,경상북도,봉화군,교육용,32 ,"502,440 ","50,539,391 ",100.6 
201801,경상북도,봉화군,농사용,"12,649 ","5,520,729 ","273,849,667 ",49.6 
201801,경상북도,봉화군,산업용,502 ,"150,613,681 ","14,588,713,602 ",96.9 
201801,경상북도,봉화군,심 야,"2,411 ","6,526,138 ","492,750,724 ",75.5 
201801,경상북도,봉화군,일반용,"2,785 ","5,767,986 ","753,486,972 ",130.6 
201801,경상북도,봉화군,주택용,"19,044 ","3,602,581 ","409,895,127 ",113.8 
201801,경상북도,봉화군,합계,"42,409 ","173,086,208 ","16,629,100,962 ",96.1 
201801,경상북도,상주시,가로등,"7,408 ","1,656,911 ","172,712,986 ",104.2 
201801,경상북도,상주시,교육용,66 ,"2,365,391 ","227,888,056 ",96.3 
201801,경상북도,상주시,농사용,"27,834 ","18,513,879 ","895,776,771 ",48.4 
201801,경상북도,상주시,산업용,"1,118 ","12,742,709 ","1,635,606,129 ",128.4 
201801,경상북도,상주시,심 야,"4,853 ","11,927,727 ","902,189,730 ",75.6 
201801,경상북도,상주시,일반용,"7,533 ","17,717,671 ","2,297,645,590 ",129.7 
201801,경상북도,상주시,주택용,"50,273 ","11,386,407 ","1,261,483,569 ",110.8 
201801,경상북도,상주시,합계,"99,085 ","76,310,695 ","7,393,302,831 ",96.9 
201801,경상북도,성주군,가로등,"4,420 ","775,260 ","79,958,395 ",103.1 
201801,경상북도,성주군,교육용,27 ,"492,077 ","50,262,073 ",102.1 
201801,경상북도,성주군,농사용,"17,485 ","8,723,296 ","425,345,532 ",48.8 
201801,경상북도,성주군,산업용,"1,780 ","71,369,478 ","8,488,861,356 ",118.9 
201801,경상북도,성주군,심 야,"2,354 ","5,866,000 ","443,335,905 ",75.6 
201801,경상북도,성주군,일반용,"4,089 ","9,164,837 ","1,185,798,896 ",129.4 
201801,경상북도,성주군,주택용,"22,686 ","4,464,770 ","535,049,908 ",119.8 
201801,경상북도,성주군,합계,"52,841 ","100,855,718 ","11,208,612,065 ",111.1 
201801,경상북도,안동시,가로등,"13,302 ","1,393,636 ","160,982,421 ",115.5 
201801,경상북도,안동시,교육용,96 ,"5,195,894 ","514,305,080 ",99 
201801,경상북도,안동시,농사용,"23,885 ","11,149,544 ","537,285,484 ",48.2 
201801,경상북도,안동시,산업용,"1,229 ","22,658,450 ","2,832,938,381 ",125 
201801,경상북도,안동시,심 야,"5,844 ","14,921,421 ","1,134,283,809 ",76 
201801,경상북도,안동시,일반용,"13,311 ","39,536,790 ","5,085,292,335 ",128.6 
201801,경상북도,안동시,주택용,"68,799 ","20,443,140 ","2,254,810,777 ",110.3 
201801,경상북도,안동시,합계,"126,466 ","115,298,875 ","12,519,898,287 ",108.6 
201801,경상북도,영덕군,가로등,"5,148 ","900,810 ","95,719,786 ",106.3 
201801,경상북도,영덕군,교육용,25 ,"385,979 ","38,469,773 ",99.7 
201801,경상북도,영덕군,농사용,"6,442 ","2,738,218 ","137,583,208 ",50.2 
201801,경상북도,영덕군,산업용,698 ,"4,570,578 ","641,338,583 ",140.3 
201801,경상북도,영덕군,심 야,"1,674 ","4,503,529 ","341,276,788 ",75.8 
