계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 세종특별자치시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 01 월 ~ 2018년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201801,세종특별자치시,전체(시 / 군 / 구),주택용,"50,773 ","39,598,812 ","4,471,530,568 ",112.9 
201801,세종특별자치시,전체(시 / 군 / 구),일반용,"12,100 ","59,557,319 ","8,038,574,793 ",135.0 
201801,세종특별자치시,전체(시 / 군 / 구),교육용,127 ,"8,931,397 ","807,671,918 ",90.4 
201801,세종특별자치시,전체(시 / 군 / 구),산업용,"1,570 ","148,060,140 ","17,578,379,703 ",118.7 
201801,세종특별자치시,전체(시 / 군 / 구),농사용,"8,889 ","7,147,066 ","342,118,551 ",47.9 
201801,세종특별자치시,전체(시 / 군 / 구),가로등,"8,409 ","2,933,431 ","316,740,171 ",108.0 
201801,세종특별자치시,전체(시 / 군 / 구),심 야,"7,806 ","15,136,055 ","1,138,361,551 ",75.2 
201802,세종특별자치시,전체(시 / 군 / 구),주택용,"50,901 ","40,955,503 ","4,728,680,821 ",115.5 
201802,세종특별자치시,전체(시 / 군 / 구),일반용,"12,165 ","59,591,493 ","8,034,304,497 ",134.8 
201802,세종특별자치시,전체(시 / 군 / 구),교육용,136 ,"7,952,499 ","757,973,918 ",95.3 
201802,세종특별자치시,전체(시 / 군 / 구),산업용,"1,575 ","134,489,122 ","16,218,083,742 ",120.6 
201802,세종특별자치시,전체(시 / 군 / 구),농사용,"8,877 ","7,727,162 ","366,668,317 ",47.5 
201802,세종특별자치시,전체(시 / 군 / 구),가로등,"8,466 ","2,775,464 ","312,809,324 ",112.7 
201802,세종특별자치시,전체(시 / 군 / 구),심 야,"7,793 ","16,210,314 ","1,218,400,657 ",75.2 
201803,세종특별자치시,전체(시 / 군 / 구),주택용,"50,970 ","34,896,230 ","3,562,566,943 ",102.1 
201803,세종특별자치시,전체(시 / 군 / 구),일반용,"12,302 ","48,753,888 ","6,251,513,961 ",128.2 
201803,세종특별자치시,전체(시 / 군 / 구),교육용,136 ,"7,080,468 ","720,136,533 ",101.7 
201803,세종특별자치시,전체(시 / 군 / 구),산업용,"1,568 ","140,419,431 ","13,748,662,999 ",97.9 
201803,세종특별자치시,전체(시 / 군 / 구),농사용,"13,789 ","6,357,205 ","306,172,117 ",48.2 
201803,세종특별자치시,전체(시 / 군 / 구),가로등,"8,549 ","2,549,791 ","291,172,383 ",114.2 
201803,세종특별자치시,전체(시 / 군 / 구),심 야,"7,760 ","11,837,946 ","782,176,856 ",66.1 
201804,세종특별자치시,전체(시 / 군 / 구),주택용,"51,071 ","36,716,869 ","3,762,268,397 ",102.5 
201804,세종특별자치시,전체(시 / 군 / 구),일반용,"12,379 ","44,650,607 ","5,437,129,898 ",121.8 
201804,세종특별자치시,전체(시 / 군 / 구),교육용,135 ,"6,718,342 ","598,949,573 ",89.2 
201804,세종특별자치시,전체(시 / 군 / 구),산업용,"1,568 ","137,458,237 ","12,961,559,189 ",94.3 
201804,세종특별자치시,전체(시 / 군 / 구),농사용,"8,984 ","5,247,640 ","262,707,800 ",50.1 
201804,세종특별자치시,전체(시 / 군 / 구),가로등,"8,557 ","2,520,532 ","296,295,459 ",117.6 
201804,세종특별자치시,전체(시 / 군 / 구),심 야,"7,752 ","8,381,253 ","454,160,359 ",54.2 
201805,세종특별자치시,전체(시 / 군 / 구),주택용,"51,131 ","34,152,987 ","3,382,380,441 ",99.0 
201805,세종특별자치시,전체(시 / 군 / 구),일반용,"12,435 ","42,903,786 ","5,335,792,131 ",124.4 
201805,세종특별자치시,전체(시 / 군 / 구),교육용,135 ,"4,951,278 ","448,092,617 ",90.5 
201805,세종특별자치시,전체(시 / 군 / 구),산업용,"1,569 ","141,092,293 ","13,070,029,387 ",92.6 
201805,세종특별자치시,전체(시 / 군 / 구),농사용,"8,989 ","4,915,356 ","246,420,590 ",50.1 
201805,세종특별자치시,전체(시 / 군 / 구),가로등,"8,556 ","2,363,125 ","285,730,641 ",120.9 
201805,세종특별자치시,전체(시 / 군 / 구),심 야,"7,678 ","4,965,884 ","272,795,439 ",54.9 
201806,세종특별자치시,전체(시 / 군 / 구),주택용,"51,263 ","35,817,888 ","3,644,976,632 ",101.8 
201806,세종특별자치시,전체(시 / 군 / 구),일반용,"12,595 ","47,035,905 ","6,597,109,461 ",140.3 
201806,세종특별자치시,전체(시 / 군 / 구),교육용,135 ,"5,222,159 ","546,018,669 ",104.6 
201806,세종특별자치시,전체(시 / 군 / 구),산업용,"1,581 ","143,115,015 ","16,112,622,508 ",112.6 
201806,세종특별자치시,전체(시 / 군 / 구),농사용,"9,033 ","5,898,518 ","281,791,301 ",47.8 
201806,세종특별자치시,전체(시 / 군 / 구),가로등,"8,601 ","2,278,338 ","283,021,162 ",124.2 
201806,세종특별자치시,전체(시 / 군 / 구),심 야,"7,668 ","2,812,240 ","158,286,823 ",56.3 
합계,합계,합계,합계,"546,476","1,522,178,988","164,430,838,800",108
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201801,세종특별자치시,세종시,가로등,"8,409 ","2,933,431 ","316,740,171 ",108 
201801,세종특별자치시,세종시,교육용,127 ,"8,931,397 ","807,671,918 ",90.4 
201801,세종특별자치시,세종시,농사용,"8,889 ","7,147,066 ","342,118,551 ",47.9 
201801,세종특별자치시,세종시,산업용,"1,570 ","148,060,140 ","17,578,379,703 ",118.7 
201801,세종특별자치시,세종시,심 야,"7,806 ","15,136,055 ","1,138,361,551 ",75.2 
201801,세종특별자치시,세종시,일반용,"12,100 ","59,557,319 ","8,038,574,793 ",135 
201801,세종특별자치시,세종시,주택용,"50,773 ","39,598,812 ","4,471,530,568 ",112.9 
201801,세종특별자치시,세종시,합계,"89,674 ","281,364,220 ","32,693,377,255 ",116.2 
201802,세종특별자치시,세종시,가로등,"8,466 ","2,775,464 ","312,809,324 ",112.7 
201802,세종특별자치시,세종시,교육용,136 ,"7,952,499 ","757,973,918 ",95.3 
201802,세종특별자치시,세종시,농사용,"8,877 ","7,727,162 ","366,668,317 ",47.5 
201802,세종특별자치시,세종시,산업용,"1,575 ","134,489,122 ","16,218,083,742 ",120.6 
201802,세종특별자치시,세종시,심 야,"7,793 ","16,210,314 ","1,218,400,657 ",75.2 
201802,세종특별자치시,세종시,일반용,"12,165 ","59,591,493 ","8,034,304,497 ",134.8 
201802,세종특별자치시,세종시,주택용,"50,901 ","40,955,503 ","4,728,680,821 ",115.5 
201802,세종특별자치시,세종시,합계,"89,913 ","269,701,557 ","31,636,921,276 ",117.3 
201803,세종특별자치시,세종시,가로등,"8,549 ","2,549,791 ","291,172,383 ",114.2 
201803,세종특별자치시,세종시,교육용,136 ,"7,080,468 ","720,136,533 ",101.7 
201803,세종특별자치시,세종시,농사용,"13,789 ","6,357,205 ","306,172,117 ",48.2 
201803,세종특별자치시,세종시,산업용,"1,568 ","140,419,431 ","13,748,662,999 ",97.9 
201803,세종특별자치시,세종시,심 야,"7,760 ","11,837,946 ","782,176,856 ",66.1 
201803,세종특별자치시,세종시,일반용,"12,302 ","48,753,888 ","6,251,513,961 ",128.2 
201803,세종특별자치시,세종시,주택용,"50,970 ","34,896,230 ","3,562,566,943 ",102.1 
201803,세종특별자치시,세종시,합계,"95,074 ","251,894,959 ","25,662,401,792 ",101.9 
201804,세종특별자치시,세종시,가로등,"8,557 ","2,520,532 ","296,295,459 ",117.6 
201804,세종특별자치시,세종시,교육용,135 ,"6,718,342 ","598,949,573 ",89.2 
201804,세종특별자치시,세종시,농사용,"8,984 ","5,247,640 ","262,707,800 ",50.1 
201804,세종특별자치시,세종시,산업용,"1,568 ","137,458,237 ","12,961,559,189 ",94.3 
201804,세종특별자치시,세종시,심 야,"7,752 ","8,381,253 ","454,160,359 ",54.2 
201804,세종특별자치시,세종시,일반용,"12,379 ","44,650,607 ","5,437,129,898 ",121.8 
201804,세종특별자치시,세종시,주택용,"51,071 ","36,716,869 ","3,762,268,397 ",102.5 
201804,세종특별자치시,세종시,합계,"90,446 ","241,693,480 ","23,773,070,675 ",98.4 
