계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 제주특별자치도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 01 월 ~ 2018년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201801,제주특별자치도,전체(시 / 군 / 구),주택용,"273,183 ","75,579,575 ","8,986,966,991 ",118.9 
201801,제주특별자치도,전체(시 / 군 / 구),일반용,"66,888 ","182,490,698 ","24,469,235,068 ",134.1 
201801,제주특별자치도,전체(시 / 군 / 구),교육용,344 ,"13,349,902 ","1,419,544,791 ",106.3 
201801,제주특별자치도,전체(시 / 군 / 구),산업용,"3,425 ","51,700,300 ","6,499,995,701 ",125.7 
201801,제주특별자치도,전체(시 / 군 / 구),농사용,"45,187 ","144,171,572 ","6,671,584,566 ",46.3 
201801,제주특별자치도,전체(시 / 군 / 구),가로등,"24,373 ","5,355,024 ","543,869,075 ",101.6 
201801,제주특별자치도,전체(시 / 군 / 구),심 야,"7,104 ","17,595,146 ","1,320,286,645 ",75.0 
201802,제주특별자치도,전체(시 / 군 / 구),주택용,"274,863 ","77,958,466 ","9,516,182,258 ",122.1 
201802,제주특별자치도,전체(시 / 군 / 구),일반용,"67,494 ","185,002,302 ","24,707,526,297 ",133.6 
201802,제주특별자치도,전체(시 / 군 / 구),교육용,348 ,"12,330,391 ","1,344,256,154 ",109.0 
201802,제주특별자치도,전체(시 / 군 / 구),산업용,"3,427 ","49,094,222 ","6,203,972,621 ",126.4 
201802,제주특별자치도,전체(시 / 군 / 구),농사용,"45,238 ","163,034,872 ","7,452,658,632 ",45.7 
201802,제주특별자치도,전체(시 / 군 / 구),가로등,"24,714 ","4,835,729 ","537,025,854 ",111.1 
201802,제주특별자치도,전체(시 / 군 / 구),심 야,"7,082 ","18,880,922 ","1,413,992,805 ",74.9 
201803,제주특별자치도,전체(시 / 군 / 구),주택용,"275,790 ","66,057,641 ","7,093,659,240 ",107.4 
201803,제주특별자치도,전체(시 / 군 / 구),일반용,"67,753 ","152,661,873 ","19,203,172,505 ",125.8 
201803,제주특별자치도,전체(시 / 군 / 구),교육용,347 ,"10,897,129 ","1,069,057,961 ",98.1 
201803,제주특별자치도,전체(시 / 군 / 구),산업용,"3,427 ","47,504,735 ","5,334,661,913 ",112.3 
201803,제주특별자치도,전체(시 / 군 / 구),농사용,"45,274 ","136,445,432 ","6,254,137,745 ",45.8 
201803,제주특별자치도,전체(시 / 군 / 구),가로등,"24,789 ","4,533,803 ","504,919,386 ",111.4 
201803,제주특별자치도,전체(시 / 군 / 구),심 야,"7,064 ","13,889,548 ","914,438,426 ",65.8 
201804,제주특별자치도,전체(시 / 군 / 구),주택용,"277,624 ","65,660,857 ","7,089,525,956 ",108.0 
201804,제주특별자치도,전체(시 / 군 / 구),일반용,"68,494 ","150,254,918 ","17,574,765,431 ",117.0 
201804,제주특별자치도,전체(시 / 군 / 구),교육용,347 ,"10,058,222 ","944,835,068 ",93.9 
201804,제주특별자치도,전체(시 / 군 / 구),산업용,"3,434 ","50,510,418 ","5,305,296,538 ",105.0 
201804,제주특별자치도,전체(시 / 군 / 구),농사용,"45,444 ","138,709,235 ","6,277,942,787 ",45.3 
201804,제주특별자치도,전체(시 / 군 / 구),가로등,"24,906 ","4,199,358 ","505,760,713 ",120.4 
201804,제주특별자치도,전체(시 / 군 / 구),심 야,"7,042 ","10,758,370 ","605,769,234 ",56.3 
201805,제주특별자치도,전체(시 / 군 / 구),주택용,"278,710 ","61,594,155 ","6,327,881,490 ",102.7 
201805,제주특별자치도,전체(시 / 군 / 구),일반용,"68,831 ","144,586,722 ","17,133,375,768 ",118.5 
201805,제주특별자치도,전체(시 / 군 / 구),교육용,349 ,"9,309,980 ","860,941,549 ",92.5 
201805,제주특별자치도,전체(시 / 군 / 구),산업용,"3,427 ","48,339,537 ","5,134,867,417 ",106.2 
201805,제주특별자치도,전체(시 / 군 / 구),농사용,"45,591 ","120,232,041 ","5,532,069,671 ",46.0 
201805,제주특별자치도,전체(시 / 군 / 구),가로등,"25,002 ","3,845,806 ","485,636,510 ",126.3 
201805,제주특별자치도,전체(시 / 군 / 구),심 야,"7,014 ","8,047,225 ","468,138,098 ",58.2 
201806,제주특별자치도,전체(시 / 군 / 구),주택용,"280,040 ","62,162,384 ","6,424,835,717 ",103.4 
201806,제주특별자치도,전체(시 / 군 / 구),일반용,"69,165 ","154,444,336 ","20,803,156,745 ",134.7 
201806,제주특별자치도,전체(시 / 군 / 구),교육용,348 ,"9,731,772 ","1,139,239,291 ",117.1 
201806,제주특별자치도,전체(시 / 군 / 구),산업용,"3,381 ","53,208,931 ","6,279,175,708 ",118.0 
201806,제주특별자치도,전체(시 / 군 / 구),농사용,"45,608 ","106,712,361 ","5,014,975,797 ",47.0 
201806,제주특별자치도,전체(시 / 군 / 구),가로등,"25,240 ","3,593,840 ","478,914,953 ",133.3 
201806,제주특별자치도,전체(시 / 군 / 구),심 야,"6,992 ","6,780,498 ","408,091,769 ",60.2 
합계,합계,합계,합계,"2,555,103","2,656,110,248","256,256,340,844",96.5
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201801,제주특별자치도,서귀포시,가로등,"10,072 ","2,114,605 ","215,545,532 ",101.9 
201801,제주특별자치도,서귀포시,교육용,132 ,"5,082,935 ","517,513,029 ",101.8 
201801,제주특별자치도,서귀포시,농사용,"27,937 ","101,681,505 ","4,701,316,415 ",46.2 
201801,제주특별자치도,서귀포시,산업용,"1,048 ","14,168,584 ","1,859,863,219 ",131.3 
201801,제주특별자치도,서귀포시,심 야,"2,313 ","5,036,463 ","385,686,398 ",76.6 
201801,제주특별자치도,서귀포시,일반용,"19,667 ","61,591,510 ","8,214,632,544 ",133.4 
201801,제주특별자치도,서귀포시,주택용,"78,011 ","19,881,462 ","2,345,922,556 ",118 
201801,제주특별자치도,서귀포시,합계,"139,180 ","209,557,064 ","18,240,479,693 ",87 
201801,제주특별자치도,제주시,가로등,"14,301 ","3,240,419 ","328,323,543 ",101.3 
201801,제주특별자치도,제주시,교육용,212 ,"8,266,967 ","902,031,762 ",109.1 
201801,제주특별자치도,제주시,농사용,"17,250 ","42,490,067 ","1,970,268,151 ",46.4 
201801,제주특별자치도,제주시,산업용,"2,377 ","37,531,716 ","4,640,132,482 ",123.6 
201801,제주특별자치도,제주시,심 야,"4,791 ","12,558,683 ","934,600,247 ",74.4 
201801,제주특별자치도,제주시,일반용,"47,221 ","120,899,188 ","16,254,602,524 ",134.4 
201801,제주특별자치도,제주시,주택용,"195,172 ","55,698,113 ","6,641,044,435 ",119.2 
201801,제주특별자치도,제주시,합계,"281,324 ","280,685,153 ","31,671,003,144 ",112.8 
201802,제주특별자치도,서귀포시,가로등,"10,231 ","1,901,381 ","212,426,691 ",111.7 
201802,제주특별자치도,서귀포시,교육용,134 ,"4,554,676 ","476,423,241 ",104.6 
201802,제주특별자치도,서귀포시,농사용,"27,962 ","118,000,610 ","5,376,159,755 ",45.6 
201802,제주특별자치도,서귀포시,산업용,"1,046 ","13,418,085 ","1,791,591,050 ",133.5 
201802,제주특별자치도,서귀포시,심 야,"2,307 ","5,315,411 ","405,995,421 ",76.4 
201802,제주특별자치도,서귀포시,일반용,"19,849 ","60,727,840 ","8,119,946,100 ",133.7 
201802,제주특별자치도,서귀포시,주택용,"78,363 ","20,644,824 ","2,501,614,874 ",121.2 
201802,제주특별자치도,서귀포시,합계,"139,892 ","224,562,827 ","18,884,157,132 ",84.1 
201802,제주특별자치도,제주시,가로등,"14,483 ","2,934,348 ","324,599,163 ",110.6 
201802,제주특별자치도,제주시,교육용,214 ,"7,775,715 ","867,832,913 ",111.6 
201802,제주특별자치도,제주시,농사용,"17,276 ","45,034,262 ","2,076,498,877 ",46.1 
201802,제주특별자치도,제주시,산업용,"2,381 ","35,676,137 ","4,412,381,571 ",123.7 
201802,제주특별자치도,제주시,심 야,"4,775 ","13,565,511 ","1,007,997,384 ",74.3 
201802,제주특별자치도,제주시,일반용,"47,645 ","124,274,462 ","16,587,580,197 ",133.5 
201802,제주특별자치도,제주시,주택용,"196,500 ","57,313,642 ","7,014,567,384 ",122.4 
201802,제주특별자치도,제주시,합계,"283,274 ","286,574,077 ","32,291,457,489 ",112.7 
201803,제주특별자치도,서귀포시,가로등,"10,233 ","1,768,858 ","198,840,151 ",112.4 
201803,제주특별자치도,서귀포시,교육용,134 ,"4,017,311 ","375,907,209 ",93.6 
201803,제주특별자치도,서귀포시,농사용,"28,006 ","97,795,364 ","4,469,844,698 ",45.7 
201803,제주특별자치도,서귀포시,산업용,"1,046 ","12,254,138 ","1,492,880,360 ",121.8 
201803,제주특별자치도,서귀포시,심 야,"2,302 ","3,993,762 ","275,796,127 ",69.1 
201803,제주특별자치도,서귀포시,일반용,"20,023 ","51,335,163 ","6,379,007,200 ",124.3 
201803,제주특별자치도,서귀포시,주택용,"78,682 ","17,627,206 ","1,891,527,637 ",107.3 
201803,제주특별자치도,서귀포시,합계,"140,426 ","188,791,802 ","15,083,803,382 ",79.9 
201803,제주특별자치도,제주시,가로등,"14,556 ","2,764,945 ","306,079,235 ",110.7 
201803,제주특별자치도,제주시,교육용,213 ,"6,879,818 ","693,150,752 ",100.8 
201803,제주특별자치도,제주시,농사용,"17,268 ","38,650,068 ","1,784,293,047 ",46.2 
201803,제주특별자치도,제주시,산업용,"2,381 ","35,250,597 ","3,841,781,553 ",109 
201803,제주특별자치도,제주시,심 야,"4,762 ","9,895,786 ","638,642,299 ",64.5 
201803,제주특별자치도,제주시,일반용,"47,730 ","101,326,710 ","12,824,165,305 ",126.6 
201803,제주특별자치도,제주시,주택용,"197,108 ","48,430,435 ","5,202,131,603 ",107.4 
201803,제주특별자치도,제주시,합계,"284,018 ","243,198,359 ","25,290,243,794 ",104 
201804,제주특별자치도,서귀포시,가로등,"10,262 ","1,622,992 ","197,718,325 ",121.8 
201804,제주특별자치도,서귀포시,교육용,134 ,"3,582,591 ","321,209,167 ",89.7 
201804,제주특별자치도,서귀포시,농사용,"28,110 ","98,202,623 ","4,432,724,554 ",45.1 
201804,제주특별자치도,서귀포시,산업용,"1,039 ","13,328,301 ","1,489,212,559 ",111.7 
201804,제주특별자치도,서귀포시,심 야,"2,298 ","3,374,906 ","196,182,796 ",58.1 
201804,제주특별자치도,서귀포시,일반용,"20,165 ","50,443,196 ","5,895,763,288 ",116.9 
201804,제주특별자치도,서귀포시,주택용,"79,127 ","17,602,645 ","1,905,399,726 ",108.2 
201804,제주특별자치도,서귀포시,합계,"141,135 ","188,157,254 ","14,438,210,415 ",76.7 
201804,제주특별자치도,제주시,가로등,"14,644 ","2,576,366 ","308,042,388 ",119.6 
201804,제주특별자치도,제주시,교육용,213 ,"6,475,631 ","623,625,901 ",96.3 
201804,제주특별자치도,제주시,농사용,"17,334 ","40,506,612 ","1,845,218,233 ",45.6 
201804,제주특별자치도,제주시,산업용,"2,395 ","37,182,117 ","3,816,083,979 ",102.6 
201804,제주특별자치도,제주시,심 야,"4,744 ","7,383,464 ","409,586,438 ",55.5 
201804,제주특별자치도,제주시,일반용,"48,329 ","99,811,722 ","11,679,002,143 ",117 
201804,제주특별자치도,제주시,주택용,"198,497 ","48,058,212 ","5,184,126,230 ",107.9 
201804,제주특별자치도,제주시,합계,"286,156 ","241,994,124 ","23,865,685,312 ",98.6 
201805,제주특별자치도,서귀포시,가로등,"10,313 ","1,469,748 ","188,531,828 ",128.3 
201805,제주특별자치도,서귀포시,교육용,136 ,"3,584,433 ","319,834,917 ",89.2 
201805,제주특별자치도,서귀포시,농사용,"28,185 ","82,734,485 ","3,804,356,718 ",46 
201805,제주특별자치도,서귀포시,산업용,"1,077 ","13,098,020 ","1,465,437,649 ",111.9 
201805,제주특별자치도,서귀포시,심 야,"2,295 ","3,128,156 ","192,013,123 ",61.4 
201805,제주특별자치도,서귀포시,일반용,"20,235 ","49,496,323 ","5,768,008,308 ",116.5 
201805,제주특별자치도,서귀포시,주택용,"79,321 ","16,898,694 ","1,759,532,301 ",104.1 
201805,제주특별자치도,서귀포시,합계,"141,562 ","170,409,859 ","13,497,714,844 ",79.2 
201805,제주특별자치도,제주시,가로등,"14,689 ","2,376,058 ","297,104,682 ",125 
201805,제주특별자치도,제주시,교육용,213 ,"5,725,547 ","541,106,632 ",94.5 
201805,제주특별자치도,제주시,농사용,"17,406 ","37,497,556 ","1,727,712,953 ",46.1 
201805,제주특별자치도,제주시,산업용,"2,350 ","35,241,517 ","3,669,429,768 ",104.1 
201805,제주특별자치도,제주시,심 야,"4,719 ","4,919,069 ","276,124,975 ",56.1 
201805,제주특별자치도,제주시,일반용,"48,596 ","95,090,399 ","11,365,367,460 ",119.5 
201805,제주특별자치도,제주시,주택용,"199,389 ","44,695,461 ","4,568,349,189 ",102.2 
201805,제주특별자치도,제주시,합계,"287,362 ","225,545,607 ","22,445,195,659 ",99.5 
201806,제주특별자치도,서귀포시,가로등,"10,472 ","1,372,416 ","185,657,053 ",135.3 
201806,제주특별자치도,서귀포시,교육용,136 ,"3,671,139 ","429,421,356 ",117 
201806,제주특별자치도,서귀포시,농사용,"28,164 ","68,185,284 ","3,218,026,308 ",47.2 
201806,제주특별자치도,서귀포시,산업용,"1,079 ","13,725,249 ","1,717,975,064 ",125.2 
201806,제주특별자치도,서귀포시,심 야,"2,291 ","3,157,318 ","200,702,675 ",63.6 
201806,제주특별자치도,서귀포시,일반용,"20,367 ","52,760,602 ","7,073,625,233 ",134.1 
201806,제주특별자치도,서귀포시,주택용,"79,554 ","17,100,438 ","1,794,465,408 ",104.9 
201806,제주특별자치도,서귀포시,합계,"142,063 ","159,972,446 ","14,619,873,097 ",91.4 
201806,제주특별자치도,제주시,가로등,"14,768 ","2,221,424 ","293,257,900 ",132 
201806,제주특별자치도,제주시,교육용,212 ,"6,060,633 ","709,817,935 ",117.1 
201806,제주특별자치도,제주시,농사용,"17,444 ","38,527,077 ","1,796,949,489 ",46.6 
201806,제주특별자치도,제주시,산업용,"2,302 ","39,483,682 ","4,561,200,644 ",115.5 
201806,제주특별자치도,제주시,심 야,"4,701 ","3,623,180 ","207,389,094 ",57.2 
201806,제주특별자치도,제주시,일반용,"48,798 ","101,683,734 ","13,729,531,512 ",135 
201806,제주특별자치도,제주시,주택용,"200,486 ","45,061,946 ","4,630,370,309 ",102.8 
201806,제주특별자치도,제주시,합계,"288,711 ","236,661,676 ","25,928,516,883 ",109.6 
