계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 01 월 ~ 2018년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201801,충청북도,전체(시 / 군 / 구),주택용,"596,039 ","197,088,395 ","22,326,510,540 ",113.3 
201801,충청북도,전체(시 / 군 / 구),일반용,"117,017 ","353,062,997 ","46,388,309,814 ",131.4 
201801,충청북도,전체(시 / 군 / 구),교육용,784 ,"38,147,224 ","3,642,435,125 ",95.5 
201801,충청북도,전체(시 / 군 / 구),산업용,"16,378 ","1,470,427,989 ","172,354,821,249 ",117.2 
201801,충청북도,전체(시 / 군 / 구),농사용,"126,703 ","77,824,359 ","3,814,329,137 ",49.0 
201801,충청북도,전체(시 / 군 / 구),가로등,"95,935 ","16,940,533 ","1,772,484,579 ",104.6 
201801,충청북도,전체(시 / 군 / 구),심 야,"90,153 ","212,139,011 ","15,758,619,490 ",74.3 
201802,충청북도,전체(시 / 군 / 구),주택용,"597,257 ","201,163,279 ","23,177,638,740 ",115.2 
201802,충청북도,전체(시 / 군 / 구),일반용,"117,277 ","362,129,036 ","47,324,083,513 ",130.7 
201802,충청북도,전체(시 / 군 / 구),교육용,784 ,"37,944,019 ","3,676,729,925 ",96.9 
201802,충청북도,전체(시 / 군 / 구),산업용,"16,410 ","1,357,550,220 ","158,745,614,363 ",116.9 
201802,충청북도,전체(시 / 군 / 구),농사용,"126,575 ","81,858,238 ","3,990,678,355 ",48.8 
201802,충청북도,전체(시 / 군 / 구),가로등,"96,181 ","15,928,273 ","1,763,535,874 ",110.7 
201802,충청북도,전체(시 / 군 / 구),심 야,"90,059 ","225,609,841 ","16,764,620,553 ",74.3 
201803,충청북도,전체(시 / 군 / 구),주택용,"598,125 ","171,175,414 ","17,737,242,528 ",103.6 
201803,충청북도,전체(시 / 군 / 구),일반용,"117,254 ","283,980,076 ","35,890,235,749 ",126.4 
201803,충청북도,전체(시 / 군 / 구),교육용,785 ,"30,380,242 ","3,056,681,010 ",100.6 
201803,충청북도,전체(시 / 군 / 구),산업용,"16,434 ","1,452,120,921 ","138,120,340,887 ",95.1 
201803,충청북도,전체(시 / 군 / 구),농사용,"161,428 ","65,222,922 ","3,282,695,365 ",50.3 
201803,충청북도,전체(시 / 군 / 구),가로등,"96,544 ","15,134,165 ","1,685,448,194 ",111.4 
