계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경상북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 07 월 ~ 2018년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,경상북도,전체(시 / 군 / 구),주택용,"1,149,648 ","303,972,361 ","32,010,120,613 ",105.3 
201807,경상북도,전체(시 / 군 / 구),일반용,"213,361 ","472,356,645 ","70,610,608,771 ",149.5 
201807,경상북도,전체(시 / 군 / 구),교육용,"1,484 ","51,405,248 ","6,041,206,675 ",117.5 
201807,경상북도,전체(시 / 군 / 구),산업용,"32,220 ","2,708,966,804 ","309,574,072,465 ",114.3 
201807,경상북도,전체(시 / 군 / 구),농사용,"339,906 ","174,797,050 ","8,505,024,820 ",48.7 
201807,경상북도,전체(시 / 군 / 구),가로등,"188,478 ","22,803,133 ","2,829,642,433 ",124.1 
201807,경상북도,전체(시 / 군 / 구),심 야,"77,215 ","31,744,448 ","1,798,270,624 ",56.6 
201808,경상북도,전체(시 / 군 / 구),주택용,"1,150,148 ","427,416,861 ","46,593,564,868 ",109.0 
201808,경상북도,전체(시 / 군 / 구),일반용,"214,003 ","584,492,493 ","82,937,008,536 ",141.9 
201808,경상북도,전체(시 / 군 / 구),교육용,"1,487 ","51,356,269 ","6,180,468,361 ",120.3 
201808,경상북도,전체(시 / 군 / 구),산업용,"32,274 ","2,621,144,572 ","299,449,418,054 ",114.2 
201808,경상북도,전체(시 / 군 / 구),농사용,"342,329 ","262,996,037 ","11,884,220,294 ",45.2 
201808,경상북도,전체(시 / 군 / 구),가로등,"190,612 ","24,552,448 ","2,909,682,466 ",118.5 
201808,경상북도,전체(시 / 군 / 구),심 야,"77,076 ","24,515,425 ","1,433,305,455 ",58.5 
201809,경상북도,전체(시 / 군 / 구),주택용,"1,151,494 ","315,688,724 ","26,905,239,961 ",85.2 
201809,경상북도,전체(시 / 군 / 구),일반용,"214,126 ","475,163,520 ","62,616,993,146 ",131.8 
201809,경상북도,전체(시 / 군 / 구),교육용,"1,486 ","50,568,387 ","5,068,664,826 ",100.2 
201809,경상북도,전체(시 / 군 / 구),산업용,"32,316 ","2,640,859,382 ","243,463,323,150 ",92.2 
201809,경상북도,전체(시 / 군 / 구),농사용,"345,070 ","213,211,527 ","10,148,243,451 ",47.6 
201809,경상북도,전체(시 / 군 / 구),가로등,"190,916 ","24,921,412 ","2,885,016,578 ",115.8 
201809,경상북도,전체(시 / 군 / 구),심 야,"76,938 ","25,682,414 ","1,455,591,992 ",56.7 
201810,경상북도,전체(시 / 군 / 구),주택용,"1,152,344 ","273,410,640 ","26,226,442,143 ",95.9 
201810,경상북도,전체(시 / 군 / 구),일반용,"214,056 ","388,923,844 ","47,162,346,483 ",121.3 
201810,경상북도,전체(시 / 군 / 구),교육용,"1,487 ","43,318,620 ","3,856,786,164 ",89.0 
201810,경상북도,전체(시 / 군 / 구),산업용,"32,384 ","2,674,997,181 ","239,623,207,497 ",89.6 
201810,경상북도,전체(시 / 군 / 구),농사용,"346,153 ","155,102,682 ","7,911,664,996 ",51.0 
201810,경상북도,전체(시 / 군 / 구),가로등,"191,254 ","26,652,081 ","2,927,130,585 ",109.8 
201810,경상북도,전체(시 / 군 / 구),심 야,"76,754 ","49,729,948 ","2,724,141,595 ",54.8 
201811,경상북도,전체(시 / 군 / 구),주택용,"1,153,592 ","289,200,659 ","29,342,217,620 ",101.5 
201811,경상북도,전체(시 / 군 / 구),일반용,"214,418 ","424,617,071 ","55,732,593,683 ",131.3 
201811,경상북도,전체(시 / 군 / 구),교육용,"1,487 ","53,556,120 ","5,497,094,070 ",102.6 
201811,경상북도,전체(시 / 군 / 구),산업용,"32,468 ","2,646,166,855 ","293,673,105,415 ",111.0 
201811,경상북도,전체(시 / 군 / 구),농사용,"416,841 ","214,070,526 ","9,596,971,298 ",44.8 
201811,경상북도,전체(시 / 군 / 구),가로등,"191,705 ","28,258,471 ","3,033,319,067 ",107.3 
201811,경상북도,전체(시 / 군 / 구),심 야,"76,628 ","96,695,374 ","6,128,713,467 ",63.4 
