계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 광주광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 07 월 ~ 2018년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,광주광역시,전체(시 / 군 / 구),주택용,"384,003 ","174,995,079 ","18,588,924,115 ",106.2 
201807,광주광역시,전체(시 / 군 / 구),일반용,"90,268 ","265,777,737 ","38,406,025,008 ",144.5 
201807,광주광역시,전체(시 / 군 / 구),교육용,648 ,"27,725,633 ","3,138,792,716 ",113.2 
201807,광주광역시,전체(시 / 군 / 구),산업용,"6,256 ","269,930,043 ","34,950,259,074 ",129.5 
201807,광주광역시,전체(시 / 군 / 구),농사용,"11,065 ","4,926,739 ","253,484,000 ",51.5 
201807,광주광역시,전체(시 / 군 / 구),가로등,"45,472 ","5,513,213 ","683,238,032 ",123.9 
201807,광주광역시,전체(시 / 군 / 구),심 야,"6,697 ","4,394,816 ","315,092,129 ",71.7 
201808,광주광역시,전체(시 / 군 / 구),주택용,"383,603 ","254,205,023 ","29,558,257,900 ",116.3 
201808,광주광역시,전체(시 / 군 / 구),일반용,"90,410 ","324,846,574 ","45,094,338,755 ",138.8 
201808,광주광역시,전체(시 / 군 / 구),교육용,646 ,"28,550,313 ","3,297,418,170 ",115.5 
201808,광주광역시,전체(시 / 군 / 구),산업용,"6,266 ","268,852,575 ","34,762,827,282 ",129.3 
201808,광주광역시,전체(시 / 군 / 구),농사용,"11,123 ","7,342,098 ","351,130,665 ",47.8 
201808,광주광역시,전체(시 / 군 / 구),가로등,"45,619 ","5,800,634 ","698,606,524 ",120.4 
201808,광주광역시,전체(시 / 군 / 구),심 야,"6,650 ","4,317,612 ","317,182,279 ",73.5 
201809,광주광역시,전체(시 / 군 / 구),주택용,"383,426 ","199,211,940 ","17,654,721,105 ",88.6 
201809,광주광역시,전체(시 / 군 / 구),일반용,"90,529 ","274,480,833 ","34,619,461,362 ",126.1 
201809,광주광역시,전체(시 / 군 / 구),교육용,647 ,"26,992,013 ","2,839,022,101 ",105.2 
201809,광주광역시,전체(시 / 군 / 구),산업용,"6,266 ","250,034,893 ","27,048,047,274 ",108.2 
201809,광주광역시,전체(시 / 군 / 구),농사용,"11,155 ","5,599,919 ","286,956,436 ",51.2 
201809,광주광역시,전체(시 / 군 / 구),가로등,"45,646 ","6,179,569 ","723,043,201 ",117.0 
201809,광주광역시,전체(시 / 군 / 구),심 야,"6,612 ","3,404,831 ","249,286,595 ",73.2 
201810,광주광역시,전체(시 / 군 / 구),주택용,"383,415 ","153,227,733 ","14,560,967,240 ",95.0 
201810,광주광역시,전체(시 / 군 / 구),일반용,"90,483 ","208,328,969 ","24,172,042,153 ",116.0 
201810,광주광역시,전체(시 / 군 / 구),교육용,644 ,"18,965,731 ","1,763,209,430 ",93.0 
201810,광주광역시,전체(시 / 군 / 구),산업용,"6,272 ","248,817,607 ","25,323,458,545 ",101.8 
201810,광주광역시,전체(시 / 군 / 구),농사용,"11,215 ","4,369,472 ","240,118,500 ",55.0 
201810,광주광역시,전체(시 / 군 / 구),가로등,"45,668 ","6,628,412 ","744,410,314 ",112.3 
201810,광주광역시,전체(시 / 군 / 구),심 야,"6,588 ","3,788,742 ","238,927,131 ",63.1 
201811,광주광역시,전체(시 / 군 / 구),주택용,"383,867 ","161,280,026 ","16,096,511,497 ",99.8 
201811,광주광역시,전체(시 / 군 / 구),일반용,"90,604 ","211,850,050 ","27,425,929,128 ",129.5 
201811,광주광역시,전체(시 / 군 / 구),교육용,645 ,"21,283,390 ","2,178,686,129 ",102.4 
201811,광주광역시,전체(시 / 군 / 구),산업용,"6,283 ","254,913,035 ","31,005,135,351 ",121.6 
201811,광주광역시,전체(시 / 군 / 구),농사용,"15,581 ","8,386,817 ","358,115,102 ",42.7 
201811,광주광역시,전체(시 / 군 / 구),가로등,"45,724 ","7,254,141 ","792,635,661 ",109.3 
201811,광주광역시,전체(시 / 군 / 구),심 야,"6,550 ","7,632,496 ","500,694,971 ",65.6 
201812,광주광역시,전체(시 / 군 / 구),주택용,"384,262 ","168,421,669 ","17,293,918,321 ",102.7 
201812,광주광역시,전체(시 / 군 / 구),일반용,"90,743 ","238,869,455 ","32,928,820,691 ",137.9 
201812,광주광역시,전체(시 / 군 / 구),교육용,645 ,"24,577,882 ","2,590,662,993 ",105.4 
201812,광주광역시,전체(시 / 군 / 구),산업용,"6,289 ","256,814,879 ","32,163,006,298 ",125.2 
201812,광주광역시,전체(시 / 군 / 구),농사용,"11,268 ","8,080,307 ","398,262,212 ",49.3 
201812,광주광역시,전체(시 / 군 / 구),가로등,"45,748 ","7,720,526 ","825,277,163 ",106.9 
201812,광주광역시,전체(시 / 군 / 구),심 야,"6,525 ","12,325,985 ","920,861,424 ",74.7 
합계,합계,합계,합계,"3,272,026","4,446,619,411","526,357,764,977",118.4
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,광주광역시,광산구,가로등,"11,815 ","1,812,586 ","224,258,052 ",123.7 
201807,광주광역시,광산구,교육용,165 ,"5,361,365 ","637,242,442 ",118.9 
201807,광주광역시,광산구,농사용,"5,563 ","2,326,502 ","121,734,903 ",52.3 
201807,광주광역시,광산구,산업용,"3,046 ","172,061,408 ","22,691,604,633 ",131.9 
201807,광주광역시,광산구,심 야,"1,511 ","739,579 ","50,800,794 ",68.7 
201807,광주광역시,광산구,일반용,"21,806 ","66,603,096 ","9,560,710,813 ",143.5 
201807,광주광역시,광산구,주택용,"82,147 ","46,406,620 ","4,810,330,259 ",103.7 
201807,광주광역시,광산구,합계,"126,053 ","295,311,156 ","38,096,681,896 ",129 
201807,광주광역시,남구,가로등,"8,316 ","917,479 ","108,688,874 ",118.5 
201807,광주광역시,남구,교육용,105 ,"3,161,964 ","382,601,553 ",121 
201807,광주광역시,남구,농사용,"2,314 ","636,560 ","34,068,229 ",53.5 
201807,광주광역시,남구,산업용,469 ,"3,315,054 ","467,319,343 ",141 
201807,광주광역시,남구,심 야,"1,244 ","304,657 ","18,019,139 ",59.1 
201807,광주광역시,남구,일반용,"10,981 ","28,201,450 ","4,109,550,144 ",145.7 
201807,광주광역시,남구,주택용,"56,673 ","26,902,953 ","3,035,326,947 ",112.8 
201807,광주광역시,남구,합계,"80,102 ","63,440,117 ","8,155,574,229 ",128.6 
201807,광주광역시,동구,가로등,"5,311 ","784,656 ","87,707,212 ",111.8 
201807,광주광역시,동구,교육용,60 ,"3,454,391 ","364,027,685 ",105.4 
201807,광주광역시,동구,농사용,292 ,"75,790 ","4,048,089 ",53.4 
201807,광주광역시,동구,산업용,435 ,"2,574,932 ","362,082,006 ",140.6 
201807,광주광역시,동구,심 야,"1,141 ","693,164 ","41,074,805 ",59.3 
201807,광주광역시,동구,일반용,"11,598 ","34,920,611 ","5,099,609,130 ",146 
201807,광주광역시,동구,주택용,"43,492 ","12,022,027 ","1,293,183,898 ",107.6 
201807,광주광역시,동구,합계,"62,329 ","54,525,571 ","7,251,732,825 ",133 
201807,광주광역시,북구,가로등,"11,976 ","1,140,843 ","150,996,430 ",132.4 
201807,광주광역시,북구,교육용,207 ,"13,495,395 ","1,489,010,805 ",110.3 
201807,광주광역시,북구,농사용,"1,873 ","1,364,109 ","68,428,435 ",50.2 
201807,광주광역시,북구,산업용,"1,598 ","64,200,885 ","7,802,720,487 ",121.5 
201807,광주광역시,북구,심 야,"1,866 ","1,353,333 ","103,722,999 ",76.6 
201807,광주광역시,북구,일반용,"27,010 ","66,118,333 ","9,553,776,473 ",144.5 
201807,광주광역시,북구,주택용,"126,594 ","53,056,410 ","5,636,595,181 ",106.2 
201807,광주광역시,북구,합계,"171,124 ","200,729,308 ","24,805,250,810 ",123.6 
201807,광주광역시,서구,가로등,"8,054 ","857,649 ","111,587,464 ",130.1 
201807,광주광역시,서구,교육용,111 ,"2,252,518 ","265,910,231 ",118.1 
201807,광주광역시,서구,농사용,"1,023 ","523,778 ","25,204,344 ",48.1 
201807,광주광역시,서구,산업용,708 ,"27,777,764 ","3,626,532,605 ",130.6 
201807,광주광역시,서구,심 야,935 ,"1,304,083 ","101,474,392 ",77.8 
201807,광주광역시,서구,일반용,"18,873 ","69,934,247 ","10,082,378,448 ",144.2 
201807,광주광역시,서구,주택용,"75,097 ","36,607,069 ","3,813,487,830 ",104.2 
201807,광주광역시,서구,합계,"104,801 ","139,257,108 ","18,026,575,314 ",129.4 
201808,광주광역시,광산구,가로등,"11,820 ","1,977,840 ","235,680,209 ",119.2 
201808,광주광역시,광산구,교육용,165 ,"5,385,253 ","669,384,392 ",124.3 
201808,광주광역시,광산구,농사용,"5,598 ","3,495,892 ","169,180,231 ",48.4 
201808,광주광역시,광산구,산업용,"3,057 ","166,135,792 ","22,002,559,802 ",132.4 
201808,광주광역시,광산구,심 야,"1,506 ","708,151 ","52,113,375 ",73.6 
201808,광주광역시,광산구,일반용,"21,863 ","82,780,145 ","11,405,905,359 ",137.8 
201808,광주광역시,광산구,주택용,"82,224 ","69,389,912 ","8,716,724,829 ",125.6 
201808,광주광역시,광산구,합계,"126,233 ","329,872,985 ","43,251,548,197 ",131.1 
201808,광주광역시,남구,가로등,"8,314 ","975,944 ","112,061,850 ",114.8 
201808,광주광역시,남구,교육용,104 ,"3,139,441 ","396,600,292 ",126.3 
201808,광주광역시,남구,농사용,"2,320 ","882,552 ","43,782,054 ",49.6 
201808,광주광역시,남구,산업용,469 ,"3,609,318 ","499,944,264 ",138.5 
201808,광주광역시,남구,심 야,"1,235 ","271,889 ","16,359,923 ",60.2 
201808,광주광역시,남구,일반용,"10,970 ","33,440,286 ","4,685,270,349 ",140.1 
201808,광주광역시,남구,주택용,"56,655 ","37,151,434 ","3,967,382,250 ",106.8 
201808,광주광역시,남구,합계,"80,067 ","79,470,864 ","9,721,400,982 ",122.3 
201808,광주광역시,동구,가로등,"5,311 ","705,870 ","79,895,170 ",113.2 
201808,광주광역시,동구,교육용,60 ,"4,011,879 ","414,768,692 ",103.4 
201808,광주광역시,동구,농사용,297 ,"109,550 ","5,521,251 ",50.4 
201808,광주광역시,동구,산업용,434 ,"3,032,969 ","417,563,902 ",137.7 
201808,광주광역시,동구,심 야,"1,135 ","702,840 ","41,790,181 ",59.5 
201808,광주광역시,동구,일반용,"11,614 ","41,800,347 ","5,875,632,208 ",140.6 
201808,광주광역시,동구,주택용,"43,239 ","16,939,199 ","1,869,361,249 ",110.4 
201808,광주광역시,동구,합계,"62,090 ","67,302,654 ","8,704,532,653 ",129.3 
201808,광주광역시,북구,가로등,"12,055 ","1,225,489 ","156,013,899 ",127.3 
201808,광주광역시,북구,교육용,206 ,"13,742,279 ","1,536,961,852 ",111.8 
201808,광주광역시,북구,농사용,"1,882 ","2,214,374 ","101,748,823 ",45.9 
201808,광주광역시,북구,산업용,"1,600 ","68,588,742 ","8,251,213,180 ",120.3 
201808,광주광역시,북구,심 야,"1,851 ","1,207,525 ","93,381,734 ",77.3 
201808,광주광역시,북구,일반용,"27,030 ","80,959,823 ","11,212,817,784 ",138.5 
201808,광주광역시,북구,주택용,"126,487 ","76,147,900 ","8,071,930,077 ",106 
201808,광주광역시,북구,합계,"171,111 ","244,086,132 ","29,424,067,349 ",120.5 
201808,광주광역시,서구,가로등,"8,119 ","915,491 ","114,955,396 ",125.6 
201808,광주광역시,서구,교육용,111 ,"2,271,461 ","279,702,942 ",123.1 
201808,광주광역시,서구,농사용,"1,026 ","639,730 ","30,898,306 ",48.3 
201808,광주광역시,서구,산업용,706 ,"27,485,754 ","3,591,546,134 ",130.7 
