계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 부산광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 07 월 ~ 2018년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,부산광역시,전체(시 / 군 / 구),주택용,"954,450 ","407,088,311 ","45,243,487,307 ",111.1 
201807,부산광역시,전체(시 / 군 / 구),일반용,"186,725 ","592,102,851 ","86,652,647,110 ",146.3 
201807,부산광역시,전체(시 / 군 / 구),교육용,"1,166 ","39,954,543 ","4,837,900,931 ",121.1 
201807,부산광역시,전체(시 / 군 / 구),산업용,"25,113 ","737,417,811 ","95,559,670,586 ",129.6 
201807,부산광역시,전체(시 / 군 / 구),농사용,"11,116 ","8,635,870 ","414,244,469 ",48.0 
201807,부산광역시,전체(시 / 군 / 구),가로등,"82,665 ","12,774,099 ","1,512,470,198 ",118.4 
201807,부산광역시,전체(시 / 군 / 구),심 야,"21,261 ","15,970,177 ","1,043,807,259 ",65.4 
201808,부산광역시,전체(시 / 군 / 구),주택용,"954,180 ","567,512,791 ","63,500,508,577 ",111.9 
201808,부산광역시,전체(시 / 군 / 구),일반용,"187,001 ","724,170,597 ","101,480,090,197 ",140.1 
201808,부산광역시,전체(시 / 군 / 구),교육용,"1,169 ","42,816,548 ","5,262,376,581 ",122.9 
201808,부산광역시,전체(시 / 군 / 구),산업용,"25,117 ","723,852,632 ","94,064,128,540 ",129.9 
201808,부산광역시,전체(시 / 군 / 구),농사용,"11,157 ","9,147,997 ","460,596,816 ",50.3 
201808,부산광역시,전체(시 / 군 / 구),가로등,"82,747 ","13,226,466 ","1,531,556,045 ",115.8 
201808,부산광역시,전체(시 / 군 / 구),심 야,"21,178 ","14,856,146 ","1,004,464,955 ",67.6 
201809,부산광역시,전체(시 / 군 / 구),주택용,"954,186 ","429,602,504 ","40,934,839,123 ",95.3 
201809,부산광역시,전체(시 / 군 / 구),일반용,"186,950 ","606,440,245 ","75,933,288,937 ",125.2 
201809,부산광역시,전체(시 / 군 / 구),교육용,"1,167 ","42,229,089 ","4,611,019,216 ",109.2 
201809,부산광역시,전체(시 / 군 / 구),산업용,"25,107 ","728,841,716 ","77,292,842,929 ",106.0 
201809,부산광역시,전체(시 / 군 / 구),농사용,"11,206 ","9,228,351 ","443,537,818 ",48.1 
201809,부산광역시,전체(시 / 군 / 구),가로등,"82,883 ","14,109,814 ","1,592,109,552 ",112.8 
201809,부산광역시,전체(시 / 군 / 구),심 야,"21,090 ","11,481,716 ","737,165,150 ",64.2 
201810,부산광역시,전체(시 / 군 / 구),주택용,"953,951 ","352,945,248 ","34,342,846,796 ",97.3 
201810,부산광역시,전체(시 / 군 / 구),일반용,"186,732 ","476,056,239 ","56,036,917,509 ",117.7 
201810,부산광역시,전체(시 / 군 / 구),교육용,"1,167 ","31,223,217 ","3,031,479,567 ",97.1 
201810,부산광역시,전체(시 / 군 / 구),산업용,"25,100 ","710,325,065 ","72,491,416,762 ",102.1 
201810,부산광역시,전체(시 / 군 / 구),농사용,"11,248 ","8,069,857 ","397,409,034 ",49.2 
201810,부산광역시,전체(시 / 군 / 구),가로등,"82,992 ","14,857,851 ","1,627,360,415 ",109.5 
201810,부산광역시,전체(시 / 군 / 구),심 야,"21,012 ","11,810,979 ","718,436,655 ",60.8 
201811,부산광역시,전체(시 / 군 / 구),주택용,"954,412 ","366,252,923 ","37,117,315,803 ",101.3 
201811,부산광역시,전체(시 / 군 / 구),일반용,"186,732 ","469,130,851 ","63,462,008,168 ",135.3 
201811,부산광역시,전체(시 / 군 / 구),교육용,"1,167 ","33,840,379 ","3,540,862,402 ",104.6 
201811,부산광역시,전체(시 / 군 / 구),산업용,"25,098 ","726,844,443 ","89,315,534,047 ",122.9 
201811,부산광역시,전체(시 / 군 / 구),농사용,"11,410 ","8,184,556 ","421,975,940 ",51.6 
201811,부산광역시,전체(시 / 군 / 구),가로등,"82,783 ","15,734,800 ","1,690,208,621 ",107.4 
201811,부산광역시,전체(시 / 군 / 구),심 야,"20,956 ","19,631,199 ","1,290,617,863 ",65.7 
201812,부산광역시,전체(시 / 군 / 구),주택용,"953,994 ","387,327,373 ","40,734,240,069 ",105.2 
201812,부산광역시,전체(시 / 군 / 구),일반용,"186,932 ","529,330,781 ","74,460,738,494 ",140.7 
201812,부산광역시,전체(시 / 군 / 구),교육용,"1,168 ","44,669,062 ","4,785,350,504 ",107.1 
201812,부산광역시,전체(시 / 군 / 구),산업용,"25,072 ","705,211,567 ","88,281,490,257 ",125.2 
201812,부산광역시,전체(시 / 군 / 구),농사용,"11,350 ","9,519,771 ","490,410,985 ",51.5 
201812,부산광역시,전체(시 / 군 / 구),가로등,"82,837 ","17,034,542 ","1,791,632,972 ",105.2 
201812,부산광역시,전체(시 / 군 / 구),심 야,"20,842 ","30,463,675 ","2,323,759,801 ",76.3 
합계,합계,합계,합계,"7,694,589","10,719,924,652","1,282,464,764,960",119.6
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,부산광역시,강서구,가로등,"5,491 ","2,085,795 ","251,521,263 ",120.6 
201807,부산광역시,강서구,교육용,52 ,"794,197 ","96,902,145 ",122 
201807,부산광역시,강서구,농사용,"5,136 ","4,679,045 ","212,867,418 ",45.5 
201807,부산광역시,강서구,산업용,"5,828 ","294,748,418 ","37,518,789,255 ",127.3 
201807,부산광역시,강서구,심 야,"1,733 ","705,007 ","41,059,457 ",58.2 
