계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 전라남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 07 월 ~ 2018년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,전라남도,전체(시 / 군 / 구),주택용,"738,996 ","202,361,028 ","21,560,823,893 ",106.5 
201807,전라남도,전체(시 / 군 / 구),일반용,"147,094 ","318,867,931 ","47,574,850,785 ",149.2 
201807,전라남도,전체(시 / 군 / 구),교육용,"1,334 ","25,632,484 ","3,139,093,987 ",122.5 
201807,전라남도,전체(시 / 군 / 구),산업용,"20,459 ","1,953,862,735 ","210,149,194,875 ",107.6 
201807,전라남도,전체(시 / 군 / 구),농사용,"277,532 ","264,042,378 ","12,294,839,973 ",46.6 
201807,전라남도,전체(시 / 군 / 구),가로등,"154,164 ","17,203,201 ","2,128,518,756 ",123.7 
201807,전라남도,전체(시 / 군 / 구),심 야,"45,609 ","17,321,190 ","1,001,775,171 ",57.8 
201808,전라남도,전체(시 / 군 / 구),주택용,"739,681 ","280,176,619 ","31,054,279,199 ",110.8 
201808,전라남도,전체(시 / 군 / 구),일반용,"147,512 ","400,463,313 ","56,642,688,904 ",141.4 
201808,전라남도,전체(시 / 군 / 구),교육용,"1,331 ","26,634,103 ","3,336,422,664 ",125.3 
201808,전라남도,전체(시 / 군 / 구),산업용,"20,507 ","1,993,239,887 ","213,675,253,336 ",107.2 
201808,전라남도,전체(시 / 군 / 구),농사용,"278,882 ","349,816,652 ","15,678,460,414 ",44.8 
201808,전라남도,전체(시 / 군 / 구),가로등,"154,486 ","19,023,381 ","2,247,355,847 ",118.1 
201808,전라남도,전체(시 / 군 / 구),심 야,"45,457 ","13,533,692 ","807,978,869 ",59.7 
201809,전라남도,전체(시 / 군 / 구),주택용,"740,542 ","225,064,800 ","20,148,492,665 ",89.5 
201809,전라남도,전체(시 / 군 / 구),일반용,"147,648 ","339,626,724 ","44,482,005,041 ",131.0 
201809,전라남도,전체(시 / 군 / 구),교육용,"1,331 ","27,141,969 ","3,121,410,352 ",115.0 
201809,전라남도,전체(시 / 군 / 구),산업용,"20,518 ","1,976,641,497 ","168,531,629,679 ",85.3 
201809,전라남도,전체(시 / 군 / 구),농사용,"279,838 ","300,545,870 ","13,915,631,206 ",46.3 
201809,전라남도,전체(시 / 군 / 구),가로등,"155,076 ","19,077,286 ","2,201,708,611 ",115.4 
201809,전라남도,전체(시 / 군 / 구),심 야,"45,338 ","13,750,729 ","804,261,421 ",58.5 
201810,전라남도,전체(시 / 군 / 구),주택용,"741,122 ","183,839,067 ","18,233,499,125 ",99.2 
201810,전라남도,전체(시 / 군 / 구),일반용,"147,847 ","268,035,991 ","32,257,571,018 ",120.3 
201810,전라남도,전체(시 / 군 / 구),교육용,"1,331 ","19,315,303 ","1,923,662,430 ",99.6 
201810,전라남도,전체(시 / 군 / 구),산업용,"20,549 ","1,873,504,566 ","162,159,590,142 ",86.6 
201810,전라남도,전체(시 / 군 / 구),농사용,"280,556 ","252,139,238 ","11,994,313,985 ",47.6 
201810,전라남도,전체(시 / 군 / 구),가로등,"157,723 ","20,182,593 ","2,210,553,457 ",109.5 
201810,전라남도,전체(시 / 군 / 구),심 야,"45,215 ","22,547,752 ","1,259,519,299 ",55.9 
201811,전라남도,전체(시 / 군 / 구),주택용,"742,745 ","194,924,411 ","20,335,013,880 ",104.3 
201811,전라남도,전체(시 / 군 / 구),일반용,"148,067 ","282,166,294 ","36,793,297,075 ",130.4 
201811,전라남도,전체(시 / 군 / 구),교육용,"1,328 ","23,890,689 ","2,489,711,282 ",104.2 
201811,전라남도,전체(시 / 군 / 구),산업용,"20,579 ","1,664,091,913 ","184,777,047,040 ",111.0 
201811,전라남도,전체(시 / 군 / 구),농사용,"400,813 ","371,633,987 ","15,702,523,245 ",42.3 
201811,전라남도,전체(시 / 군 / 구),가로등,"157,619 ","21,100,946 ","2,258,842,233 ",107.0 
201811,전라남도,전체(시 / 군 / 구),심 야,"45,102 ","44,220,169 ","2,798,423,643 ",63.3 
201812,전라남도,전체(시 / 군 / 구),주택용,"743,689 ","204,250,207 ","21,701,867,951 ",106.3 
201812,전라남도,전체(시 / 군 / 구),일반용,"148,400 ","318,352,969 ","44,744,420,482 ",140.5 
201812,전라남도,전체(시 / 군 / 구),교육용,"1,330 ","31,542,320 ","3,349,892,725 ",106.2 
201812,전라남도,전체(시 / 군 / 구),산업용,"20,613 ","1,833,480,662 ","195,077,535,591 ",106.4 
201812,전라남도,전체(시 / 군 / 구),농사용,"304,975 ","317,260,017 ","14,944,721,562 ",47.1 
201812,전라남도,전체(시 / 군 / 구),가로등,"159,229 ","21,468,208 ","2,240,398,600 ",104.4 
201812,전라남도,전체(시 / 군 / 구),심 야,"44,970 ","65,996,606 ","4,948,447,116 ",75.0 
합계,합계,합계,합계,"8,497,137","16,817,971,377","1,656,697,527,529",98.5
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,전라남도,강진군,가로등,"4,697 ","375,275 ","44,785,165 ",119.3 
201807,전라남도,강진군,교육용,38 ,"540,876 ","57,572,022 ",106.4 
201807,전라남도,강진군,농사용,"9,467 ","9,059,491 ","436,916,841 ",48.2 
201807,전라남도,강진군,산업용,582 ,"4,671,183 ","626,889,658 ",134.2 
201807,전라남도,강진군,심 야,"1,507 ","470,681 ","27,798,125 ",59.1 
201807,전라남도,강진군,일반용,"3,059 ","5,315,863 ","821,845,690 ",154.6 
201807,전라남도,강진군,주택용,"19,774 ","3,555,056 ","375,481,370 ",105.6 
201807,전라남도,강진군,합계,"39,124 ","23,988,425 ","2,391,288,871 ",99.7 
201807,전라남도,고흥군,가로등,"11,649 ","490,753 ","63,736,144 ",129.9 
201807,전라남도,고흥군,교육용,68 ,"757,909 ","97,425,072 ",128.5 
201807,전라남도,고흥군,농사용,"20,017 ","10,921,555 ","524,178,477 ",48 
201807,전라남도,고흥군,산업용,"1,269 ","5,098,112 ","749,623,803 ",147 
201807,전라남도,고흥군,심 야,"1,724 ","750,933 ","42,928,418 ",57.2 
201807,전라남도,고흥군,일반용,"5,521 ","8,105,988 ","1,236,152,773 ",152.5 
201807,전라남도,고흥군,주택용,"40,228 ","6,983,902 ","750,448,903 ",107.5 
201807,전라남도,고흥군,합계,"80,476 ","33,109,152 ","3,464,493,590 ",104.6 
201807,전라남도,곡성군,가로등,"5,963 ","460,630 ","57,365,995 ",124.5 
201807,전라남도,곡성군,교육용,27 ,"615,994 ","81,501,769 ",132.3 
201807,전라남도,곡성군,농사용,"8,285 ","4,871,374 ","230,827,791 ",47.4 
201807,전라남도,곡성군,산업용,452 ,"22,450,761 ","2,375,081,395 ",105.8 
201807,전라남도,곡성군,심 야,"1,423 ","432,642 ","23,954,296 ",55.4 
201807,전라남도,곡성군,일반용,"2,164 ","4,207,688 ","629,878,892 ",149.7 
201807,전라남도,곡성군,주택용,"16,536 ","2,753,546 ","284,581,104 ",103.4 
201807,전라남도,곡성군,합계,"34,850 ","35,792,635 ","3,683,191,242 ",102.9 
201807,전라남도,광양시,가로등,"7,320 ","728,068 ","95,607,372 ",131.3 
201807,전라남도,광양시,교육용,76 ,"1,723,984 ","213,580,542 ",123.9 
201807,전라남도,광양시,농사용,"8,626 ","2,365,793 ","137,854,884 ",58.3 
201807,전라남도,광양시,산업용,"1,004 ","380,682,232 ","33,886,790,339 ",89 
201807,전라남도,광양시,심 야,"1,815 ","603,588 ","32,992,384 ",54.7 
201807,전라남도,광양시,일반용,"10,911 ","23,333,192 ","3,545,517,603 ",152 
201807,전라남도,광양시,주택용,"49,078 ","16,808,194 ","1,762,290,698 ",104.8 
201807,전라남도,광양시,합계,"78,830 ","426,245,051 ","39,674,633,822 ",93.1 
201807,전라남도,구례군,가로등,"4,188 ","346,167 ","44,720,791 ",129.2 
201807,전라남도,구례군,교육용,26 ,"243,387 ","32,478,888 ",133.4 
201807,전라남도,구례군,농사용,"8,226 ","2,819,178 ","137,635,251 ",48.8 
201807,전라남도,구례군,산업용,353 ,"2,067,817 ","302,807,159 ",146.4 
201807,전라남도,구례군,심 야,"1,100 ","459,816 ","25,267,436 ",55 
201807,전라남도,구례군,일반용,"2,585 ","5,068,322 ","777,068,031 ",153.3 
201807,전라남도,구례군,주택용,"14,448 ","2,595,783 ","267,393,566 ",103 
201807,전라남도,구례군,합계,"30,926 ","13,600,470 ","1,587,371,122 ",116.7 
201807,전라남도,나주시,가로등,"7,147 ","1,832,735 ","225,659,458 ",123.1 
201807,전라남도,나주시,교육용,75 ,"1,947,884 ","241,700,048 ",124.1 
201807,전라남도,나주시,농사용,"21,182 ","20,467,100 ","959,096,477 ",46.9 
201807,전라남도,나주시,산업용,"1,336 ","42,876,013 ","5,452,074,902 ",127.2 
201807,전라남도,나주시,심 야,"2,567 ","963,266 ","59,555,159 ",61.8 
201807,전라남도,나주시,일반용,"7,243 ","25,131,270 ","3,632,507,522 ",144.5 
