계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 전라북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 07 월 ~ 2018년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,전라북도,전체(시 / 군 / 구),주택용,"648,502 ","202,962,337 ","21,410,813,373 ",105.5 
201807,전라북도,전체(시 / 군 / 구),일반용,"137,961 ","319,994,140 ","47,879,179,731 ",149.6 
201807,전라북도,전체(시 / 군 / 구),교육용,"1,230 ","29,370,839 ","3,619,528,023 ",123.2 
201807,전라북도,전체(시 / 군 / 구),산업용,"15,061 ","1,064,729,949 ","125,054,901,740 ",117.5 
201807,전라북도,전체(시 / 군 / 구),농사용,"146,584 ","124,533,049 ","5,919,982,457 ",47.5 
201807,전라북도,전체(시 / 군 / 구),가로등,"136,168 ","14,941,281 ","1,823,941,375 ",122.1 
201807,전라북도,전체(시 / 군 / 구),심 야,"63,813 ","20,556,155 ","1,200,054,934 ",58.4 
201808,전라북도,전체(시 / 군 / 구),주택용,"648,544 ","292,456,961 ","33,437,901,054 ",114.3 
201808,전라북도,전체(시 / 군 / 구),일반용,"138,283 ","400,430,216 ","56,798,242,610 ",141.8 
201808,전라북도,전체(시 / 군 / 구),교육용,"1,230 ","31,748,816 ","3,939,838,436 ",124.1 
201808,전라북도,전체(시 / 군 / 구),산업용,"15,118 ","1,059,012,398 ","123,600,346,703 ",116.7 
201808,전라북도,전체(시 / 군 / 구),농사용,"147,600 ","179,417,705 ","8,009,940,864 ",44.6 
201808,전라북도,전체(시 / 군 / 구),가로등,"136,663 ","16,126,880 ","1,881,779,922 ",116.7 
201808,전라북도,전체(시 / 군 / 구),심 야,"63,232 ","16,104,122 ","964,103,113 ",59.9 
201809,전라북도,전체(시 / 군 / 구),주택용,"649,246 ","230,666,807 ","19,968,541,434 ",86.6 
201809,전라북도,전체(시 / 군 / 구),일반용,"138,496 ","332,604,101 ","43,592,792,181 ",131.1 
201809,전라북도,전체(시 / 군 / 구),교육용,"1,230 ","29,246,749 ","3,343,392,817 ",114.3 
201809,전라북도,전체(시 / 군 / 구),산업용,"15,147 ","1,115,230,403 ","100,799,924,381 ",90.4 
201809,전라북도,전체(시 / 군 / 구),농사용,"148,543 ","143,211,495 ","6,820,158,418 ",47.6 
201809,전라북도,전체(시 / 군 / 구),가로등,"137,004 ","16,551,394 ","1,876,308,588 ",113.4 
201809,전라북도,전체(시 / 군 / 구),심 야,"62,851 ","16,562,277 ","957,256,687 ",57.8 
201810,전라북도,전체(시 / 군 / 구),주택용,"650,012 ","183,701,248 ","18,007,533,975 ",98.0 
201810,전라북도,전체(시 / 군 / 구),일반용,"138,432 ","259,964,222 ","31,772,674,103 ",122.2 
201810,전라북도,전체(시 / 군 / 구),교육용,"1,229 ","22,458,172 ","2,211,947,046 ",98.5 
201810,전라북도,전체(시 / 군 / 구),산업용,"15,178 ","1,172,753,988 ","102,890,030,332 ",87.7 
201810,전라북도,전체(시 / 군 / 구),농사용,"149,117 ","112,763,083 ","5,669,221,799 ",50.3 
201810,전라북도,전체(시 / 군 / 구),가로등,"137,119 ","17,864,486 ","1,909,147,904 ",106.9 
201810,전라북도,전체(시 / 군 / 구),심 야,"62,679 ","30,772,933 ","1,696,822,661 ",55.1 
201811,전라북도,전체(시 / 군 / 구),주택용,"651,062 ","195,410,988 ","20,132,330,510 ",103.0 
201811,전라북도,전체(시 / 군 / 구),일반용,"138,720 ","278,127,805 ","36,881,681,284 ",132.6 
201811,전라북도,전체(시 / 군 / 구),교육용,"1,228 ","28,692,861 ","3,034,886,845 ",105.8 
201811,전라북도,전체(시 / 군 / 구),산업용,"15,220 ","1,128,932,989 ","125,774,506,579 ",111.4 
201811,전라북도,전체(시 / 군 / 구),농사용,"220,982 ","176,341,522 ","7,467,194,282 ",42.3 
201811,전라북도,전체(시 / 군 / 구),가로등,"137,215 ","18,978,840 ","1,982,292,178 ",104.4 
201811,전라북도,전체(시 / 군 / 구),심 야,"62,523 ","66,227,813 ","4,149,866,446 ",62.7 
201812,전라북도,전체(시 / 군 / 구),주택용,"652,203 ","206,451,799 ","21,715,668,660 ",105.2 
201812,전라북도,전체(시 / 군 / 구),일반용,"138,984 ","321,459,290 ","44,657,189,265 ",138.9 
201812,전라북도,전체(시 / 군 / 구),교육용,"1,229 ","39,396,516 ","4,064,883,725 ",103.2 
201812,전라북도,전체(시 / 군 / 구),산업용,"15,251 ","1,121,290,975 ","124,183,726,598 ",110.8 
201812,전라북도,전체(시 / 군 / 구),농사용,"185,860 ","168,062,427 ","7,514,776,297 ",44.7 
201812,전라북도,전체(시 / 군 / 구),가로등,"137,453 ","19,593,803 ","1,987,877,235 ",101.5 
201812,전라북도,전체(시 / 군 / 구),심 야,"62,359 ","101,510,082 ","7,525,178,011 ",74.1 
합계,합계,합계,합계,"7,026,561","11,327,213,916","1,188,128,364,576",104.9
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,전라북도,고창군,가로등,"4,080 ","862,783 ","108,317,521 ",125.5 
201807,전라북도,고창군,교육용,58 ,"649,776 ","82,968,028 ",127.7 
201807,전라북도,고창군,농사용,"14,470 ","19,561,225 ","925,421,003 ",47.3 
201807,전라북도,고창군,산업용,657 ,"7,382,841 ","1,038,498,499 ",140.7 
