계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경기도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2019년 01 월 ~ 2019년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201901,경기도,전체(시 / 군 / 구),주택용,"2,952,877 ","1,648,746,881 ","189,612,267,144 ",115.0 
201901,경기도,전체(시 / 군 / 구),일반용,"675,870 ","2,905,203,839 ","380,297,058,985 ",130.9 
201901,경기도,전체(시 / 군 / 구),교육용,"4,464 ","201,737,546 ","19,403,834,800 ",96.2 
201901,경기도,전체(시 / 군 / 구),산업용,"128,402 ","6,029,833,569 ","707,519,310,885 ",117.3 
201901,경기도,전체(시 / 군 / 구),농사용,"222,091 ","279,062,272 ","13,262,841,229 ",47.5 
201901,경기도,전체(시 / 군 / 구),가로등,"346,116 ","82,663,229 ","8,970,562,632 ",108.5 
201901,경기도,전체(시 / 군 / 구),심 야,"145,188 ","463,153,082 ","34,947,861,689 ",75.5 
201902,경기도,전체(시 / 군 / 구),주택용,"2,956,861 ","1,612,890,012 ","183,046,086,913 ",113.5 
201902,경기도,전체(시 / 군 / 구),일반용,"676,969 ","2,713,684,192 ","354,982,808,480 ",130.8 
201902,경기도,전체(시 / 군 / 구),교육용,"4,491 ","152,986,485 ","15,621,385,810 ",102.1 
201902,경기도,전체(시 / 군 / 구),산업용,"128,654 ","5,441,044,947 ","636,916,368,163 ",117.1 
201902,경기도,전체(시 / 군 / 구),농사용,"222,146 ","270,639,905 ","12,872,926,781 ",47.6 
201902,경기도,전체(시 / 군 / 구),가로등,"356,878 ","78,629,254 ","8,869,747,328 ",112.8 
201902,경기도,전체(시 / 군 / 구),심 야,"144,720 ","442,305,180 ","33,381,719,859 ",75.5 
201903,경기도,전체(시 / 군 / 구),주택용,"2,960,388 ","1,412,234,802 ","145,759,599,318 ",103.2 
201903,경기도,전체(시 / 군 / 구),일반용,"677,348 ","2,316,434,134 ","282,859,344,990 ",122.1 
201903,경기도,전체(시 / 군 / 구),교육용,"4,485 ","144,914,381 ","14,586,616,080 ",100.7 
201903,경기도,전체(시 / 군 / 구),산업용,"128,834 ","5,583,654,944 ","550,319,755,496 ",98.6 
201903,경기도,전체(시 / 군 / 구),농사용,"283,326 ","214,776,002 ","10,447,126,937 ",48.6 
201903,경기도,전체(시 / 군 / 구),가로등,"349,200 ","71,544,849 ","8,205,570,918 ",114.7 
201903,경기도,전체(시 / 군 / 구),심 야,"144,403 ","326,388,787 ","21,843,298,343 ",66.9 
201904,경기도,전체(시 / 군 / 구),주택용,"2,965,952 ","1,475,808,639 ","155,802,099,353 ",105.6 
201904,경기도,전체(시 / 군 / 구),일반용,"678,692 ","2,235,913,080 ","254,611,577,238 ",113.9 
201904,경기도,전체(시 / 군 / 구),교육용,"4,485 ","139,192,681 ","12,713,493,493 ",91.3 
201904,경기도,전체(시 / 군 / 구),산업용,"129,110 ","5,542,616,411 ","536,365,707,989 ",96.8 
201904,경기도,전체(시 / 군 / 구),농사용,"241,499 ","205,085,195 ","9,899,295,818 ",48.3 
201904,경기도,전체(시 / 군 / 구),가로등,"349,801 ","70,367,519 ","8,296,059,070 ",117.9 
201904,경기도,전체(시 / 군 / 구),심 야,"143,992 ","279,732,607 ","15,403,689,910 ",55.1 
201905,경기도,전체(시 / 군 / 구),주택용,"2,969,412 ","1,373,958,913 ","139,150,648,687 ",101.3 
201905,경기도,전체(시 / 군 / 구),일반용,"679,610 ","2,082,021,459 ","243,891,506,180 ",117.1 
201905,경기도,전체(시 / 군 / 구),교육용,"4,476 ","102,629,110 ","9,868,676,978 ",96.2 
201905,경기도,전체(시 / 군 / 구),산업용,"129,286 ","5,431,512,259 ","526,640,370,160 ",97.0 
201905,경기도,전체(시 / 군 / 구),농사용,"225,421 ","192,564,499 ","9,047,495,061 ",47.0 
201905,경기도,전체(시 / 군 / 구),가로등,"351,453 ","65,833,990 ","7,985,965,813 ",121.3 
201905,경기도,전체(시 / 군 / 구),심 야,"143,532 ","168,260,316 ","9,472,445,915 ",56.3 
201906,경기도,전체(시 / 군 / 구),주택용,"2,973,764 ","1,397,163,814 ","144,883,852,723 ",103.7 
201906,경기도,전체(시 / 군 / 구),일반용,"681,515 ","2,228,784,445 ","296,951,194,063 ",133.2 
201906,경기도,전체(시 / 군 / 구),교육용,"4,492 ","108,971,041 ","12,634,253,361 ",115.9 
201906,경기도,전체(시 / 군 / 구),산업용,"129,417 ","5,417,471,310 ","635,734,485,786 ",117.3 
201906,경기도,전체(시 / 군 / 구),농사용,"226,441 ","192,039,298 ","9,069,492,259 ",47.2 
201906,경기도,전체(시 / 군 / 구),가로등,"352,453 ","63,040,111 ","7,847,947,897 ",124.5 
201906,경기도,전체(시 / 군 / 구),심 야,"143,055 ","98,284,254 ","5,768,871,778 ",58.7 
합계,합계,합계,합계,"27,041,569","61,263,779,243","6,685,765,222,312",109.1
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201901,경기도,가평군,가로등,"9,484 ","862,479 ","89,042,979 ",103.2 
201901,경기도,가평군,교육용,47 ,"1,469,747 ","137,270,921 ",93.4 
201901,경기도,가평군,농사용,"7,168 ","3,338,328 ","170,882,333 ",51.2 
201901,경기도,가평군,산업용,"1,139 ","8,449,334 ","1,112,788,558 ",131.7 
201901,경기도,가평군,심 야,"5,841 ","20,112,899 ","1,513,354,186 ",75.2 
201901,경기도,가평군,일반용,"10,361 ","36,883,784 ","4,725,163,938 ",128.1 
201901,경기도,가평군,주택용,"32,128 ","7,759,219 ","1,004,947,266 ",129.5 
201901,경기도,가평군,합계,"66,168 ","78,875,790 ","8,753,450,181 ",111 
201901,경기도,고양시,가로등,"17,447 ","4,873,141 ","531,483,605 ",109.1 
201901,경기도,고양시,교육용,336 ,"12,062,993 ","1,178,855,090 ",97.7 
201901,경기도,고양시,농사용,"12,492 ","27,602,122 ","1,298,271,496 ",47 
201901,경기도,고양시,산업용,"5,582 ","77,111,050 ","9,440,227,319 ",122.4 
201901,경기도,고양시,심 야,"5,750 ","16,381,838 ","1,246,293,507 ",76.1 
201901,경기도,고양시,일반용,"41,254 ","198,690,045 ","26,128,221,205 ",131.5 
201901,경기도,고양시,주택용,"154,559 ","128,397,597 ","14,883,223,847 ",115.9 
201901,경기도,고양시,합계,"237,420 ","465,118,786 ","54,706,576,069 ",117.6 
201901,경기도,과천시,가로등,694 ,"584,918 ","65,603,157 ",112.2 
201901,경기도,과천시,교육용,25 ,"1,601,021 ","173,065,989 ",108.1 
201901,경기도,과천시,농사용,"1,190 ","1,265,436 ","60,042,916 ",47.4 
201901,경기도,과천시,산업용,84 ,"3,665,124 ","428,940,729 ",117 
201901,경기도,과천시,심 야,246 ,"347,944 ","29,525,259 ",84.9 
201901,경기도,과천시,일반용,"2,382 ","23,393,018 ","2,974,890,770 ",127.2 
201901,경기도,과천시,주택용,"10,893 ","6,159,640 ","743,996,157 ",120.8 
201901,경기도,과천시,합계,"15,514 ","37,017,101 ","4,476,064,977 ",120.9 
201901,경기도,광명시,가로등,"4,405 ","1,446,420 ","151,995,282 ",105.1 
201901,경기도,광명시,교육용,90 ,"2,680,675 ","264,938,432 ",98.8 
201901,경기도,광명시,농사용,"1,510 ","942,237 ","45,881,857 ",48.7 
201901,경기도,광명시,산업용,"1,104 ","25,663,426 ","3,134,370,902 ",122.1 
201901,경기도,광명시,심 야,873 ,"2,357,216 ","181,258,405 ",76.9 
201901,경기도,광명시,일반용,"11,344 ","42,517,912 ","5,743,718,329 ",135.1 
201901,경기도,광명시,주택용,"58,975 ","34,488,531 ","3,808,650,734 ",110.4 
201901,경기도,광명시,합계,"78,301 ","110,096,417 ","13,330,813,941 ",121.1 
201901,경기도,광주시,가로등,"12,903 ","2,656,957 ","290,310,103 ",109.3 
201901,경기도,광주시,교육용,114 ,"3,925,386 ","372,121,883 ",94.8 
201901,경기도,광주시,농사용,"7,916 ","7,778,609 ","377,471,200 ",48.5 
201901,경기도,광주시,산업용,"7,765 ","114,197,802 ","14,016,259,493 ",122.7 
201901,경기도,광주시,심 야,"6,861 ","24,498,527 ","1,861,014,528 ",76 
201901,경기도,광주시,일반용,"26,261 ","73,706,723 ","9,611,452,330 ",130.4 
201901,경기도,광주시,주택용,"124,380 ","46,177,405 ","5,622,153,978 ",121.8 
201901,경기도,광주시,합계,"186,200 ","272,941,409 ","32,150,783,515 ",117.8 
201901,경기도,구리시,가로등,"3,374 ","969,792 ","108,220,406 ",111.6 
201901,경기도,구리시,교육용,59 ,"1,703,965 ","169,927,900 ",99.7 
201901,경기도,구리시,농사용,861 ,"663,138 ","32,754,012 ",49.4 
201901,경기도,구리시,산업용,"1,004 ","11,091,037 ","1,363,441,769 ",122.9 
201901,경기도,구리시,심 야,248 ,"620,625 ","48,044,997 ",77.4 
201901,경기도,구리시,일반용,"10,627 ","39,542,221 ","5,195,295,580 ",131.4 
201901,경기도,구리시,주택용,"37,984 ","24,309,289 ","2,741,537,366 ",112.8 
201901,경기도,구리시,합계,"54,157 ","78,900,067 ","9,659,222,030 ",122.4 
201901,경기도,군포시,가로등,"1,937 ","1,289,720 ","146,405,931 ",113.5 
