계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대구광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2019년 01 월 ~ 2019년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201901,대구광역시,전체(시 / 군 / 구),주택용,"672,270 ","300,430,980 ","32,659,193,023 ",108.7 
201901,대구광역시,전체(시 / 군 / 구),일반용,"153,370 ","451,209,327 ","59,826,027,258 ",132.6 
201901,대구광역시,전체(시 / 군 / 구),교육용,835 ,"36,522,194 ","3,773,064,481 ",103.3 
201901,대구광역시,전체(시 / 군 / 구),산업용,"20,748 ","593,712,113 ","71,800,135,879 ",120.9 
201901,대구광역시,전체(시 / 군 / 구),농사용,"14,141 ","7,818,018 ","390,155,339 ",49.9 
201901,대구광역시,전체(시 / 군 / 구),가로등,"61,340 ","12,624,354 ","1,325,209,057 ",105.0 
201901,대구광역시,전체(시 / 군 / 구),심 야,"18,875 ","34,795,310 ","2,616,666,908 ",75.2 
201902,대구광역시,전체(시 / 군 / 구),주택용,"672,073 ","296,215,763 ","31,954,095,072 ",107.9 
201902,대구광역시,전체(시 / 군 / 구),일반용,"153,310 ","421,783,799 ","56,265,976,388 ",133.4 
201902,대구광역시,전체(시 / 군 / 구),교육용,835 ,"30,817,130 ","3,320,014,744 ",107.7 
201902,대구광역시,전체(시 / 군 / 구),산업용,"20,730 ","525,314,770 ","64,471,147,701 ",122.7 
201902,대구광역시,전체(시 / 군 / 구),농사용,"14,156 ","7,835,011 ","392,118,125 ",50.0 
201902,대구광역시,전체(시 / 군 / 구),가로등,"61,298 ","11,891,361 ","1,292,121,065 ",108.7 
201902,대구광역시,전체(시 / 군 / 구),심 야,"18,797 ","33,378,299 ","2,509,713,678 ",75.2 
201903,대구광역시,전체(시 / 군 / 구),주택용,"671,783 ","257,691,787 ","25,164,172,148 ",97.7 
201903,대구광역시,전체(시 / 군 / 구),일반용,"153,111 ","350,067,483 ","44,593,849,525 ",127.4 
