계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 부산광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2019년 01 월 ~ 2019년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201901,부산광역시,전체(시 / 군 / 구),주택용,"954,734 ","425,251,567 ","47,759,125,486 ",112.3 
201901,부산광역시,전체(시 / 군 / 구),일반용,"187,246 ","605,121,700 ","82,102,565,063 ",135.7 
201901,부산광역시,전체(시 / 군 / 구),교육용,"1,165 ","46,277,265 ","4,972,156,945 ",107.4 
201901,부산광역시,전체(시 / 군 / 구),산업용,"25,047 ","759,467,776 ","94,170,341,496 ",124.0 
201901,부산광역시,전체(시 / 군 / 구),농사용,"11,372 ","12,802,314 ","622,880,233 ",48.7 
201901,부산광역시,전체(시 / 군 / 구),가로등,"83,213 ","17,221,671 ","1,817,315,199 ",105.5 
201901,부산광역시,전체(시 / 군 / 구),심 야,"20,749 ","40,669,674 ","3,083,131,388 ",75.8 
201902,부산광역시,전체(시 / 군 / 구),주택용,"954,610 ","420,976,468 ","46,987,359,352 ",111.6 
201902,부산광역시,전체(시 / 군 / 구),일반용,"187,301 ","567,072,823 ","77,284,185,921 ",136.3 
201902,부산광역시,전체(시 / 군 / 구),교육용,"1,171 ","41,183,425 ","4,524,178,034 ",109.9 
201902,부산광역시,전체(시 / 군 / 구),산업용,"25,052 ","655,771,401 ","83,142,252,079 ",126.8 
201902,부산광역시,전체(시 / 군 / 구),농사용,"11,382 ","12,558,810 ","613,144,097 ",48.8 
201902,부산광역시,전체(시 / 군 / 구),가로등,"82,865 ","16,495,852 ","1,803,886,019 ",109.4 
201902,부산광역시,전체(시 / 군 / 구),심 야,"20,675 ","39,649,581 ","3,006,112,837 ",75.8 
201903,부산광역시,전체(시 / 군 / 구),주택용,"954,863 ","363,540,446 ","36,498,157,757 ",100.4 
201903,부산광역시,전체(시 / 군 / 구),일반용,"187,181 ","486,796,953 ","62,128,943,203 ",127.6 
201903,부산광역시,전체(시 / 군 / 구),교육용,"1,171 ","37,769,385 ","3,897,842,057 ",103.2 
201903,부산광역시,전체(시 / 군 / 구),산업용,"25,050 ","709,199,946 ","75,200,530,328 ",106.0 
201903,부산광역시,전체(시 / 군 / 구),농사용,"11,546 ","9,339,112 ","475,987,361 ",51.0 
201903,부산광역시,전체(시 / 군 / 구),가로등,"82,830 ","15,666,993 ","1,723,994,421 ",110.0 
201903,부산광역시,전체(시 / 군 / 구),심 야,"20,599 ","29,723,775 ","2,005,767,561 ",67.5 
201904,부산광역시,전체(시 / 군 / 구),주택용,"955,380 ","383,248,991 ","39,625,757,897 ",103.4 
201904,부산광역시,전체(시 / 군 / 구),일반용,"187,075 ","487,305,402 ","57,278,726,131 ",117.5 
201904,부산광역시,전체(시 / 군 / 구),교육용,"1,163 ","38,721,740 ","3,462,745,120 ",89.4 
201904,부산광역시,전체(시 / 군 / 구),산업용,"25,051 ","711,122,998 ","72,943,716,406 ",102.6 
201904,부산광역시,전체(시 / 군 / 구),농사용,"11,499 ","8,814,189 ","456,463,652 ",51.8 
201904,부산광역시,전체(시 / 군 / 구),가로등,"82,965 ","14,669,092 ","1,665,002,814 ",113.5 
201904,부산광역시,전체(시 / 군 / 구),심 야,"20,519 ","25,351,906 ","1,431,462,714 ",56.5 
201905,부산광역시,전체(시 / 군 / 구),주택용,"955,317 ","355,929,263 ","35,043,275,896 ",98.5 
201905,부산광역시,전체(시 / 군 / 구),일반용,"187,252 ","471,433,488 ","56,183,065,204 ",119.2 
201905,부산광역시,전체(시 / 군 / 구),교육용,"1,162 ","31,741,642 ","2,950,129,621 ",92.9 
201905,부산광역시,전체(시 / 군 / 구),산업용,"25,045 ","697,287,794 ","71,828,681,786 ",103.0 
201905,부산광역시,전체(시 / 군 / 구),농사용,"11,498 ","7,595,573 ","397,854,921 ",52.4 
201905,부산광역시,전체(시 / 군 / 구),가로등,"82,939 ","13,931,066 ","1,610,948,735 ",115.6 
201905,부산광역시,전체(시 / 군 / 구),심 야,"20,395 ","18,148,995 ","1,057,664,711 ",58.3 
201906,부산광역시,전체(시 / 군 / 구),주택용,"955,340 ","359,253,568 ","35,677,326,432 ",99.3 
201906,부산광역시,전체(시 / 군 / 구),일반용,"187,339 ","508,789,648 ","68,796,743,786 ",135.2 
201906,부산광역시,전체(시 / 군 / 구),교육용,"1,164 ","34,050,296 ","3,742,085,370 ",109.9 
201906,부산광역시,전체(시 / 군 / 구),산업용,"25,058 ","696,294,712 ","85,575,605,019 ",122.9 
201906,부산광역시,전체(시 / 군 / 구),농사용,"11,504 ","8,084,818 ","410,211,259 ",50.7 
201906,부산광역시,전체(시 / 군 / 구),가로등,"82,938 ","13,185,172 ","1,566,990,233 ",118.8 
201906,부산광역시,전체(시 / 군 / 구),심 야,"20,310 ","13,411,554 ","846,126,777 ",63.1 
