계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 서울특별시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2019년 01 월 ~ 2019년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201901,서울특별시,전체(시 / 군 / 구),주택용,"2,812,509 ","1,215,959,644 ","139,236,936,373 ",114.5 
201901,서울특별시,전체(시 / 군 / 구),일반용,"543,555 ","2,483,534,502 ","327,737,441,115 ",132.0 
201901,서울특별시,전체(시 / 군 / 구),교육용,"2,677 ","192,509,275 ","18,696,805,980 ",97.1 
201901,서울특별시,전체(시 / 군 / 구),산업용,"45,237 ","464,109,345 ","58,101,376,865 ",125.2 
201901,서울특별시,전체(시 / 군 / 구),농사용,"1,830 ","1,766,111 ","85,025,751 ",48.1 
201901,서울특별시,전체(시 / 군 / 구),가로등,"189,118 ","31,453,044 ","3,279,403,750 ",104.3 
201901,서울특별시,전체(시 / 군 / 구),심 야,"14,857 ","27,556,740 ","2,316,833,294 ",84.1 
201902,서울특별시,전체(시 / 군 / 구),주택용,"2,815,090 ","1,181,266,412 ","132,971,980,352 ",112.6 
201902,서울특별시,전체(시 / 군 / 구),일반용,"544,126 ","2,277,814,558 ","303,602,861,528 ",133.3 
201902,서울특별시,전체(시 / 군 / 구),교육용,"2,682 ","169,268,908 ","16,836,421,133 ",99.5 
201902,서울특별시,전체(시 / 군 / 구),산업용,"45,170 ","442,186,825 ","54,877,810,745 ",124.1 
201902,서울특별시,전체(시 / 군 / 구),농사용,"1,818 ","1,625,257 ","79,164,056 ",48.7 
201902,서울특별시,전체(시 / 군 / 구),가로등,"189,580 ","29,458,138 ","3,211,307,042 ",109.0 
201902,서울특별시,전체(시 / 군 / 구),심 야,"14,781 ","26,079,307 ","2,195,154,592 ",84.2 
201903,서울특별시,전체(시 / 군 / 구),주택용,"2,819,040 ","1,033,985,585 ","105,783,792,977 ",102.3 
201903,서울특별시,전체(시 / 군 / 구),일반용,"543,897 ","1,954,979,989 ","241,269,192,558 ",123.4 
201903,서울특별시,전체(시 / 군 / 구),교육용,"2,681 ","144,792,350 ","14,068,782,311 ",97.2 
201903,서울특별시,전체(시 / 군 / 구),산업용,"45,171 ","399,569,458 ","45,317,576,109 ",113.4 
201903,서울특별시,전체(시 / 군 / 구),농사용,"2,088 ","1,422,734 ","68,970,794 ",48.5 
201903,서울특별시,전체(시 / 군 / 구),가로등,"189,857 ","26,870,332 ","2,965,426,899 ",110.4 
201903,서울특별시,전체(시 / 군 / 구),심 야,"14,717 ","21,033,422 ","1,625,849,632 ",77.3 
201904,서울특별시,전체(시 / 군 / 구),주택용,"2,822,986 ","1,080,012,750 ","112,770,220,970 ",104.4 
201904,서울특별시,전체(시 / 군 / 구),일반용,"544,042 ","1,913,747,906 ","220,941,484,078 ",115.4 
201904,서울특별시,전체(시 / 군 / 구),교육용,"2,675 ","140,164,169 ","12,310,673,321 ",87.8 
201904,서울특별시,전체(시 / 군 / 구),산업용,"45,147 ","408,216,810 ","43,254,275,119 ",106.0 
201904,서울특별시,전체(시 / 군 / 구),농사용,"1,822 ","1,352,941 ","65,988,638 ",48.8 
201904,서울특별시,전체(시 / 군 / 구),가로등,"190,842 ","25,844,500 ","2,963,387,964 ",114.7 
201904,서울특별시,전체(시 / 군 / 구),심 야,"14,633 ","22,204,309 ","1,702,553,216 ",76.7 
201905,서울특별시,전체(시 / 군 / 구),주택용,"2,825,223 ","1,005,638,641 ","100,616,787,798 ",100.1 
201905,서울특별시,전체(시 / 군 / 구),일반용,"543,746 ","1,848,014,607 ","216,254,412,272 ",117.0 
201905,서울특별시,전체(시 / 군 / 구),교육용,"2,657 ","114,224,918 ","10,262,199,570 ",89.8 
201905,서울특별시,전체(시 / 군 / 구),산업용,"45,134 ","390,954,203 ","42,225,414,944 ",108.0 
201905,서울특별시,전체(시 / 군 / 구),농사용,"1,828 ","1,263,677 ","62,485,068 ",49.4 
201905,서울특별시,전체(시 / 군 / 구),가로등,"191,242 ","23,837,698 ","2,818,229,153 ",118.2 
201905,서울특별시,전체(시 / 군 / 구),심 야,"14,524 ","36,052,968 ","2,684,392,859 ",74.5 
201906,서울특별시,전체(시 / 군 / 구),주택용,"2,827,601 ","1,044,560,387 ","108,415,418,383 ",103.8 
201906,서울특별시,전체(시 / 군 / 구),일반용,"543,726 ","2,025,575,252 ","271,811,812,650 ",134.2 
201906,서울특별시,전체(시 / 군 / 구),교육용,"2,667 ","127,547,235 ","13,734,458,508 ",107.7 
201906,서울특별시,전체(시 / 군 / 구),산업용,"45,094 ","405,694,306 ","50,462,748,554 ",124.4 
201906,서울특별시,전체(시 / 군 / 구),농사용,"1,832 ","1,256,571 ","63,878,423 ",50.8 
201906,서울특별시,전체(시 / 군 / 구),가로등,"191,583 ","22,717,497 ","2,764,971,565 ",121.7 
201906,서울특별시,전체(시 / 군 / 구),심 야,"14,444 ","48,695,909 ","3,601,299,203 ",74.0 
합계,합계,합계,합계,"21,713,929","22,814,819,190","2,694,115,206,112",118.1
,,,,,,,
