계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 인천광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2019년 01 월 ~ 2019년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201901,인천광역시,전체(시 / 군 / 구),주택용,"751,670 ","374,069,001 ","42,691,282,855 ",114.1 
201901,인천광역시,전체(시 / 군 / 구),일반용,"137,156 ","600,481,031 ","78,366,311,520 ",130.5 
201901,인천광역시,전체(시 / 군 / 구),교육용,"1,006 ","40,663,704 ","4,019,027,494 ",98.8 
201901,인천광역시,전체(시 / 군 / 구),산업용,"19,382 ","1,224,965,166 ","143,802,692,459 ",117.4 
201901,인천광역시,전체(시 / 군 / 구),농사용,"24,293 ","12,070,855 ","611,545,567 ",50.7 
201901,인천광역시,전체(시 / 군 / 구),가로등,"68,240 ","17,116,731 ","1,848,541,602 ",108.0 
201901,인천광역시,전체(시 / 군 / 구),심 야,"15,735 ","39,757,042 ","2,903,357,867 ",73.0 
201902,인천광역시,전체(시 / 군 / 구),주택용,"751,962 ","365,946,248 ","41,194,036,416 ",112.6 
201902,인천광역시,전체(시 / 군 / 구),일반용,"137,191 ","553,857,425 ","72,708,775,921 ",131.3 
201902,인천광역시,전체(시 / 군 / 구),교육용,"1,004 ","32,871,961 ","3,522,245,567 ",107.2 
201902,인천광역시,전체(시 / 군 / 구),산업용,"19,418 ","1,008,592,370 ","120,338,902,934 ",119.3 
201902,인천광역시,전체(시 / 군 / 구),농사용,"24,366 ","11,822,208 ","591,766,368 ",50.1 
201902,인천광역시,전체(시 / 군 / 구),가로등,"78,485 ","16,374,845 ","1,823,329,011 ",111.3 
201902,인천광역시,전체(시 / 군 / 구),심 야,"15,668 ","38,858,318 ","2,958,093,752 ",76.1 
201903,인천광역시,전체(시 / 군 / 구),주택용,"752,366 ","318,610,978 ","32,529,650,385 ",102.1 
201903,인천광역시,전체(시 / 군 / 구),일반용,"137,222 ","479,446,922 ","58,099,657,386 ",121.2 
201903,인천광역시,전체(시 / 군 / 구),교육용,"1,003 ","33,855,854 ","3,150,932,804 ",93.1 
201903,인천광역시,전체(시 / 군 / 구),산업용,"19,443 ","1,121,224,114 ","108,933,637,523 ",97.2 
201903,인천광역시,전체(시 / 군 / 구),농사용,"32,144 ","10,350,559 ","536,897,777 ",51.9 
201903,인천광역시,전체(시 / 군 / 구),가로등,"68,115 ","14,231,740 ","1,620,510,112 ",113.9 
201903,인천광역시,전체(시 / 군 / 구),심 야,"15,627 ","29,026,179 ","1,965,289,326 ",67.7 
201904,인천광역시,전체(시 / 군 / 구),주택용,"752,800 ","333,287,936 ","34,875,548,659 ",104.6 
201904,인천광역시,전체(시 / 군 / 구),일반용,"137,370 ","464,173,179 ","52,787,855,032 ",113.7 
201904,인천광역시,전체(시 / 군 / 구),교육용,"1,001 ","27,521,833 ","2,617,104,676 ",95.1 
201904,인천광역시,전체(시 / 군 / 구),산업용,"19,484 ","1,101,605,346 ","105,795,378,064 ",96.0 
201904,인천광역시,전체(시 / 군 / 구),농사용,"29,129 ","10,748,152 ","552,654,133 ",51.4 
201904,인천광역시,전체(시 / 군 / 구),가로등,"68,303 ","13,718,050 ","1,605,528,047 ",117.0 
201904,인천광역시,전체(시 / 군 / 구),심 야,"15,591 ","24,369,732 ","1,362,064,041 ",55.9 
201905,인천광역시,전체(시 / 군 / 구),주택용,"752,637 ","310,070,896 ","31,029,572,066 ",100.1 
201905,인천광역시,전체(시 / 군 / 구),일반용,"137,415 ","438,354,435 ","51,008,468,606 ",116.4 
201905,인천광역시,전체(시 / 군 / 구),교육용,"1,003 ","22,407,162 ","2,181,365,168 ",97.4 
201905,인천광역시,전체(시 / 군 / 구),산업용,"19,495 ","1,103,065,852 ","105,486,980,859 ",95.6 
201905,인천광역시,전체(시 / 군 / 구),농사용,"24,740 ","10,872,684 ","546,890,843 ",50.3 
201905,인천광역시,전체(시 / 군 / 구),가로등,"68,375 ","12,548,799 ","1,499,472,161 ",119.5 
201905,인천광역시,전체(시 / 군 / 구),심 야,"15,504 ","15,467,513 ","914,842,807 ",59.1 
201906,인천광역시,전체(시 / 군 / 구),주택용,"752,724 ","314,948,911 ","32,318,509,892 ",102.6 
201906,인천광역시,전체(시 / 군 / 구),일반용,"137,611 ","468,072,654 ","62,694,565,040 ",133.9 
201906,인천광역시,전체(시 / 군 / 구),교육용,999 ,"24,652,310 ","3,208,757,388 ",130.2 
201906,인천광역시,전체(시 / 군 / 구),산업용,"19,493 ","1,056,642,690 ","122,586,467,364 ",116.0 
201906,인천광역시,전체(시 / 군 / 구),농사용,"24,893 ","11,733,887 ","566,351,477 ",48.3 
201906,인천광역시,전체(시 / 군 / 구),가로등,"68,503 ","11,789,036 ","1,462,397,341 ",124.0 
201906,인천광역시,전체(시 / 군 / 구),심 야,"15,427 ","9,926,939 ","601,994,909 ",60.6 
합계,합계,합계,합계,"6,133,993","12,130,171,247","1,339,919,253,219",110.5
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201901,인천광역시,강화군,가로등,"10,011 ","1,046,218 ","100,883,938 ",96.4 
201901,인천광역시,강화군,교육용,61 ,"1,553,639 ","149,134,310 ",96 
201901,인천광역시,강화군,농사용,"15,312 ","6,704,606 ","343,309,190 ",51.2 
201901,인천광역시,강화군,산업용,991 ,"7,943,307 ","1,025,146,848 ",129.1 
201901,인천광역시,강화군,심 야,"6,762 ","17,591,107 ","1,330,093,294 ",75.6 
201901,인천광역시,강화군,일반용,"7,915 ","20,469,371 ","2,657,526,848 ",129.8 
201901,인천광역시,강화군,주택용,"36,204 ","7,811,618 ","1,007,853,197 ",129 
201901,인천광역시,강화군,합계,"77,256 ","63,119,866 ","6,613,947,625 ",104.8 
201901,인천광역시,계양구,가로등,"3,325 ","1,246,029 ","135,387,976 ",108.7 
201901,인천광역시,계양구,교육용,93 ,"3,479,404 ","343,123,120 ",98.6 
201901,인천광역시,계양구,농사용,"1,923 ","1,092,722 ","55,142,761 ",50.5 
201901,인천광역시,계양구,산업용,"1,427 ","35,154,527 ","4,241,303,050 ",120.6 
201901,인천광역시,계양구,심 야,665 ,"1,943,150 ","29,562,190 ",15.2 
201901,인천광역시,계양구,일반용,"12,637 ","45,122,528 ","5,919,221,509 ",131.2 
201901,인천광역시,계양구,주택용,"78,644 ","36,102,820 ","3,988,927,198 ",110.5 
201901,인천광역시,계양구,합계,"98,714 ","124,141,180 ","14,712,667,804 ",118.5 
201901,인천광역시,남동구,가로등,"9,726 ","2,157,109 ","235,041,866 ",109 
201901,인천광역시,남동구,교육용,170 ,"4,613,584 ","458,023,510 ",99.3 
201901,인천광역시,남동구,농사용,"1,596 ","1,221,774 ","59,224,653 ",48.5 
201901,인천광역시,남동구,산업용,"4,572 ","211,401,452 ","27,476,569,290 ",130 
201901,인천광역시,남동구,심 야,"1,014 ","2,527,771 ","194,390,844 ",76.9 
201901,인천광역시,남동구,일반용,"22,960 ","92,584,959 ","12,342,402,180 ",133.3 
201901,인천광역시,남동구,주택용,"114,888 ","69,067,622 ","7,787,696,007 ",112.8 
