년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201901-201906,전라북도,고창군,일반용,4654,53575035,17.22
201901-201906,전라북도,고창군,합계,10287,311117894,
201901-201906,전라북도,군산시,일반용,20280,305642343,7.87
201901-201906,전라북도,군산시,합계,23171,3884321170,
201901-201906,전라북도,김제시,일반용,6445,81253871,15.37
201901-201906,전라북도,김제시,합계,12879,528614962,
201901-201906,전라북도,남원시,일반용,7439,85462565,26.94
201901-201906,전라북도,남원시,합계,13095,317236639,
201901-201906,전라북도,무주군,일반용,2731,46115530,40.68
201901-201906,전라북도,무주군,합계,4693,113359485,
201901-201906,전라북도,부안군,일반용,5615,67479582,27.53
201901-201906,전라북도,부안군,합계,8997,245113646,
201901-201906,전라북도,순창군,일반용,2300,23135206,17.58
201901-201906,전라북도,순창군,합계,5952,131591413,
201901-201906,전라북도,완주군,일반용,7393,117413656,13.57
201901-201906,전라북도,완주군,합계,11460,865311449,
201901-201906,전라북도,익산시,일반용,20610,257993412,16.78
201901-201906,전라북도,익산시,합계,28366,1537381815,
201901-201906,전라북도,임실군,일반용,2263,29343547,18.84
201901-201906,전라북도,임실군,합계,5609,155765416,
201901-201906,전라북도,장수군,일반용,1730,20097409,16.98
201901-201906,전라북도,장수군,합계,4506,118389494,
201901-201906,전라북도,전주시,일반용,46765,659293605,30.24
201901-201906,전라북도,전주시,합계,46152,2180452801,
201901-201906,전라북도,정읍시,일반용,9175,99207139,12.86
201901-201906,전라북도,정읍시,합계,16487,771592338,
201901-201906,전라북도,진안군,일반용,2170,24122690,22.3
201901-201906,전라북도,진안군,합계,5118,108183183,
