계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2019년 01 월 ~ 2019년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201901,충청남도,전체(시 / 군 / 구),주택용,"777,112 ","267,958,359 ","29,904,517,848 ",111.6 
201901,충청남도,전체(시 / 군 / 구),일반용,"164,981 ","471,589,500 ","62,360,500,442 ",132.2 
201901,충청남도,전체(시 / 군 / 구),교육용,"1,119 ","57,426,835 ","5,652,703,972 ",98.4 
201901,충청남도,전체(시 / 군 / 구),산업용,"21,685 ","3,532,399,257 ","396,191,300,623 ",112.2 
201901,충청남도,전체(시 / 군 / 구),농사용,"191,812 ","225,537,563 ","10,758,328,003 ",47.7 
201901,충청남도,전체(시 / 군 / 구),가로등,"151,853 ","16,743,786 ","1,770,546,688 ",105.7 
201901,충청남도,전체(시 / 군 / 구),심 야,"89,553 ","220,441,360 ","16,589,415,235 ",75.3 
201902,충청남도,전체(시 / 군 / 구),주택용,"777,657 ","265,681,748 ","29,516,087,516 ",111.1 
201902,충청남도,전체(시 / 군 / 구),일반용,"165,123 ","446,184,362 ","59,343,864,530 ",133.0 
201902,충청남도,전체(시 / 군 / 구),교육용,"1,124 ","43,544,013 ","4,578,082,757 ",105.1 
201902,충청남도,전체(시 / 군 / 구),산업용,"21,724 ","3,089,692,703 ","344,901,758,640 ",111.6 
201902,충청남도,전체(시 / 군 / 구),농사용,"191,998 ","220,644,467 ","10,542,132,570 ",47.8 
201902,충청남도,전체(시 / 군 / 구),가로등,"163,477 ","15,787,920 ","1,770,982,771 ",112.2 
201902,충청남도,전체(시 / 군 / 구),심 야,"89,327 ","215,495,208 ","16,215,958,504 ",75.2 
201903,충청남도,전체(시 / 군 / 구),주택용,"778,624 ","229,895,888 ","23,083,062,304 ",100.4 
201903,충청남도,전체(시 / 군 / 구),일반용,"165,287 ","378,419,921 ","48,271,265,792 ",127.6 
201903,충청남도,전체(시 / 군 / 구),교육용,"1,126 ","43,169,088 ","4,232,170,420 ",98.0 
201903,충청남도,전체(시 / 군 / 구),산업용,"21,750 ","3,383,257,432 ","304,296,758,188 ",89.9 
201903,충청남도,전체(시 / 군 / 구),농사용,"302,042 ","199,496,414 ","9,577,443,185 ",48.0 
201903,충청남도,전체(시 / 군 / 구),가로등,"151,846 ","14,371,248 ","1,634,256,494 ",113.7 
201903,충청남도,전체(시 / 군 / 구),심 야,"89,108 ","165,609,016 ","10,956,984,344 ",66.2 
201904,충청남도,전체(시 / 군 / 구),주택용,"779,534 ","241,705,084 ","25,289,776,429 ",104.6 
201904,충청남도,전체(시 / 군 / 구),일반용,"165,633 ","366,908,805 ","42,502,700,887 ",115.8 
201904,충청남도,전체(시 / 군 / 구),교육용,"1,121 ","41,131,440 ","3,751,963,140 ",91.2 
201904,충청남도,전체(시 / 군 / 구),산업용,"21,777 ","3,306,880,064 ","300,703,050,092 ",90.9 
201904,충청남도,전체(시 / 군 / 구),농사용,"194,066 ","159,572,344 ","7,794,511,788 ",48.8 
201904,충청남도,전체(시 / 군 / 구),가로등,"152,218 ","14,057,195 ","1,672,600,825 ",119.0 
201904,충청남도,전체(시 / 군 / 구),심 야,"88,930 ","142,378,437 ","7,707,015,827 ",54.1 
201905,충청남도,전체(시 / 군 / 구),주택용,"780,273 ","224,006,843 ","22,388,691,322 ",99.9 
201905,충청남도,전체(시 / 군 / 구),일반용,"165,882 ","327,912,807 ","39,851,691,143 ",121.5 
201905,충청남도,전체(시 / 군 / 구),교육용,"1,121 ","30,376,608 ","2,938,030,442 ",96.7 
201905,충청남도,전체(시 / 군 / 구),산업용,"21,830 ","3,467,630,476 ","309,650,183,048 ",89.3 
201905,충청남도,전체(시 / 군 / 구),농사용,"194,829 ","147,490,389 ","6,962,345,589 ",47.2 
201905,충청남도,전체(시 / 군 / 구),가로등,"152,482 ","13,029,327 ","1,612,669,089 ",123.8 
201905,충청남도,전체(시 / 군 / 구),심 야,"88,753 ","84,270,327 ","4,593,976,334 ",54.5 
201906,충청남도,전체(시 / 군 / 구),주택용,"781,402 ","225,784,461 ","22,761,353,601 ",100.8 
201906,충청남도,전체(시 / 군 / 구),일반용,"166,205 ","343,181,836 ","46,771,056,034 ",136.3 
201906,충청남도,전체(시 / 군 / 구),교육용,"1,125 ","30,436,589 ","3,550,875,858 ",116.7 
201906,충청남도,전체(시 / 군 / 구),산업용,"21,860 ","3,431,939,211 ","380,899,993,179 ",111.0 
201906,충청남도,전체(시 / 군 / 구),농사용,"195,649 ","164,213,046 ","7,424,378,596 ",45.2 
201906,충청남도,전체(시 / 군 / 구),가로등,"152,823 ","12,472,002 ","1,601,296,294 ",128.4 
201906,충청남도,전체(시 / 군 / 구),심 야,"88,605 ","45,459,445 ","2,514,660,780 ",55.3 
합계,합계,합계,합계,"8,534,446","26,324,182,824","2,635,090,941,123",100.1
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201901,충청남도,계룡시,가로등,"1,255 ","291,536 ","30,654,022 ",105.1 
201901,충청남도,계룡시,교육용,17 ,"464,399 ","49,225,729 ",106 
201901,충청남도,계룡시,농사용,562 ,"397,871 ","19,479,835 ",49 
201901,충청남도,계룡시,산업용,115 ,"4,558,690 ","601,727,355 ",132 
201901,충청남도,계룡시,심 야,302 ,"837,956 ","64,816,700 ",77.4 
201901,충청남도,계룡시,일반용,"1,748 ","11,899,097 ","1,473,415,586 ",123.8 
201901,충청남도,계룡시,주택용,"4,022 ","5,346,293 ","582,216,400 ",108.9 
201901,충청남도,계룡시,합계,"8,021 ","23,795,842 ","2,821,535,627 ",118.6 
201901,충청남도,공주시,가로등,"8,978 ","1,536,867 ","167,334,815 ",108.9 
201901,충청남도,공주시,교육용,78 ,"4,243,829 ","413,758,831 ",97.5 
201901,충청남도,공주시,농사용,"14,652 ","12,207,384 ","589,496,725 ",48.3 
