년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201907-201912,경상남도,거제시,일반용,17456,237126907,21.82
201907-201912,경상남도,거제시,합계,20911,1086932950,
201907-201912,경상남도,거창군,일반용,5113,52291822,23.64
201907-201912,경상남도,거창군,합계,9985,221224274,
201907-201912,경상남도,고성군,일반용,4556,54871930,18.7
201907-201912,경상남도,고성군,합계,9355,293433265,
201907-201912,경상남도,김해시,일반용,30648,514587780,19.63
201907-201912,경상남도,김해시,합계,34551,2621954115,
201907-201912,경상남도,남해군,일반용,4924,50144012,37.62
201907-201912,경상남도,남해군,합계,8629,133284696,
201907-201912,경상남도,밀양시,일반용,9430,108629222,19.73
201907-201912,경상남도,밀양시,합계,17461,550626901,
201907-201912,경상남도,사천시,일반용,9660,124360619,18.39
201907-201912,경상남도,사천시,합계,13425,676410410,
201907-201912,경상남도,산청군,일반용,3616,34585269,21.06
201907-201912,경상남도,산청군,합계,7968,164215670,
201907-201912,경상남도,양산시,일반용,18905,330477729,17.81
201907-201912,경상남도,양산시,합계,20674,1855555448,
201907-201912,경상남도,의령군,일반용,2393,23327444,12.19
201907-201912,경상남도,의령군,합계,6117,191300532,
201907-201912,경상남도,진주시,일반용,25492,358319919,28.59
201907-201912,경상남도,진주시,합계,33364,1253196744,
201907-201912,경상남도,창녕군,일반용,5510,69586738,14.02
201907-201912,경상남도,창녕군,합계,10808,496496829,
201907-201912,경상남도,창원시,일반용,56489,1043584249,20.0
201907-201912,경상남도,창원시,합계,76024,5218092510,
201907-201912,경상남도,통영시,일반용,11396,156434607,35.75
201907-201912,경상남도,통영시,합계,13916,437596224,
201907-201912,경상남도,하동군,일반용,4315,39481858,22.61
201907-201912,경상남도,하동군,합계,9449,174630683,
201907-201912,경상남도,함안군,일반용,5285,64757721,4.97
201907-201912,경상남도,함안군,합계,9366,1303315673,
201907-201912,경상남도,함양군,일반용,3642,32475418,23.58
201907-201912,경상남도,함양군,합계,7352,137721763,
201907-201912,경상남도,합천군,일반용,3973,41028886,21.8
201907-201912,경상남도,합천군,합계,9281,188169701,
