계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대구광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2019년 07 월 ~ 2019년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201907,대구광역시,전체(시 / 군 / 구),주택용,"668,422 ","268,196,690 ","24,616,445,246 ",91.8 
201907,대구광역시,전체(시 / 군 / 구),일반용,"153,410 ","400,124,578 ","59,314,160,172 ",148.2 
201907,대구광역시,전체(시 / 군 / 구),교육용,833 ,"29,929,662 ","3,553,937,234 ",118.7 
201907,대구광역시,전체(시 / 군 / 구),산업용,"20,687 ","548,510,779 ","70,126,976,743 ",127.8 
201907,대구광역시,전체(시 / 군 / 구),농사용,"14,628 ","7,186,861 ","340,944,346 ",47.4 
201907,대구광역시,전체(시 / 군 / 구),가로등,"61,702 ","8,951,446 ","1,069,234,045 ",119.4 
201907,대구광역시,전체(시 / 군 / 구),심 야,"18,147 ","10,470,397 ","664,323,571 ",63.4 
201908,대구광역시,전체(시 / 군 / 구),주택용,"666,888 ","372,275,878 ","39,065,417,273 ",104.9 
201908,대구광역시,전체(시 / 군 / 구),일반용,"153,599 ","477,812,687 ","67,690,391,678 ",141.7 
201908,대구광역시,전체(시 / 군 / 구),교육용,834 ,"29,515,460 ","3,515,372,189 ",119.1 
201908,대구광역시,전체(시 / 군 / 구),산업용,"20,678 ","524,810,133 ","66,867,355,448 ",127.4 
201908,대구광역시,전체(시 / 군 / 구),농사용,"14,668 ","8,463,034 ","399,833,583 ",47.2 
201908,대구광역시,전체(시 / 군 / 구),가로등,"61,761 ","9,589,993 ","1,109,779,929 ",115.7 
201908,대구광역시,전체(시 / 군 / 구),심 야,"17,983 ","11,133,213 ","727,163,866 ",65.3 
201909,대구광역시,전체(시 / 군 / 구),주택용,"665,568 ","322,929,437 ","33,258,875,644 ",103.0 
201909,대구광역시,전체(시 / 군 / 구),일반용,"153,581 ","422,293,582 ","53,157,692,085 ",125.9 
201909,대구광역시,전체(시 / 군 / 구),교육용,832 ,"31,222,628 ","3,198,273,550 ",102.4 
201909,대구광역시,전체(시 / 군 / 구),산업용,"20,649 ","510,971,316 ","55,286,288,568 ",108.2 
201909,대구광역시,전체(시 / 군 / 구),농사용,"14,719 ","7,466,630 ","367,372,807 ",49.2 
201909,대구광역시,전체(시 / 군 / 구),가로등,"61,812 ","10,121,071 ","1,144,363,113 ",113.1 
201909,대구광역시,전체(시 / 군 / 구),심 야,"17,860 ","9,073,785 ","575,867,759 ",63.5 
201910,대구광역시,전체(시 / 군 / 구),주택용,"664,821 ","260,976,295 ","25,438,247,982 ",97.5 
201910,대구광역시,전체(시 / 군 / 구),일반용,"153,443 ","352,327,021 ","40,614,642,454 ",115.3 
201910,대구광역시,전체(시 / 군 / 구),교육용,830 ,"25,164,246 ","2,374,482,098 ",94.4 
201910,대구광역시,전체(시 / 군 / 구),산업용,"20,646 ","527,045,548 ","53,124,218,273 ",100.8 
201910,대구광역시,전체(시 / 군 / 구),농사용,"14,745 ","5,751,509 ","306,614,525 ",53.3 
201910,대구광역시,전체(시 / 군 / 구),가로등,"61,927 ","10,829,725 ","1,180,980,322 ",109.0 
201910,대구광역시,전체(시 / 군 / 구),심 야,"17,806 ","7,518,760 ","459,857,774 ",61.2 
201911,대구광역시,전체(시 / 군 / 구),주택용,"664,391 ","265,243,672 ","26,276,759,960 ",99.1 
201911,대구광역시,전체(시 / 군 / 구),일반용,"153,549 ","337,319,858 ","44,695,723,981 ",132.5 
201911,대구광역시,전체(시 / 군 / 구),교육용,830 ,"26,048,383 ","2,826,810,035 ",108.5 
201911,대구광역시,전체(시 / 군 / 구),산업용,"20,618 ","522,808,590 ","62,397,425,711 ",119.4 
201911,대구광역시,전체(시 / 군 / 구),농사용,"15,137 ","5,704,887 ","302,312,659 ",53.0 
201911,대구광역시,전체(시 / 군 / 구),가로등,"61,917 ","11,780,777 ","1,258,694,849 ",106.8 
201911,대구광역시,전체(시 / 군 / 구),심 야,"17,755 ","12,545,578 ","821,314,820 ",65.5 
201912,대구광역시,전체(시 / 군 / 구),주택용,"663,106 ","277,584,545 ","28,409,448,094 ",102.3 
201912,대구광역시,전체(시 / 군 / 구),일반용,"153,974 ","388,865,474 ","53,605,749,215 ",137.9 
201912,대구광역시,전체(시 / 군 / 구),교육용,831 ,"36,097,599 ","3,729,529,375 ",103.3 
