년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201907-201912,대구광역시,남구,일반용,12036,158296100,53.41
201907-201912,대구광역시,남구,합계,16870,296378485,
201907-201912,대구광역시,달서구,일반용,28577,459112372,23.07
201907-201912,대구광역시,달서구,합계,28937,1990264034,
201907-201912,대구광역시,달성군,일반용,12923,196475712,10.72
201907-201912,대구광역시,달성군,합계,12875,1833440036,
201907-201912,대구광역시,동구,일반용,21345,385135393,51.99
201907-201912,대구광역시,동구,합계,24942,740754659,
201907-201912,대구광역시,북구,일반용,25886,399775440,34.89
201907-201912,대구광역시,북구,합계,24890,1145706557,
201907-201912,대구광역시,서구,일반용,13716,150547341,31.32
201907-201912,대구광역시,서구,합계,17378,480697808,
201907-201912,대구광역시,수성구,일반용,24011,364148696,43.8
201907-201912,대구광역시,수성구,합계,21459,831381135,
201907-201912,대구광역시,중구,일반용,15096,265252146,72.61
201907-201912,대구광역시,중구,합계,8496,365335241,
