계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 부산광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2019년 07 월 ~ 2019년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201907,부산광역시,전체(시 / 군 / 구),주택용,"955,361 ","370,725,062 ","34,539,690,611 ",93.2 
201907,부산광역시,전체(시 / 군 / 구),일반용,"187,480 ","560,637,833 ","83,515,243,415 ",149.0 
201907,부산광역시,전체(시 / 군 / 구),교육용,"1,171 ","37,278,677 ","4,513,283,527 ",121.1 
201907,부산광역시,전체(시 / 군 / 구),산업용,"25,033 ","721,052,021 ","95,416,495,485 ",132.3 
201907,부산광역시,전체(시 / 군 / 구),농사용,"11,507 ","8,257,507 ","409,522,429 ",49.6 
201907,부산광역시,전체(시 / 군 / 구),가로등,"83,192 ","12,789,953 ","1,516,182,398 ",118.5 
201907,부산광역시,전체(시 / 군 / 구),심 야,"20,198 ","14,248,275 ","941,971,282 ",66.1 
201908,부산광역시,전체(시 / 군 / 구),주택용,"955,242 ","505,957,507 ","53,804,911,369 ",106.3 
201908,부산광역시,전체(시 / 군 / 구),일반용,"187,591 ","679,740,823 ","96,293,987,853 ",141.7 
201908,부산광역시,전체(시 / 군 / 구),교육용,"1,171 ","37,540,351 ","4,597,023,743 ",122.5 
201908,부산광역시,전체(시 / 군 / 구),산업용,"25,025 ","704,703,821 ","90,290,405,626 ",128.1 
201908,부산광역시,전체(시 / 군 / 구),농사용,"11,502 ","10,582,745 ","481,431,903 ",45.5 
201908,부산광역시,전체(시 / 군 / 구),가로등,"84,234 ","13,130,299 ","1,524,895,515 ",116.1 
201908,부산광역시,전체(시 / 군 / 구),심 야,"20,102 ","14,391,801 ","995,318,634 ",69.2 
201909,부산광역시,전체(시 / 군 / 구),주택용,"955,232 ","461,557,223 ","49,521,982,036 ",107.3 
201909,부산광역시,전체(시 / 군 / 구),일반용,"187,761 ","617,261,891 ","76,411,169,753 ",123.8 
201909,부산광역시,전체(시 / 군 / 구),교육용,"1,165 ","42,821,561 ","4,567,270,826 ",106.7 
201909,부산광역시,전체(시 / 군 / 구),산업용,"25,026 ","691,171,065 ","74,458,465,638 ",107.7 
201909,부산광역시,전체(시 / 군 / 구),농사용,"11,492 ","8,825,636 ","436,783,937 ",49.5 
201909,부산광역시,전체(시 / 군 / 구),가로등,"85,157 ","14,022,709 ","1,582,499,839 ",112.9 
201909,부산광역시,전체(시 / 군 / 구),심 야,"19,996 ","11,346,035 ","758,207,882 ",66.8 
201910,부산광역시,전체(시 / 군 / 구),주택용,"955,327 ","374,665,619 ","37,838,684,490 ",101.0 
201910,부산광역시,전체(시 / 군 / 구),일반용,"187,809 ","511,477,961 ","58,756,068,560 ",114.9 
201910,부산광역시,전체(시 / 군 / 구),교육용,"1,168 ","35,223,568 ","3,326,800,068 ",94.4 
201910,부산광역시,전체(시 / 군 / 구),산업용,"25,017 ","720,236,456 ","72,774,287,595 ",101.0 
201910,부산광역시,전체(시 / 군 / 구),농사용,"11,505 ","8,915,962 ","420,039,164 ",47.1 
201910,부산광역시,전체(시 / 군 / 구),가로등,"86,221 ","14,907,245 ","1,619,478,704 ",108.6 
201910,부산광역시,전체(시 / 군 / 구),심 야,"19,949 ","11,036,018 ","691,984,466 ",62.7 
201911,부산광역시,전체(시 / 군 / 구),주택용,"955,722 ","374,495,176 ","37,939,932,545 ",101.3 
201911,부산광역시,전체(시 / 군 / 구),일반용,"188,088 ","480,562,690 ","64,254,313,624 ",133.7 
201911,부산광역시,전체(시 / 군 / 구),교육용,"1,168 ","33,604,846 ","3,491,873,157 ",103.9 
201911,부산광역시,전체(시 / 군 / 구),산업용,"25,009 ","705,372,687 ","87,112,473,182 ",123.5 
201911,부산광역시,전체(시 / 군 / 구),농사용,"11,645 ","7,832,589 ","411,225,334 ",52.5 
201911,부산광역시,전체(시 / 군 / 구),가로등,"85,425 ","15,802,532 ","1,689,086,341 ",106.9 
