년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202001-202006,경기도,가평군,일반용,10708,171785946,48.62
202001-202006,경기도,가평군,합계,11380,353293399,
202001-202006,경기도,고양시,일반용,42543,1003798217,43.22
202001-202006,경기도,고양시,합계,40238,2322377257,
202001-202006,경기도,과천시,일반용,2460,100411406,56.82
202001-202006,경기도,과천시,합계,2619,176706751,
202001-202006,경기도,광명시,일반용,11144,199616982,37.47
202001-202006,경기도,광명시,합계,12251,532802307,
202001-202006,경기도,광주시,일반용,27164,354174264,26.38
202001-202006,경기도,광주시,합계,32005,1342364815,
202001-202006,경기도,구리시,일반용,10760,188504497,47.28
202001-202006,경기도,구리시,합계,9154,398699221,
202001-202006,경기도,군포시,일반용,9391,210058177,28.95
202001-202006,경기도,군포시,합계,10706,725530109,
202001-202006,경기도,김포시,일반용,23994,447311378,22.23
202001-202006,경기도,김포시,합계,21619,2012008835,
202001-202006,경기도,남양주시,일반용,39055,531787758,32.64
202001-202006,경기도,남양주시,합계,32703,1629368768,
202001-202006,경기도,동두천시,일반용,6357,115146034,34.49
202001-202006,경기도,동두천시,합계,7153,333829740,
202001-202006,경기도,부천시,일반용,37034,647756204,31.52
202001-202006,경기도,부천시,합계,48116,2054901229,
202001-202006,경기도,성남시,일반용,34049,1292736457,51.41
202001-202006,경기도,성남시,합계,44938,2514686230,
202001-202006,경기도,수원시,일반용,54468,1423869464,51.45
202001-202006,경기도,수원시,합계,61647,2767726372,
202001-202006,경기도,시흥시,일반용,24790,411692956,18.39
202001-202006,경기도,시흥시,합계,27238,2238169587,
202001-202006,경기도,안산시,일반용,30035,562081405,14.22
202001-202006,경기도,안산시,합계,48964,3952075058,
202001-202006,경기도,안성시,일반용,16061,269062425,16.9
202001-202006,경기도,안성시,합계,22280,1592081365,
202001-202006,경기도,안양시,일반용,23837,638043626,49.14
202001-202006,경기도,안양시,합계,22847,1298533545,
202001-202006,경기도,양주시,일반용,15062,258361693,23.43
202001-202006,경기도,양주시,합계,14959,1102863834,
202001-202006,경기도,양평군,일반용,13054,147875038,28.8
202001-202006,경기도,양평군,합계,20095,513474356,
202001-202006,경기도,여주시,일반용,10404,170644783,23.4
202001-202006,경기도,여주시,합계,15889,729362713,
202001-202006,경기도,연천군,일반용,5118,79021207,26.91
202001-202006,경기도,연천군,합계,7740,293650427,
202001-202006,경기도,오산시,일반용,11689,205024982,30.57
202001-202006,경기도,오산시,합계,12205,670770947,
202001-202006,경기도,용인시,일반용,43071,1268690029,25.11
202001-202006,경기도,용인시,합계,42398,5052940415,
202001-202006,경기도,의왕시,일반용,6220,174278683,45.03
202001-202006,경기도,의왕시,합계,6075,387057291,
202001-202006,경기도,의정부시,일반용,21987,353076503,41.96
202001-202006,경기도,의정부시,합계,19999,841422087,
202001-202006,경기도,이천시,일반용,17728,371125794,10.05
202001-202006,경기도,이천시,합계,22901,3691751954,
202001-202006,경기도,파주시,일반용,28729,525022140,12.33
202001-202006,경기도,파주시,합계,29167,4256474245,
202001-202006,경기도,평택시,일반용,39675,777966004,13.11
202001-202006,경기도,평택시,합계,41378,5933134304,
202001-202006,경기도,포천시,일반용,18534,255596370,18.34
202001-202006,경기도,포천시,합계,20551,1393903572,
202001-202006,경기도,하남시,일반용,14681,296977939,36.29
202001-202006,경기도,하남시,합계,9401,818375948,
202001-202006,경기도,화성시,일반용,45767,1120948730,11.73
202001-202006,경기도,화성시,합계,45612,9559601084,
