년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202001-202006,전라남도,강진군,일반용,3199,33293098,17.95
202001-202006,전라남도,강진군,합계,6995,185515908,
202001-202006,전라남도,고흥군,일반용,5774,53710811,18.84
202001-202006,전라남도,고흥군,합계,14210,285121812,
202001-202006,전라남도,곡성군,일반용,2348,26629276,13.67
202001-202006,전라남도,곡성군,합계,6159,194845869,
202001-202006,전라남도,광양시,일반용,11275,135530016,8.32
202001-202006,전라남도,광양시,합계,13516,1629401303,
202001-202006,전라남도,구례군,일반용,2660,31208835,34.47
202001-202006,전라남도,구례군,합계,5365,90529618,
202001-202006,전라남도,나주시,일반용,7837,142886902,21.97
202001-202006,전라남도,나주시,합계,14544,650436705,
202001-202006,전라남도,담양군,일반용,4107,59230955,22.24
202001-202006,전라남도,담양군,합계,8372,266273092,
202001-202006,전라남도,목포시,일반용,19246,245827580,47.53
202001-202006,전라남도,목포시,합계,16426,517247807,
202001-202006,전라남도,무안군,일반용,6026,86561084,27.26
202001-202006,전라남도,무안군,합계,11526,317521205,
202001-202006,전라남도,보성군,일반용,3770,39389349,26.43
202001-202006,전라남도,보성군,합계,8943,149009854,
202001-202006,전라남도,순천시,일반용,20866,265198793,26.06
202001-202006,전라남도,순천시,합계,24762,1017827590,
202001-202006,전라남도,신안군,일반용,3769,33251225,23.1
202001-202006,전라남도,신안군,합계,8799,143965764,
202001-202006,전라남도,여수시,일반용,23496,316316510,4.59
202001-202006,전라남도,여수시,합계,26777,6897471700,
202001-202006,전라남도,영광군,일반용,4954,54854755,14.94
202001-202006,전라남도,영광군,합계,9461,367149063,
202001-202006,전라남도,영암군,일반용,4501,65566979,10.9
202001-202006,전라남도,영암군,합계,9844,601270458,
202001-202006,전라남도,완도군,일반용,5637,51821504,9.52
202001-202006,전라남도,완도군,합계,8462,544354780,
202001-202006,전라남도,장성군,일반용,3654,51602369,16.17
202001-202006,전라남도,장성군,합계,6950,319120520,
202001-202006,전라남도,장흥군,일반용,3451,35181415,19.16
202001-202006,전라남도,장흥군,합계,6960,183642596,
202001-202006,전라남도,진도군,일반용,2998,32667075,19.11
202001-202006,전라남도,진도군,합계,6744,170964794,
202001-202006,전라남도,함평군,일반용,2429,26913316,14.39
202001-202006,전라남도,함평군,합계,6834,186989196,
202001-202006,전라남도,해남군,일반용,6382,69689578,17.52
202001-202006,전라남도,해남군,합계,14133,397691839,
202001-202006,전라남도,화순군,일반용,4684,74521589,28.18
202001-202006,전라남도,화순군,합계,8792,264405726,
