계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 강원도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2020년 07 월 ~ 2020년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202007,강원도,전체(시 / 군 / 구),주택용,"613,162 ","177,874,072 ","17,241,347,868 ",96.9 
202007,강원도,전체(시 / 군 / 구),일반용,"149,853 ","372,302,475 ","55,926,458,256 ",150.2 
202007,강원도,전체(시 / 군 / 구),교육용,"1,057 ","21,900,591 ","2,640,269,118 ",120.6 
202007,강원도,전체(시 / 군 / 구),산업용,"14,113 ","533,769,965 ","60,952,870,253 ",114.2 
202007,강원도,전체(시 / 군 / 구),농사용,"113,514 ","58,679,335 ","2,985,991,800 ",50.9 
202007,강원도,전체(시 / 군 / 구),가로등,"124,012 ","15,360,512 ","1,856,573,498 ",120.9 
202007,강원도,전체(시 / 군 / 구),심 야,"87,995 ","38,622,094 ","2,194,060,898 ",56.8 
202008,강원도,전체(시 / 군 / 구),주택용,"613,906 ","204,423,371 ","19,190,822,652 ",93.9 
202008,강원도,전체(시 / 군 / 구),일반용,"150,231 ","413,608,244 ","59,724,600,584 ",144.4 
202008,강원도,전체(시 / 군 / 구),교육용,"1,061 ","21,903,702 ","1,230,824,563 ",56.2 
202008,강원도,전체(시 / 군 / 구),산업용,"14,150 ","500,722,361 ","56,500,253,376 ",112.8 
202008,강원도,전체(시 / 군 / 구),농사용,"114,149 ","65,623,509 ","3,303,806,349 ",50.3 
202008,강원도,전체(시 / 군 / 구),가로등,"124,478 ","15,473,371 ","1,816,188,581 ",117.4 
202008,강원도,전체(시 / 군 / 구),심 야,"87,811 ","41,754,596 ","2,384,222,780 ",57.1 
202009,강원도,전체(시 / 군 / 구),주택용,"614,953 ","222,325,109 ","23,713,954,641 ",106.7 
202009,강원도,전체(시 / 군 / 구),일반용,"150,544 ","386,693,666 ","50,494,419,968 ",130.6 
202009,강원도,전체(시 / 군 / 구),교육용,"1,059 ","20,639,365 ","2,183,626,708 ",105.8 
202009,강원도,전체(시 / 군 / 구),산업용,"14,223 ","550,068,712 ","51,358,617,034 ",93.4 
202009,강원도,전체(시 / 군 / 구),농사용,"114,860 ","80,065,213 ","3,895,116,017 ",48.6 
202009,강원도,전체(시 / 군 / 구),가로등,"124,748 ","15,882,158 ","1,845,909,396 ",116.2 
202009,강원도,전체(시 / 군 / 구),심 야,"87,697 ","38,046,490 ","2,139,907,078 ",56.2 
202010,강원도,전체(시 / 군 / 구),주택용,"615,668 ","176,323,270 ","17,927,895,049 ",101.7 
202010,강원도,전체(시 / 군 / 구),일반용,"150,740 ","323,549,823 ","38,615,317,997 ",119.3 
202010,강원도,전체(시 / 군 / 구),교육용,"1,056 ","17,246,937 ","1,738,612,575 ",100.8 
202010,강원도,전체(시 / 군 / 구),산업용,"14,268 ","573,474,644 ","50,846,612,874 ",88.7 
202010,강원도,전체(시 / 군 / 구),농사용,"115,237 ","63,473,698 ","3,223,476,121 ",50.8 
202010,강원도,전체(시 / 군 / 구),가로등,"124,956 ","16,876,274 ","1,886,394,066 ",111.8 
202010,강원도,전체(시 / 군 / 구),심 야,"87,539 ","65,933,485 ","3,612,244,252 ",54.8 
202011,강원도,전체(시 / 군 / 구),주택용,"616,545 ","186,877,959 ","19,838,615,701 ",106.2 
202011,강원도,전체(시 / 군 / 구),일반용,"151,251 ","363,597,281 ","47,092,093,418 ",129.5 
202011,강원도,전체(시 / 군 / 구),교육용,"1,057 ","25,049,423 ","2,702,840,595 ",107.9 
202011,강원도,전체(시 / 군 / 구),산업용,"14,284 ","568,433,394 ","63,152,686,150 ",111.1 
