계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대전광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2020년 07 월 ~ 2020년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202007,대전광역시,전체(시 / 군 / 구),주택용,"441,057 ","171,398,826 ","16,448,517,937 ",96.0 
202007,대전광역시,전체(시 / 군 / 구),일반용,"81,631 ","306,512,009 ","44,172,747,712 ",144.1 
202007,대전광역시,전체(시 / 군 / 구),교육용,612 ,"30,824,754 ","3,519,232,008 ",114.2 
202007,대전광역시,전체(시 / 군 / 구),산업용,"5,594 ","275,474,543 ","33,812,104,392 ",122.7 
202007,대전광역시,전체(시 / 군 / 구),농사용,"7,769 ","2,273,010 ","131,015,637 ",57.6 
202007,대전광역시,전체(시 / 군 / 구),가로등,"38,231 ","5,546,341 ","677,782,534 ",122.2 
202007,대전광역시,전체(시 / 군 / 구),심 야,"15,116 ","7,405,459 ","463,182,073 ",62.5 
202008,대전광역시,전체(시 / 군 / 구),주택용,"440,924 ","196,284,871 ","18,243,393,329 ",92.9 
202008,대전광역시,전체(시 / 군 / 구),일반용,"81,678 ","332,057,134 ","46,434,509,510 ",139.8 
202008,대전광역시,전체(시 / 군 / 구),교육용,612 ,"32,035,757 ","3,229,147,582 ",100.8 
202008,대전광역시,전체(시 / 군 / 구),산업용,"5,588 ","273,786,744 ","33,066,504,997 ",120.8 
202008,대전광역시,전체(시 / 군 / 구),농사용,"7,812 ","3,242,966 ","171,624,549 ",52.9 
202008,대전광역시,전체(시 / 군 / 구),가로등,"38,355 ","5,726,697 ","685,880,150 ",119.8 
202008,대전광역시,전체(시 / 군 / 구),심 야,"15,028 ","8,699,887 ","570,399,664 ",65.6 
202009,대전광역시,전체(시 / 군 / 구),주택용,"440,965 ","228,535,645 ","25,394,841,023 ",111.1 
202009,대전광역시,전체(시 / 군 / 구),일반용,"81,897 ","326,088,450 ","40,219,689,337 ",123.3 
202009,대전광역시,전체(시 / 군 / 구),교육용,614 ,"30,484,739 ","3,024,224,004 ",99.2 
202009,대전광역시,전체(시 / 군 / 구),산업용,"5,591 ","272,898,907 ","26,794,697,461 ",98.2 
202009,대전광역시,전체(시 / 군 / 구),농사용,"7,847 ","3,104,931 ","166,080,121 ",53.5 
202009,대전광역시,전체(시 / 군 / 구),가로등,"38,371 ","5,972,249 ","697,304,195 ",116.8 
202009,대전광역시,전체(시 / 군 / 구),심 야,"14,920 ","6,894,420 ","448,739,132 ",65.1 
202010,대전광역시,전체(시 / 군 / 구),주택용,"440,998 ","158,347,801 ","15,228,197,083 ",96.2 
202010,대전광역시,전체(시 / 군 / 구),일반용,"81,926 ","280,471,999 ","28,806,206,358 ",102.7 
202010,대전광역시,전체(시 / 군 / 구),교육용,614 ,"23,651,526 ","2,113,459,837 ",89.4 
202010,대전광역시,전체(시 / 군 / 구),산업용,"5,588 ","251,843,816 ","24,034,430,543 ",95.4 
202010,대전광역시,전체(시 / 군 / 구),농사용,"7,855 ","2,286,170 ","132,959,573 ",58.2 
202010,대전광역시,전체(시 / 군 / 구),가로등,"38,475 ","6,497,144 ","728,661,608 ",112.2 
202010,대전광역시,전체(시 / 군 / 구),심 야,"14,860 ","6,519,444 ","382,955,100 ",58.7 
202011,대전광역시,전체(시 / 군 / 구),주택용,"441,150 ","165,527,973 ","16,435,093,437 ",99.3 
202011,대전광역시,전체(시 / 군 / 구),일반용,"82,138 ","236,030,185 ","33,997,092,205 ",144.0 
202011,대전광역시,전체(시 / 군 / 구),교육용,614 ,"28,239,550 ","2,924,614,462 ",103.6 
202011,대전광역시,전체(시 / 군 / 구),산업용,"5,587 ","260,486,688 ","30,466,047,763 ",117.0 
202011,대전광역시,전체(시 / 군 / 구),농사용,"9,224 ","3,285,694 ","161,070,270 ",49.0 
202011,대전광역시,전체(시 / 군 / 구),가로등,"38,542 ","7,061,078 ","770,976,505 ",109.2 
202011,대전광역시,전체(시 / 군 / 구),심 야,"14,817 ","13,099,982 ","852,783,898 ",65.1 
202012,대전광역시,전체(시 / 군 / 구),주택용,"441,290 ","173,445,220 ","17,791,853,691 ",102.6 
202012,대전광역시,전체(시 / 군 / 구),일반용,"82,405 ","303,682,110 ","41,145,134,097 ",135.5 
202012,대전광역시,전체(시 / 군 / 구),교육용,614 ,"38,039,898 ","3,809,769,886 ",100.2 
202012,대전광역시,전체(시 / 군 / 구),산업용,"5,595 ","273,280,571 ","32,428,556,911 ",118.7 
202012,대전광역시,전체(시 / 군 / 구),농사용,"7,893 ","3,246,887 ","172,256,100 ",53.1 
202012,대전광역시,전체(시 / 군 / 구),가로등,"38,636 ","7,154,952 ","769,288,009 ",107.5 
202012,대전광역시,전체(시 / 군 / 구),심 야,"14,747 ","20,446,790 ","1,544,563,284 ",75.5 
합계,합계,합계,합계,"3,543,780","4,787,893,817","553,067,587,967",115.5
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202007,대전광역시,대덕구,가로등,"6,128 ","682,574 ","86,873,579 ",127.3 
202007,대전광역시,대덕구,교육용,70 ,"1,705,630 ","217,851,901 ",127.7 
202007,대전광역시,대덕구,농사용,827 ,"375,115 ","19,129,978 ",51 
202007,대전광역시,대덕구,산업용,"1,941 ","180,463,774 ","21,461,127,903 ",118.9 
202007,대전광역시,대덕구,심 야,"2,096 ","457,277 ","25,359,308 ",55.5 
202007,대전광역시,대덕구,일반용,"12,202 ","31,373,142 ","4,663,943,079 ",148.7 
202007,대전광역시,대덕구,주택용,"60,202 ","19,217,367 ","1,834,428,914 ",95.5 
202007,대전광역시,대덕구,합계,"83,466 ","234,274,879 ","28,308,714,662 ",120.8 
202007,대전광역시,동구,가로등,"8,549 ","868,420 ","106,665,549 ",122.8 
202007,대전광역시,동구,교육용,111 ,"3,497,759 ","443,310,427 ",126.7 
202007,대전광역시,동구,농사용,"1,690 ","274,960 ","17,041,412 ",62 
202007,대전광역시,동구,산업용,"1,355 ","7,094,970 ","955,820,311 ",134.7 
202007,대전광역시,동구,심 야,"4,444 ","1,072,489 ","63,136,375 ",58.9 
202007,대전광역시,동구,일반용,"14,678 ","32,091,659 ","4,870,661,624 ",151.8 
202007,대전광역시,동구,주택용,"90,446 ","26,451,904 ","2,410,567,771 ",91.1 
202007,대전광역시,동구,합계,"121,273 ","71,352,161 ","8,867,203,469 ",124.3 
202007,대전광역시,서구,가로등,"9,426 ","1,527,914 ","180,244,071 ",118 
202007,대전광역시,서구,교육용,174 ,"4,476,479 ","562,619,332 ",125.7 
202007,대전광역시,서구,농사용,"1,355 ","348,940 ","21,118,338 ",60.5 
202007,대전광역시,서구,산업용,688 ,"4,218,633 ","600,448,019 ",142.3 
202007,대전광역시,서구,심 야,"3,285 ","2,113,945 ","140,138,144 ",66.3 
202007,대전광역시,서구,일반용,"21,822 ","87,949,923 ","12,973,532,092 ",147.5 
202007,대전광역시,서구,주택용,"134,577 ","55,778,965 ","5,389,395,608 ",96.6 
202007,대전광역시,서구,합계,"171,327 ","156,414,799 ","19,867,495,604 ",127 
202007,대전광역시,유성구,가로등,"6,612 ","1,784,207 ","220,073,712 ",123.3 
202007,대전광역시,유성구,교육용,148 ,"19,074,061 ","2,048,580,570 ",107.4 
202007,대전광역시,유성구,농사용,"3,123 ","1,112,407 ","64,522,173 ",58 
202007,대전광역시,유성구,산업용,"1,041 ","80,892,289 ","10,393,632,741 ",128.5 
202007,대전광역시,유성구,심 야,"2,186 ","2,240,162 ","149,263,223 ",66.6 
202007,대전광역시,유성구,일반용,"17,058 ","111,162,007 ","15,132,560,538 ",136.1 
202007,대전광역시,유성구,주택용,"79,852 ","43,422,814 ","4,346,097,668 ",100.1 
202007,대전광역시,유성구,합계,"110,020 ","259,687,947 ","32,354,730,625 ",124.6 
202007,대전광역시,중구,가로등,"7,516 ","683,226 ","83,925,623 ",122.8 
202007,대전광역시,중구,교육용,109 ,"2,070,825 ","246,869,778 ",119.2 
202007,대전광역시,중구,농사용,774 ,"161,588 ","9,203,736 ",57 
202007,대전광역시,중구,산업용,569 ,"2,804,877 ","401,075,418 ",143 
202007,대전광역시,중구,심 야,"3,105 ","1,521,586 ","85,285,023 ",56.1 
202007,대전광역시,중구,일반용,"15,871 ","43,935,278 ","6,532,050,379 ",148.7 
202007,대전광역시,중구,주택용,"75,980 ","26,527,776 ","2,468,027,976 ",93 
202007,대전광역시,중구,합계,"103,924 ","77,705,156 ","9,826,437,933 ",126.5 
202008,대전광역시,대덕구,가로등,"6,157 ","713,058 ","88,138,022 ",123.6 
202008,대전광역시,대덕구,교육용,70 ,"1,570,721 ","192,570,339 ",122.6 
202008,대전광역시,대덕구,농사용,830 ,"439,924 ","22,148,128 ",50.3 
202008,대전광역시,대덕구,산업용,"1,941 ","174,195,156 ","20,412,365,383 ",117.2 
202008,대전광역시,대덕구,심 야,"2,081 ","464,713 ","25,452,728 ",54.8 
202008,대전광역시,대덕구,일반용,"12,223 ","32,585,067 ","4,752,361,151 ",145.8 
202008,대전광역시,대덕구,주택용,"60,099 ","21,807,403 ","1,958,470,232 ",89.8 
202008,대전광역시,대덕구,합계,"83,401 ","231,776,042 ","27,451,505,983 ",118.4 
202008,대전광역시,동구,가로등,"8,575 ","878,368 ","105,874,381 ",120.5 
202008,대전광역시,동구,교육용,111 ,"3,310,303 ","373,701,198 ",112.9 
202008,대전광역시,동구,농사용,"1,701 ","382,826 ","21,720,046 ",56.7 
202008,대전광역시,동구,산업용,"1,350 ","7,326,616 ","995,165,275 ",135.8 
202008,대전광역시,동구,심 야,"4,423 ","1,208,568 ","72,263,201 ",59.8 
202008,대전광역시,동구,일반용,"14,669 ","34,813,173 ","5,126,651,603 ",147.3 
202008,대전광역시,동구,주택용,"90,359 ","29,747,330 ","2,628,411,108 ",88.4 
202008,대전광역시,동구,합계,"121,188 ","77,667,184 ","9,323,786,812 ",120 
202008,대전광역시,서구,가로등,"9,472 ","1,564,984 ","180,998,798 ",115.7 
202008,대전광역시,서구,교육용,174 ,"4,132,918 ","398,244,045 ",96.4 
202008,대전광역시,서구,농사용,"1,370 ","617,948 ","32,095,371 ",51.9 
202008,대전광역시,서구,산업용,684 ,"4,361,217 ","607,629,390 ",139.3 
202008,대전광역시,서구,심 야,"3,267 ","2,393,528 ","161,709,864 ",67.6 
202008,대전광역시,서구,일반용,"21,851 ","95,259,205 ","13,617,546,526 ",143 
202008,대전광역시,서구,주택용,"134,667 ","62,559,054 ","5,674,350,172 ",90.7 
